"File system","DOS , URL: /wiki/DOS
","Linux , URL: /wiki/Linux
","macOS , URL: /wiki/MacOS
","Windows 9x , URL: /wiki/Windows_9x
","Windows NT , URL: /wiki/Windows_NT
","""classic"" Mac OS , URL: /wiki/%22classic%22_Mac_OS
","FreeBSD , URL: /wiki/FreeBSD
","OS/2 , URL: /wiki/OS/2
","BeOS , URL: /wiki/BeOS
","Minix , URL: /wiki/Minix
","Solaris , URL: /wiki/Solaris_(operating_system)
","z/OS , URL: /wiki/Z/OS
"
"APFS , URL: /wiki/APFS
","No","Partial (read-only with apfs-fuse[83] or linux-apfs[84])","Yes (Since macOS Sierra)","No","No","No","No","No","No","No","No","No"
"BeeGFS , URL: /wiki/BeeGFS
","No","Yes","?","No","No","No","No","No","?","?","?","No"
"DECtape , URL: /wiki/DECtape
","No","No","No","No","No","No","No","No","No","No","No","No"
"Level-D","No","?","?","No","No","No","No","No","No","No","?","?"
"RT-11 , URL: /wiki/RT-11
","No","No","No","No","No","No","No","No","No","No","No","No"
"Version 6 Unix file system (V6FS)","No","?","No","No","No","No","No","No","No","No","No","No"
"Version 7 Unix file system (V7FS)","No","Yes","?","No","No","No","No","No","?","?","?","?"
"exFAT , URL: /wiki/ExFAT
","No","FUSE , URL: /wiki/Filesystem_in_Userspace
","Yes","No","Windows XP , URL: /wiki/Windows_XP
2003 , URL: /wiki/Windows_Server_2003
Windows Vista , URL: /wiki/Windows_Vista
","No","FUSE , URL: /wiki/Filesystem_in_Userspace
","No","No","No","FUSE , URL: /wiki/Filesystem_in_Userspace
","No"
"FAT12 , URL: /wiki/FAT12
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Partial (via dosdir, dosread, doswrite)","Yes","?"
"FAT16 , URL: /wiki/FAT16
FAT16B , URL: /wiki/FAT16B
FAT16X , URL: /wiki/FAT16X
","Yes (FAT16 from DOS 3.0, FAT16B from DOS 3.31, FAT16X from DOS 7.0)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Partial (via dosdir, dosread, doswrite, not FAT16X)","Yes","?"
