"Operator","Languages"
"+","ALGOL 68 , URL: /wiki/ALGOL_68
BASIC , URL: /wiki/BASIC_programming_language
C++ , URL: /wiki/C%2B%2B
C# , URL: /wiki/C_Sharp_(programming_language)
Cobra , URL: /wiki/Cobra_(programming_language)
Pascal , URL: /wiki/Pascal_programming_language
Object Pascal , URL: /wiki/Object_Pascal
Eiffel , URL: /wiki/Eiffel_(programming_language)
Go , URL: /wiki/Go_(programming_language)
JavaScript , URL: /wiki/JavaScript
Java , URL: /wiki/Java_(programming_language)
Python , URL: /wiki/Python_(programming_language)
Turing , URL: /wiki/Turing_(programming_language)
Ruby , URL: /wiki/Ruby_programming_language
Rust , URL: /wiki/Rust_programming_language
Windows PowerShell , URL: /wiki/Windows_PowerShell
Objective-C , URL: /wiki/Objective-C
Swift , URL: /wiki/Swift_(programming_language)
F# , URL: /wiki/F_Sharp_(programming_language)
Scala , URL: /wiki/Scala_(programming_language)
"
"++","Haskell , URL: /wiki/Haskell_(programming_language)
Erlang , URL: /wiki/Erlang_(programming_language)
"
"$+","mIRC Scripting Language , URL: /wiki/MIRC_scripting_language
"
"&","Ada , URL: /wiki/Ada_(programming_language)
AppleScript , URL: /wiki/AppleScript
COBOL , URL: /wiki/COBOL
Curl , URL: /wiki/Curl_programming_language
Seed7 , URL: /wiki/Seed7
VHDL , URL: /wiki/VHDL
Visual Basic , URL: /wiki/Visual_Basic
Visual Basic .NET , URL: /wiki/Visual_Basic_.NET
Excel , URL: /wiki/Microsoft_Excel
FreeBASIC , URL: /wiki/FreeBASIC
Nim , URL: /wiki/Nim_(programming_language)
"
"nconc","Common Lisp , URL: /wiki/Common_Lisp
"
".","Perl , URL: /wiki/Perl
PHP , URL: /wiki/PHP
Maple , URL: /wiki/Maple_computer_algebra_system
"
"~","Raku , URL: /wiki/Raku_(programming_language)
D , URL: /wiki/D_programming_language
"
"||","Icon , URL: /wiki/Icon_(programming_language)
SQL , URL: /wiki/SQL
PL/I , URL: /wiki/PL/I
Rexx , URL: /wiki/Rexx
Maple , URL: /wiki/Maple_computer_algebra_system
"
"<>","Mathematica , URL: /wiki/Mathematica
Wolfram Language , URL: /wiki/Wolfram_Language
"
"..","Lua , URL: /wiki/Lua_programming_language
"
":","Pick Basic , URL: /wiki/Pick_Basic
"
",","J programming language , URL: /wiki/J_programming_language
Smalltalk , URL: /wiki/Smalltalk
APL , URL: /wiki/APL_(programming_language)
"
"^","OCaml , URL: /wiki/OCaml
Standard ML , URL: /wiki/Standard_ML
F# , URL: /wiki/F_Sharp_(programming_language)
rc , URL: /wiki/Rc
"
"//","Fortran , URL: /wiki/Fortran
"
"*","Julia , URL: /wiki/Julia_(programming_language)
"
