"File system","Host OS","Offline grow","Online grow","Offline shrink","Online shrink","add and remove physical volumes"
"FAT16 , URL: /wiki/FAT16
FAT16B , URL: /wiki/FAT16B
FAT16X , URL: /wiki/FAT16X
","misc.","Yes[61]","No","Yes[61]","No","No"
"FAT32 , URL: /wiki/FAT32
FAT32X , URL: /wiki/FAT32X
","misc.","Yes[61]","No","Yes[61]","No","No"
"exFAT , URL: /wiki/ExFAT
","misc.","No","No","No","No","No"
"NTFS , URL: /wiki/NTFS
","Windows","Yes","Yes","Yes","Yes","No"
"ReFS , URL: /wiki/ReFS
","Windows","?","Yes","?","No","No"
"HFS+ , URL: /wiki/HFS_Plus
","macOS","No","Yes","No","Yes","No"
"APFS , URL: /wiki/APFS
","macOS","?","?","?","?","?"
"HFS+ , URL: /wiki/HFS_Plus
","Linux","No","No","No","No","No"
"SquashFS , URL: /wiki/SquashFS
","Linux","No","No","No","No","No"
"NOVA , URL: /wiki/NOVA_(filesystem)
","Linux","No","No","No","No","No"
"JFS , URL: /wiki/JFS_(file_system)
","Linux","Yes","No","No","No","No"
"XFS , URL: /wiki/XFS
","Linux","No","Yes","No","No","No"
"Lustre , URL: /wiki/Lustre_(file_system)
","Linux","?","Yes","No","No","Yes"
"F2FS , URL: /wiki/F2FS
","Linux","Yes","No","No","No","No"
"NTFS , URL: /wiki/NTFS
","Linux","Yes","No","Yes","No","No"
"ext2 , URL: /wiki/Ext2
","Linux","Yes","No","Yes","No","No"
"ext3 , URL: /wiki/Ext3
","Linux","Yes","Yes","Yes","No","No"
"ReiserFS , URL: /wiki/ReiserFS
","Linux","Yes","Yes","Yes","No","No"
"Reiser4 , URL: /wiki/Reiser4
","Linux","Yes","Yes","Yes","No","No"
"ext4 , URL: /wiki/Ext4
","Linux","Yes","Yes","Yes","No","No"
"Btrfs , URL: /wiki/Btrfs
","Linux","Yes","Yes","Yes","Yes","Yes"
"NILFS , URL: /wiki/NILFS
","Linux","No","Yes","No","Yes","No"
"ZFS , URL: /wiki/ZFS
","misc.","No","Yes","No","Partial[72]","Yes"
"JFS2 , URL: /wiki/JFS_(file_system)
","AIX , URL: /wiki/AIX
","?","Yes","?","Yes","No"
"UFS2 , URL: /wiki/UFS2_(file_system)
","FreeBSD","Yes","Yes (FreeBSD 10.0-RELEASE or later)","No","No","No"
"HAMMER , URL: /wiki/HAMMER_(file_system)
","DragonflyBSD","?","?","?","?","?"
"BlueStore/Cephfs , URL: /wiki/Ceph_(software)
","Linux","No","Yes","No","Yes","Yes"
