"Name","Code review","Bug tracking","Web hosting","Wiki","Translation system","Shell server","Mailing list","Forum","Personal repository","Private repository","Announce","Build system","Team","Release binaries","Self-hosting"
"Assembla , URL: /wiki/Assembla
","Yes[21]","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes[22]","Yes","Yes","Yes","Unknown","No"
"Azure DevOps Services , URL: /wiki/Azure_DevOps_Services
","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Azure DevOps Server , URL: /wiki/Azure_DevOps_Server
"
"Bitbucket , URL: /wiki/Bitbucket
","Yes[23]","Yes[a]","Yes[24]","Yes","No","No","No","No","Yes","Yes[b]","No","Yes[25]","Yes","No[26]","Bitbucket Server , URL: /wiki/Bitbucket_Server
"
"Buddy , URL: /wiki/Buddy_(software)
","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes[d]","Yes","Yes","Yes"
"CloudForge , URL: /wiki/CloudForge
","Unknown","Yes","Yes","Yes","No","No","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No"
"GForge , URL: /wiki/GForge
","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Gitea , URL: /wiki/Gitea
","Yes","Yes","No","Yes","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Travis CI , URL: /wiki/Travis_CI
","Yes","Yes","Yes"
"GitHub , URL: /wiki/GitHub
","Yes[28]","Yes[29][e]","Yes[30]","Yes","No","No","No","No","Yes","Yes","Yes","Yes[31]","Yes","Yes","Commercially (GitHub Enterprise)"
"GitLab , URL: /wiki/GitLab
","Yes[32]","Yes","Yes[33]","Yes","No","No","No","No","Yes","Yes","Yes","Yes[34]","Yes","Yes[35]","Yes[f]"
"GNU Savannah , URL: /wiki/GNU_Savannah
","Yes[36]","Yes","Yes","No","No","Yes","Yes","No[37]","No","No","Yes","No","Yes","Unknown","Yes"
"Helix TeamHub , URL: /wiki/Perforce#Other_products
","Yes[38]","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes, with hooks. Jenkins, TeamCity, etc.","No","Yes","Yes"
"java.net , URL: /wiki/Java.net
","Unknown","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","No"
"Kallithea , URL: /wiki/Kallithea_(software)
","Yes","No","Yes","No","No","Unknown","No","No","Yes","Yes","No","No","Yes","Yes","Yes"
"Launchpad , URL: /wiki/Launchpad_(website)
","Yes","Yes","No","No","Yes","No","Yes","No","Yes","Yes[g]","Yes","Yes[h]","Yes","Unknown","Yes"
"OSDN , URL: /wiki/OSDN
","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No"
"Ourproject.org , URL: /wiki/Ourproject.org
","Unknown","Yes","Yes","Yes","No","Unknown","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes"
"Phabricator , URL: /wiki/Phabricator
","Yes","Yes","Yes","Yes","Unknown","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes"
"RhodeCode , URL: /wiki/RhodeCode
","Yes","No","Yes","No","No","Unknown","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes"
"SourceForge , URL: /wiki/SourceForge
","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes[i]","Yes","No","Yes","Yes","Yes"
"ProgramOnChain , URL: https://programonchain.com/
","Yes","No","Yes","No","No","No","No","Yes","Yes","Yes","Unknown","Yes","Yes","No","Yes"
"Name","Code review","Bug tracking","Web hosting","Wiki","Translation system","Shell server","Mailing list","Forum","Personal repository","Private repository","Announce","Build system","Team","Release binaries","Self-hosting"
