"Client","Client","Website","Initial Release","Current Stable Version","Based On"
"eDonkey2000 , URL: /wiki/EDonkey2000
","eDonkey2000 , URL: /wiki/EDonkey2000
","None[N 12]","September 6, 2000; 21 years ago (2000-09-06)","1.4.6 (2006; 16 years ago (2006))","-"
"aMule , URL: /wiki/AMule
","aMule , URL: /wiki/AMule
","[1] , URL: https://web.archive.org/web/20070103091828/http://www.amule.org/
","September 2003; 18 years ago (2003-09)","2.3.3 (February 7, 2021; 13 months ago (2021-02-07)[7]) [±]","xMule , URL: /wiki/XMule
"
"eMule , URL: /wiki/EMule
","Official","[2] , URL: http://www.emule-project.net/
","May 13, 2002; 19 years ago (2002-05-13)","0.50a (April 7, 2010; 11 years ago (2010-04-07)[8]) [±]","-"
"eMule , URL: /wiki/EMule
","Osp","[3] , URL: http://sourceforge.net/projects/emuleosp/
","January 29, 2012; 10 years ago (2012-01-29)","0.23 (April 2, 2012; 9 years ago (2012-04-02))","eMule 0.50a (official)"
"eMule , URL: /wiki/EMule
","AnalyZZUL","[4] , URL: http://forum.emule-project.net/index.php?showtopic=136120
","May 13, 2008; 13 years ago (2008-05-13)","3.0 (February 24, 2009; 13 years ago (2009-02-24))","eMule 0.49c ZZUL"
"eMule , URL: /wiki/EMule
","beba","[5] , URL: http://beba.emulefuture.de/
","June 3, 2005; 16 years ago (2005-06-03)","2.72 (July 8, 2013; 8 years ago (2013-07-08))","eMule 0.50a (official)"
"eMule , URL: /wiki/EMule
","DreaMule","[6] , URL: http://www.dreamule.org/
","2005; 17 years ago (2005)","v3.2 (July 21, 2008; 13 years ago (2008-07-21))","eMule (official)"
"eMule , URL: /wiki/EMule
","Magic Angel","[7] , URL: http://sourceforge.net/projects/magicangel/
","February 21, 2006; 16 years ago (2006-02-21)","4.0 (February 13, 2011; 11 years ago (2011-02-13))","eMule 0.50a MorphXT 12.6"
"eMule , URL: /wiki/EMule
","Mephisto","[8] , URL: http://mephisto.emule-web.de/
","October 18, 2007; 14 years ago (2007-10-18)","3.0 (April 10, 2011; 10 years ago (2011-04-10))","eMule 0.50a ScarAngel 4.0"
"eMule , URL: /wiki/EMule
","MorphXT","[9] , URL: http://emulemorph.sourceforge.net/
","January 23, 2003; 19 years ago (2003-01-23)","12.7 (November 21, 2012; 9 years ago (2012-11-21)) [±]","eMule 0.50a (official)"
"eMule , URL: /wiki/EMule
","NeoMule","[10] , URL: https://web.archive.org/web/20101203044044/http://www.eselfarm.info/efarm/board.php?boardid=277
","February 22, 2004; 18 years ago (2004-02-22)","4.50 (March 27, 2013; 8 years ago (2013-03-27)) [±]","eMule 0.49b (official)"
"eMule , URL: /wiki/EMule
","ScarAngel","[11] , URL: http://scarangel.sourceforge.net/
","April 2, 2005; 16 years ago (2005-04-02)","4.2 (June 22, 2011; 10 years ago (2011-06-22))","eMule 0.50a Xtreme 8.1"
"eMule , URL: /wiki/EMule
","SharkX","[12] , URL: http://www.emule-mods.de/?mods=SharkX
","?","2.0 (February 18, 2011; 11 years ago (2011-02-18)[9]) [±]","eMule 0.49c AcKroNiC 5.4"
"eMule , URL: /wiki/EMule
","Sivka","[13] , URL: http://sivka.emule-web.de/
","?","19b1 (January 22, 2009; 13 years ago (2009-01-22)[10]) [±]","eMule 0.49b (official)"
"eMule , URL: /wiki/EMule
","Spike2","[14] , URL: http://www.emule-mods.de/?mods=spike
","?","1.2 (September 19, 2007; 14 years ago (2007-09-19)[11]) [±]","eMule 0.48a (official)"
"eMule , URL: /wiki/EMule
","StulleMule","[15] , URL: http://stulle.emule-web.de/
","April 22, 2005; 16 years ago (2005-04-22)","7.0 (December 25, 2010; 11 years ago (2010-12-25))","eMule 0.50a MorphXT 12.6"
"eMule , URL: /wiki/EMule
","Xtreme , URL: /wiki/Xtreme_Mod
","[16] , URL: http://www.xtreme-mod.net/
","2004; 18 years ago (2004)","8.1 (March 4, 2011; 11 years ago (2011-03-04)[12]) [±]","eMule 0.50a (official)"
"eMule , URL: /wiki/EMule
","X-Ray","[17] , URL: http://sourceforge.net/projects/x-ray-mule
","December 23, 2006; 15 years ago (2006-12-23)","1.7 (July 18, 2009; 12 years ago (2009-07-18))","eMule 0.49c (official)"
"eMule , URL: /wiki/EMule
","ZZUL","[18] , URL: http://forum.emule-project.net/index.php?showforum=75
","?","20090222-2320 (February 22, 2009; 13 years ago (2009-02-22))","eMule 0.49c (official)"
"eMule , URL: /wiki/EMule
","ZZUL BastarD","[19] , URL: http://forum.emule-project.net/index.php?showtopic=65063
","November 28, 2004; 17 years ago (2004-11-28)","1.9.10 (November 9, 2009; 12 years ago (2009-11-09))","eMule 0.49c ZZUL"
"eMule , URL: /wiki/EMule
","eMule Plus , URL: /wiki/EMule_Plus
","[20] , URL: https://web.archive.org/web/20061004200701/http://www.emuleplus.info/
","October 2002; 19 years ago (2002-10)","1.2e (April 18, 2009; 12 years ago (2009-04-18)[13]) [±]","Old official eMule + own code"
"iMule , URL: /wiki/IMule
","iMule , URL: /wiki/IMule
","imule.i2p[14]","2003; 19 years ago (2003)","2.3.3.3 (June 1, 2016 (2016-06-01)) [±]","aMule , URL: /wiki/AMule
"
"JMule , URL: /wiki/JMule
","JMule , URL: /wiki/JMule
","[21] , URL: http://www.jmule.org/
","September 21, 2002; 19 years ago (2002-09-21)","0.5.8 (January 13, 2010; 12 years ago (2010-01-13)[15]) [±]","-"
"Jubster , URL: /wiki/Jubster
","Jubster , URL: /wiki/Jubster
","None[N 13]","?","3.1.0 (October 30, 2005; 16 years ago (2005-10-30)) [±]","-"
"LMule , URL: /wiki/LMule
","LMule , URL: /wiki/LMule
","[22] , URL: http://lmule.sourceforge.net/
","January 2003; 19 years ago (2003-01)","1.2.1 (April 27, 2003; 18 years ago (2003-04-27)) [±]","-"
"Lphant , URL: /wiki/Lphant
","Lphant , URL: /wiki/Lphant
","None[N 14]","2006; 16 years ago (2006)","3.51 (March 3, 2009; 13 years ago (2009-03-03)) [±]","-"
"MLDonkey , URL: /wiki/MLDonkey
","MLDonkey , URL: /wiki/MLDonkey
","[23] , URL: http://mldonkey.sourceforge.net/
","January 23, 2003; 19 years ago (2003-01-23)","3.1.7 (July 6, 2020; 20 months ago (2020-07-06)[16]) [±]","-"
"Morpheus , URL: /wiki/Morpheus_(software)
","Morpheus , URL: /wiki/Morpheus_(software)
","None[N 15]","2001; 21 years ago (2001)","5.55.1 (November 15, 2007; 14 years ago (2007-11-15)) [±]","-"
"Shareaza , URL: /wiki/Shareaza
","Shareaza , URL: /wiki/Shareaza
","[24] , URL: http://shareaza.sourceforge.net/
","2002; 20 years ago (2002)","2.7.10.2 (September 18, 2017; 4 years ago (2017-09-18)[17]) [±]","-"
"xMule , URL: /wiki/XMule
","xMule , URL: /wiki/XMule
","xmule.ws","June 2003; 18 years ago (2003-06)","1.13.7 RC1 (September 11, 2006; 15 years ago (2006-09-11)[18]) [±]","lMule , URL: /wiki/LMule
"
"Client","Client","Website","Initial Release","Current Stable Version","Based On"
