"Vehicle","Origin","Manufacturer","Payload mass to ... (kg)","Payload mass to ... (kg)","Payload mass to ... (kg)","Orbital launches incl. failures[a]","Date of flight","Date of flight"
"Vehicle","Origin","Manufacturer","LEO , URL: /wiki/Low_Earth_orbit
","GTO , URL: /wiki/Geostationary_transfer_orbit
","Other","Orbital launches incl. failures[a]","First[b]","Latest"
"Agnibaan , URL: /wiki/Agnibaan
","India , URL: /wiki/India
","AgniKul Cosmos , URL: /wiki/AgniKul_Cosmos
","100","","","0","2022[citation needed]",""
"Alpha , URL: /wiki/Firefly_Alpha
","United States , URL: /wiki/United_States
","Firefly Aerospace , URL: /wiki/Firefly_Aerospace
","1,000[1]","","630 to SSO","1","2021","2021"
"Amur , URL: /wiki/Amur_(launch_vehicle)
","Russia , URL: /wiki/Russia
","","10,500[2]","","","","2026[2]",""
"Angara 1.2 , URL: /wiki/Angara_(rocket_family)
","Russia , URL: /wiki/Russia
","Khrunichev , URL: /wiki/Khrunichev
","3,500[3]","","2,400 to SSO","0","2022[4][c]",""
"Angara A5 , URL: /wiki/Angara_(rocket_family)
","Russia , URL: /wiki/Russia
","Khrunichev , URL: /wiki/Khrunichev_State_Research_and_Production_Space_Center
","24,000[3]","KVTK , URL: /wiki/KVTK_(rocket_stage)
Briz-M , URL: /wiki/Briz-M
","","3[4]","2014","2021"
"Antares 230 , URL: /wiki/Antares_230
","United States , URL: /wiki/United_States
","Northrop Grumman , URL: /wiki/Northrop_Grumman
","8,200[6]","","3,000 to SSO[d]","6[7]","2016","2021"
"Ariane 5 , URL: /wiki/Ariane_5
","Europe , URL: /wiki/Europe
","EADS Astrium , URL: /wiki/EADS_Astrium_Space_Transportation
","21,000[8]","11,210[9]","","79[10]","2002","2021"
"Ariane 6 , URL: /wiki/Ariane_6
","Europe , URL: /wiki/Europe
","ArianeGroup , URL: /wiki/ArianeGroup
","10,350[11]: 45 ","5,000[11]: 33 ","6,450 to SSO 3,000 to HEO 3,000 to TLI [11]: 40–49 ","0","2022",""
