"English","Malay","Indonesian"
"I","saya, aku, daku","saya, aku, daku"
"ice","ais","es"
"Iceland","Iceland","Islandia"
"identity","identiti","identitas"
"image","citra, imej (of reputation), gambar (pictorial image), maruah (of reputation)","citra (of reputation), gambar (pictorial image)"
"imagination","imaginasi, bayangan","imajinasi, khayalan"
"immigration","imigresen, imigrasi","imigrasi from Dutch immigratie"
"import","import","impor"
"impotence","mati pucuk, impotensi, lemah syahwat","impotensi from Dutch impotentie, lemah syahwat colloquial"
"impotent","kemandulan","impotensi, kemandulan"
"incineration , URL: /wiki/Incineration
","penunuan","insinerasi"
"Indian Ocean","Lautan Hindi","Samudra Hindia"
"inductor","peraruh, induktor (rare)","induktor"
"information","maklumat","informasi, from Dutch informatie, penerangan rare"
"injection (noun)","suntikan","suntikan, injeksi"
"ink , URL: /wiki/Ink
","dakwat from Arabic","tinta from Dutch tinte, dawat (archaic)"
"installment (payment)","ansuran","angsuran, cicilan"
"instant , URL: /wiki/Instant
","segera (means "soon" in Indonesia)","seketika, instan"
"insurance","insurans","asuransi from Dutch assurantie"
"intelligence , URL: /wiki/Intelligence
","risikan (means 'secret investigation' in Indonesia)","intelijen, tilik sandi"
"international","antarabangsa","internasional, mancanegara from Javanese meaning: foreign land)"
"internet café , URL: /wiki/Internet_caf%C3%A9
","kafe internet, kafe cyber","warnet a portmanteau for "warung internet" (lit. internet shop)"
"intervention","campur tangan, intervensi","campur tangan, intervensi"
"introspection , URL: /wiki/Introspection
","kaji diri, introspeksi (rare)","introspeksi, mawas diri"
"invasion","penyerangan, penjajahan (means colonialism in Indonesian), invasi","invasi"
"investment","pelaburan","investasi, penanaman modal"
"Iraq","Iraq","Irak"
"Ireland","Ireland","Irlandia"
"irrigation , URL: /wiki/Irrigation
","pengairan","irigasi, pengairan"
"Italy","Itali","Italia from Italian"
