"Database Name","ACID , URL: /wiki/ACID
","Referential integrity , URL: /wiki/Referential_integrity
","Transactions , URL: /wiki/Database_transaction
","locking , URL: /wiki/Lock_(computer_science)
","Multiversion concurrency control , URL: /wiki/Multiversion_concurrency_control
","Unicode , URL: /wiki/Unicode
","Interface","Type inference , URL: /wiki/Type_inference
"
"4th Dimension , URL: /wiki/4th_Dimension_(Software)
","Yes","Yes","Yes","?","?","Yes","GUI , URL: /wiki/Graphical_user_interface
SQL , URL: /wiki/SQL
","Yes"
"ADABAS , URL: /wiki/ADABAS
","Yes","No","Yes","?","?","Yes","proprietary direct call & SQL (via 3rd party)","Yes"
"Adaptive Server Enterprise , URL: /wiki/Adaptive_Server_Enterprise
","Yes","Yes","Yes","Yes (Row-level locking)","Yes","Yes","API , URL: /wiki/API
GUI , URL: /wiki/GUI
SQL , URL: /wiki/SQL
","Yes"
"Advantage Database Server , URL: /wiki/Advantage_Database_Server
","Yes","Yes","Yes","Yes (Row-level locking)","?","Yes4","API , URL: /wiki/API
SQL , URL: /wiki/SQL
","Yes"
"Altibase , URL: /wiki/Altibase
","Yes","Yes","Yes","Yes (Row-level locking)","?","Yes","API , URL: /wiki/API
GUI , URL: /wiki/GUI
SQL , URL: /wiki/SQL
","Yes"
"Apache Derby , URL: /wiki/Apache_Derby
","Yes","Yes","Yes","Yes (Row-level locking) [50]","?","Yes","SQL , URL: /wiki/SQL
","Yes"
"ClustrixDB , URL: /wiki/Clustrix
","Yes","Yes","Yes","Yes","Yes","Yes","SQL , URL: /wiki/SQL
","Yes"
"CockroachDB , URL: /wiki/CockroachDB
","Yes","Yes","Yes","Yes (Row-level locking)","Yes","Yes","SQL , URL: /wiki/SQL
","No"
"CUBRID , URL: /wiki/CUBRID
","Yes","Yes","Yes","Yes (Row-level locking)","?","Yes","GUI , URL: /wiki/Graphical_user_interface
SQL , URL: /wiki/SQL
","Yes"
"DB2 , URL: /wiki/IBM_DB2
","Yes","Yes","Yes","Yes (Row-level locking)[51]","?","Yes","GUI , URL: /wiki/Graphical_user_interface
SQL , URL: /wiki/SQL
","Yes"
"Empress Embedded Database , URL: /wiki/Empress_database
","Yes","Yes","Yes","?","?","Yes","API , URL: /wiki/Graphical_user_interface
SQL , URL: /wiki/SQL
","Yes"
"EXASolution , URL: /wiki/EXASOL
","Yes","Yes","Yes","?","?","Yes","API , URL: /wiki/Graphical_user_interface
GUI , URL: /wiki/GUI
SQL , URL: /wiki/SQL
","Yes"
"Firebird , URL: /wiki/Firebird_(database_server)
","Yes","Yes","Yes","?","Yes","Yes","API , URL: /wiki/API
SQL , URL: /wiki/SQL
","Yes"
"HSQLDB , URL: /wiki/HSQLDB
","Yes","Yes","Yes","?","Yes","Yes","SQL , URL: /wiki/SQL
","Yes"
"H2 , URL: /wiki/H2_(DBMS)
","Yes","Yes","Yes","?","Yes[52]","Yes","SQL , URL: /wiki/SQL
","Yes"
"Informix Dynamic Server , URL: /wiki/Informix_Dynamic_Server
","Yes","Yes","Yes","Yes (Row-level locking)","Yes","Yes","SQL , URL: /wiki/SQL
JSON , URL: /wiki/JSON
","Yes"
"Ingres , URL: /wiki/Ingres_(database)
","Yes","Yes","Yes","Yes (Row-level locking)","Yes","Yes","SQL , URL: /wiki/SQL
QUEL , URL: /wiki/QUEL_query_languages
","Yes"
"InterBase , URL: /wiki/InterBase
","Yes","Yes","Yes","?","?","Yes","SQL , URL: /wiki/SQL
","Yes"
"Linter SQL RDBMS , URL: /wiki/Linter_SQL_RDBMS
","Yes","Yes","DDL , URL: /wiki/Data_Definition_Language
","Yes (Row-level locking)","?","Yes","API , URL: /wiki/API
GUI , URL: /wiki/GUI
SQL , URL: /wiki/SQL
","Yes"
"LucidDB , URL: /wiki/LucidDB
","Yes","No","No","?","?","Yes","SQL , URL: /wiki/SQL
","Yes"
"MariaDB , URL: /wiki/MariaDB
","Yes2","Yes","DDL , URL: /wiki/Data_Definition_Language
","Yes (Row-level locking)","Yes","Yes","SQL , URL: /wiki/SQL
","Yes"
"MaxDB , URL: /wiki/MaxDB
","Yes","Yes","Yes","?","?","Yes","SQL , URL: /wiki/SQL
","Yes"
"Microsoft Access , URL: /wiki/Microsoft_Access
","Yes","Yes","Yes","?","?","Yes","GUI , URL: /wiki/Graphical_user_interface
SQL , URL: /wiki/SQL
","Yes"
"Microsoft Visual FoxPro , URL: /wiki/Microsoft_Visual_FoxPro
","Yes","Yes","Yes","Yes (Row-level locking SMB2)","Yes","No","GUI , URL: /wiki/Graphical_user_interface
SQL , URL: /wiki/SQL
","Yes"
"Microsoft SQL Server , URL: /wiki/Microsoft_SQL_Server
","Yes","Yes","Yes","Yes (Row-level locking)[55]","Yes","Yes","GUI , URL: /wiki/Graphical_user_interface
SQL , URL: /wiki/SQL
","Yes"
"Microsoft SQL Server Compact (Embedded Database) , URL: /wiki/SQL_Server_Compact
","Yes","Yes","Yes","?","?","Yes","GUI , URL: /wiki/Graphical_user_interface
SQL , URL: /wiki/SQL
","Yes"
"Mimer SQL , URL: /wiki/Mimer_SQL
","Yes","Yes","Yes","Optimistic locking , URL: /wiki/Optimistic_locking
","Yes","Yes","API , URL: /wiki/API
GUI , URL: /wiki/GUI
SQL , URL: /wiki/SQL
","Yes"
"MonetDB , URL: /wiki/MonetDB
","Yes","Yes","Yes","?","?","Yes","API , URL: /wiki/API
SQL , URL: /wiki/SQL
","Yes"
"MySQL , URL: /wiki/MySQL
","Yes2","Yes3","DDL , URL: /wiki/Data_Definition_Language
","Yes (Row-level locking)[56]","Yes","Yes","GUI , URL: /wiki/Graphical_user_interface
SQL , URL: /wiki/SQL
","Yes"
"OpenEdge , URL: /wiki/OpenEdge_Database
","Yes","Yes6","Yes","Yes (Row-level locking)","?","Yes","GUI , URL: /wiki/Graphical_user_interface
SQL , URL: /wiki/SQL
","Yes"
