"S No.","Name","Operator","Manufacturer","Max range","Missile mass","Warhead/payload[clarification needed]","Status","First flight","MIRV , URL: /wiki/Multiple_independently_targetable_reentry_vehicle
","Mobility","CEP , URL: /wiki/Circular_error_probable
"
"1","RS-28 Sarmat , URL: /wiki/RS-28_Sarmat
","Russia , URL: /wiki/Russia
","State Rocket Center Makeyev , URL: /wiki/Makeyev_Rocket_Design_Bureau
","18,000 km","208.1 tonnes[1][2]","10,000 kg[2]","Under development","2018","Yes","Silo , URL: /wiki/Missile_silo
","10 m[3]"
"2","BZhRK Barguzin , URL: /wiki/BZhRK_Barguzin
","Russia , URL: /wiki/Russia
","Votkinsk , URL: /wiki/Votkinsk_Machine_Building_Plant
","12,600 km","45-50 tonnes","N/A","Under development","N/A","Yes","Railroad","N/A"
"3","R-36M2 Voevoda , URL: /wiki/R-36M2_Voevoda
","USSR","Yuzhny Machine-Building Plant","11,000 km (or 16,000 km with a single warhead)[4]","211,400 kg[4]","10 x 800 kt / 8730 kg[4]","Active","1986","Yes","Silo","220 m"
"4","UR-100N UTTKh , URL: /wiki/UR-100N_(missile)
","USSR","Khrunichev Machine-Building Plant , URL: /wiki/Khrunichev
","10,000 km","105,600 kg","6 x 550 kt / 4350 kg","Active","1977[5]","Yes","Silo","N/A"
"5","RT-2PM Topol , URL: /wiki/RT-2PM_Topol
","USSR","Votkinsk Machine Building Plant , URL: /wiki/Votkinsk_Machine_Building_Plant
","10,500 km","45,100 kg","800 kt","Active","1985","No","TEL , URL: /wiki/Transporter_erector_launcher
","200 m"
"6","RT-2PM2 Topol-M , URL: /wiki/RT-2PM2_Topol-M
","Russia , URL: /wiki/Russia
","Votkinsk Machine Building Plant","11,000 km","47,200 kg","800 kt","Active","1994","Yes","Silo , URL: /wiki/Missile_silo
","200 m"
"7","RS-24 , URL: /wiki/RS-24
","Russia","Votkinsk Machine Building Plant","12,000 km","49,000 kg","4 x 300 kt","Active","2007","Yes","Silo, road-mobile TEL","150 m"
"8","R-29R , URL: /wiki/R-29_Vysota
","Russia","State Rocket Center Makeyev","6,500 km","35,300 kg","1650 kg","Active","N/A","N/A","Delta III Submarine , URL: /wiki/Delta_class_submarine#Delta_III_(Project_667BDR,_Kalmar)_14_boats
","N/A"
"9","R-29RK , URL: /wiki/R-29_Vysota
","Russia","State Rocket Center Makayev","6,500 km","34,388 kg","1650 kg","Active","N/A","Yes","Delta III Submarine","N/A"
"10","R-29RL , URL: /wiki/R-29_Vysota
","Russia","State Rocket Center Makeyev","9,000 km","35,300 kg","1650 kg","Active","N/A","Yes","Delta III Submarine","N/A"
"11","R-29RM , URL: /wiki/R-29RM_Shtil
","Russia","Krasnoyarsk Machine-Building Plant , URL: /wiki/Krasnoyarsk_Machine-Building_Plant
","8,300 km","40,300 kg","2800 kg","Active","N/A","Yes","Delta IV Submarine , URL: /wiki/Delta_IV_class_submarine
","N/A"
