"Format","Languages"
"string (string'Last - n + 1 .. string'Last)","Ada , URL: /wiki/Ada_(programming_language)
"
"Right(string,n)","VB , URL: /wiki/Visual_Basic_(classic)
"
"RIGHT$(string,n)","BASIC , URL: /wiki/BASIC
"
"right(string,n)","FreeBASIC , URL: /wiki/FreeBASIC
Ingres , URL: /wiki/Ingres_(database)
Pick Basic , URL: /wiki/Pick_Basic
"
"strcpy(string2, string+n) (n must not be greater than the length of string)","C , URL: /wiki/C_(programming_language)
"
"string.Substring(string.Length()-n)","C# , URL: /wiki/C_Sharp_(programming_language)
"
"string[len(string)-n:]","Go , URL: /wiki/Go_(programming_language)
"
"string.substring(string.length()-n)","Java , URL: /wiki/Java_(programming_language)
"
"string.slice(-n)","JavaScript , URL: /wiki/JavaScript
"
"right(string,n «,padchar»)","Rexx , URL: /wiki/Rexx
Erlang , URL: /wiki/Erlang_(programming_language)
"
"substr(string,-n)","Perl 5 , URL: /wiki/Perl_5
PHP , URL: /wiki/PHP
"
"substr(string,*-n) string.substr(*-n)","Raku , URL: /wiki/Raku_(programming_language)
"
"string[-n:]","Cobra , URL: /wiki/Cobra_(programming_language)
Python , URL: /wiki/Python_(programming_language)
"
"string[n]","Pick Basic , URL: /wiki/Pick_Basic
"
"(string-take-right string n)","Scheme , URL: /wiki/Scheme_(programming_language)
"
"string[-n..-1]","Ruby , URL: /wiki/Ruby_(programming_language)
"
"string[$-n .. $]","D , URL: /wiki/D_(programming_language)
"
"String.sub string (String.length string - n) n","OCaml , URL: /wiki/OCaml
"
"string.sub(string, -n) (string):sub(-n)","Lua , URL: /wiki/Lua_(programming_language)
"
"string last: n","Smalltalk , URL: /wiki/Smalltalk
Squeak , URL: /wiki/Squeak
Pharo , URL: /wiki/Pharo
"
"StringTake[string, -n]","Mathematica , URL: /wiki/Mathematica
"
"string (1:n)","COBOL , URL: /wiki/COBOL
"
"¯n↑string.","APL , URL: /wiki/APL_(programming_language)
"
"string[n..] string.get(n..)","Rust , URL: /wiki/Rust_(programming_language)
"
