"Audio player","Flash , URL: /wiki/Adobe_Flash
","RealPix","QuickTime Video Effects in mov","HTML+TIME(+VML)","smil/smi , URL: /wiki/Synchronized_Multimedia_Integration_Language
","SVG , URL: /wiki/Scalable_Vector_Graphics
","MIDI , URL: /wiki/MIDI
","MIDI , URL: /wiki/MIDI
","MIDI , URL: /wiki/MIDI
","MIDI , URL: /wiki/MIDI
","MIDI , URL: /wiki/MIDI
","NSF , URL: /wiki/NES_Sound_Format
","SPC , URL: /wiki/SPC700
","PSF , URL: /wiki/Portable_Sound_Format
"
"AIMP , URL: /wiki/AIMP
","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No"
"Amarok , URL: /wiki/Amarok_(audio)
","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Audacious , URL: /wiki/Audacious_(software)
","No","No","No","No","No","No","Yes","No","No","Yes","No","Yes","Yes","Yes"
"Audion , URL: /wiki/Audion_(software)
","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"cmus , URL: /wiki/Cmus
","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Cog , URL: /wiki/Cog_(software)
","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"foobar2000 , URL: /wiki/Foobar2000
","No","No","No","No","No","No","Yes (plugin)","?","?","Yes (plugin)","Yes (plugin)","Yes (plugin)","Yes (plugin)","Yes (plugin)"
"JuK , URL: /wiki/JuK
","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"JRiver Media Center , URL: /wiki/JRiver_Media_Center
","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"MediaMonkey , URL: /wiki/MediaMonkey
","?","?","?","?","?","?","?","?","?","?","?","Yes (Winamp plugin)","Yes (Winamp plugin)","Yes (Winamp plugin)"
"MPXPLAY , URL: /wiki/MPXPLAY
","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"MusicBee , URL: /wiki/MusicBee
","?","?","?","?","?","?","?","?","?","?","?[f]","Yes","?","?"
"Musicmatch Jukebox , URL: /wiki/Musicmatch_Jukebox
","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"musikCube , URL: /wiki/MusikCube
","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Rhapsody , URL: /wiki/Rhapsody_(online_music_service)
","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Rhythmbox , URL: /wiki/Rhythmbox
","?","?","?","?","?","?","?","?","?","?","?","?","Yes","?"
"Sayonara Player , URL: /wiki/Sayonara_Player
","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Sonique , URL: /wiki/Sonique_(media_player)
","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"XMMS , URL: /wiki/XMMS
","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Zinf , URL: /wiki/Zinf
","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Audio player","Flash","RealPix","QuickTime Video Effects in mov","HTML+TIME(+VML)","smil/smi","SVG","MIDI(smf)","MIDI(kar)","MIDI(xmf)","MIDI(rmi)","MIDI(xmi)","NSF","SPC","PSF"
