"IPA , URL: /wiki/International_Phonetic_Alphabet
","iək","ĩ","ai","aĩ","au","am","ɔm","m̩","ɔŋ","ŋ̍","u","ua","ue","uai","uan","ɨ","(i)ũ"
"Pe̍h-ōe-jī , URL: /wiki/Pe%CC%8Dh-%C5%8De-j%C4%AB
","ek","iⁿ","ai","aiⁿ","au","am","om","m","ong","ng","u","oa","oe","oai","oan","i","(i)uⁿ"
"TLPA , URL: /wiki/Taiwanese_Language_Phonetic_Alphabet
","ik","iN","ai","aiN","au","am","om","m","ong","ng","u","ua","ue","uai","uan","ir","(i)uN"
"TLPA , URL: /wiki/Taiwanese_Language_Phonetic_Alphabet
","ik","inn","ai","ainn","au","am","om","m","ong","ng","u","ua","ue","uai","uan","ir","(i)unn"
"BP , URL: /wiki/Bb%C3%A1nl%C3%A1m_H%C5%8Dngggi%C3%A1n_P%C4%ABny%C4%ABn_H%C5%8Dng%C3%A0n
","ik","ni","ai","nai","au","am","om","m","ong","ng","u","ua","ue","uai","uan","i","n(i)u"
"MLT , URL: /wiki/Modern_Literal_Taiwanese
","eg/ek","vi","ai","vai","au","am","om","m","ong","ng","u","oa","oe","oai","oan","i","v(i)u"
"DT , URL: /wiki/Daighi_tongiong_pingim
","ik","inn/iⁿ","ai","ainn/aiⁿ","au","am","om","m","ong","ng","u","ua","ue","uai","uan","i","(i)unn/uⁿ"
"Taiwanese kana , URL: /wiki/Taiwanese_kana
","イェㇰ","イイ","アイ","アイ","アウ","アム","オム","ム","オン","ン","ウウ","ヲア","ヲエ","ヲァイ","ヲァヌ","ウウ","ウウ"
"Extended , URL: /wiki/Taiwanese_Phonetic_Symbols
bopomofo , URL: /wiki/Bopomofo
","ㄧㆶ","ㆪ","ㄞ","ㆮ","ㆯ","ㆰ","ㆱ","ㆬ","ㆲ","ㆭ","ㄨ","ㄨㄚ","ㄨㆤ","ㄨㄞ","ㄨㄢ","ㆨ","ㆫ"
"Tâi-lô , URL: /wiki/Taiwanese_Romanization_System
","ik","inn","ai","ainn","au","am","om","m","ong","ng","u","ua","ue","uai","uan","ir","(i)unn"
"traditional Chinese , URL: /wiki/Traditional_Chinese
","翻 譯","病 院","愛 情","","歐 洲","暗 時","","阿 姆","王 梨","黃 色","有 無","歌 曲","講 話","奇 怪","人 員","豬 肉","舀 水"
"simplified Chinese , URL: /wiki/Simplified_Chinese
","翻 译","病 院","爱 情","","欧 洲","暗 时","","阿 姆","王 梨","黄 色","有 无","歌 曲","讲 话","奇 怪","人 员","猪 肉","舀 水"
