"v t e Data compression software","v t e Data compression software","v t e Data compression software"
"Archivers , URL: 
","Free software , URL: /wiki/Free_software
","7-Zip Ark Expander FreeArc GNOME Archive Manager Info-ZIP KGB Archiver PAQ pax PeaZip tar XAD (decompression only) Xarchiver ZPAQ"
"Archivers , URL: 
","Freeware , URL: /wiki/Freeware
","Filzip LHA StuffIt Expander (decompression only) The Unarchiver (decompression only) TUGZip ZipGenius"
"Archivers , URL: 
","Commercial , URL: /wiki/Commercial_software
","ARC ALZip Archive Utility ARJ BetterZip MacBinary PKZIP/SecureZIP PowerArchiver StuffIt WinAce WinRAR WinZip"
"Non-archiving compressors","Generic","bzip2 compress gzip lzip lzop pack rzip Snappy XZ Utils zstd"
"Non-archiving compressors","For code , URL: /wiki/Executable_compression
","UPX"
"Audio compression , URL: /wiki/Data_compression#Audio
","Lossy , URL: /wiki/Lossy_compression
","AAC Fraunhofer FDK AAC Nero AAC Codec Freeware Advanced Audio Coder (FAAC) Helix DNA Producer MP3 l3enc LAME TooLAME libavcodec libcelt libopus libspeex Musepack libvorbis Windows Media Encoder"
"Audio compression , URL: /wiki/Data_compression#Audio
","Lossless , URL: /wiki/Lossless_compression
","ALAC FLAC libavcodec Monkey's Audio mp4als OptimFROG Shorten TTA (True Audio) WavPack"
"Video compression , URL: /wiki/Data_compression#Video
","Lossy , URL: /wiki/Lossy_compression
","MPEG-4 ASP , URL: /wiki/MPEG-4_Part_2

3ivx DivX Nero Digital FFmpeg HDX4 Xvid

H.264 / MPEG-4 AVC , URL: /wiki/H.264/MPEG-4_AVC

CoreAVC Blu-code DivX FFmpeg Nero Digital OpenH264 QuickTime x264

HEVC , URL: /wiki/High_Efficiency_Video_Coding

DivX x265

Others
CineForm Cinepak Daala DNxHD Helix DNA Producer Indeo libavcodec Schrödinger (Dirac) SBC Sorenson VP7 libtheora libvpx Windows Media Encoder


"
"Video compression , URL: /wiki/Data_compression#Video
","Lossless , URL: /wiki/Lossless_compression
","FFV1 Huffyuv Lagarith MSU Lossless YULS"
"See also: compression methods and compression formats","See also: compression methods and compression formats","See also: compression methods and compression formats"
