"Client","Developer","Initial release","Latest release","Latest release","License , URL: /wiki/Software_license
","2 GB limit , URL: /wiki/2_GB_limit
","Interface"
"Client","Developer","Initial release","Version","Date","License , URL: /wiki/Software_license
","2 GB limit , URL: /wiki/2_GB_limit
","Interface"
"cURL , URL: /wiki/CURL
","Daniel Stenberg","1998","
URL: https://www.wikidata.org/wiki/Q286306?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-03-05","curl , URL: /wiki/CURL
","Yes","CLI , URL: /wiki/Command-line_interface
"
"Cyberduck , URL: /wiki/Cyberduck
","David V. Kocher","2001","
URL: https://www.wikidata.org/wiki/Q1147137?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-11-03","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
","Yes","GUI , URL: /wiki/Graphical_user_interface
CLI , URL: /wiki/Command-line_interface
"
"Far Manager , URL: /wiki/Far_Manager
","Eugene Roshal , URL: /wiki/Eugene_Roshal
","1996","
URL: https://www.wikidata.org/wiki/Q1386527?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-03-10","BSD-3-Clause , URL: /wiki/BSD_licenses
","Yes","TUI , URL: /wiki/Text-based_user_interface
"
"FileZilla , URL: /wiki/FileZilla
","Community","2001 (January)","
URL: https://www.wikidata.org/wiki/Q300662?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-02-11","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","Yes","GUI , URL: /wiki/Graphical_user_interface
"
"FireFTP , URL: /wiki/FireFTP
","Mime Čuvalo","2004 (September)","
URL: https://www.wikidata.org/wiki/Q963280?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2019-02-01","MPL-1.1 , URL: /wiki/Mozilla_Public_License
Charityware , URL: /wiki/Charityware
","Yes (since version 2.0.5)","Waterfox , URL: /wiki/Waterfox
Firefox , URL: /wiki/Mozilla_Firefox
addon , URL: /wiki/Add-on_(Mozilla)
"
"Fugu , URL: /wiki/Fugu_(software)
","University of Michigan Research Systems Unix Group","2003","
URL: https://www.wikidata.org/wiki/Q2119346?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2005-05-02","Fugu[7]","?","GUI , URL: /wiki/Graphical_user_interface
"
"gFTP , URL: /wiki/GFTP
","Brian Masney","1998","
URL: https://www.wikidata.org/wiki/Q285397?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2008-11-30","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","Yes","GTK+ , URL: /wiki/GTK%2B
"
"lftp , URL: /wiki/Lftp
","Alexander V. Lukyanov","1996 (August)","
URL: https://www.wikidata.org/wiki/Q285893?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2020-08-13","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
","Yes","CLI , URL: /wiki/Command-line_interface
"
"Macfusion , URL: /wiki/Macfusion
","Michael Gorbach","0 ?","
URL: https://www.wikidata.org/wiki/Q6723289?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2010-12-03","Apache-2.0 , URL: /wiki/Apache_License
","?","GUI , URL: /wiki/Graphical_user_interface
"
"NcFTP , URL: /wiki/NcFTP
","NcFTP Software Inc.","1991","
URL: https://www.wikidata.org/wiki/Q955865?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2016-11-27","ClArtistic , URL: /wiki/Artistic_License
","Yes","CLI , URL: /wiki/Command-line_interface
"
"net2ftp , URL: /wiki/Net2ftp
","David C. Gartner","2003 (January)","
URL: https://www.wikidata.org/wiki/Q10798333?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2019-07-15","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","?","Web application , URL: /wiki/Web_application
"
"Rclone , URL: /wiki/Rclone
","Nick Craig-Wood","2014 (July)","
URL: https://www.wikidata.org/wiki/Q56795481?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-11-01","MIT , URL: /wiki/MIT_License
","Yes","CLI , URL: /wiki/Command-line_interface
"
"tnftp , URL: /wiki/Tnftp
","Luke Mewburn","1999","
URL: https://www.wikidata.org/wiki/Q7810787?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-08-27","BSD-4-Clause , URL: /wiki/BSD_licenses
","Yes","CLI , URL: /wiki/Command-line_interface
"
"WinSCP , URL: /wiki/WinSCP
","Martin Přikryl","2000","
URL: https://www.wikidata.org/wiki/Q1160381?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-02-22","GPL-3.0-only , URL: /wiki/GNU_General_Public_License
","Yes","GUI , URL: /wiki/Graphical_user_interface
CLI , URL: /wiki/Command-line_interface
"
