"Server","Security","Security","Security","Virtual hosting , URL: /wiki/Shared_web_hosting_service
","Dynamic content[a]","Dynamic content[a]","Dynamic content[a]","Dynamic content[a]","Dynamic content[a]","Dynamic content[a]","Dynamic content[a]","Dynamic content[a]","user , URL: /wiki/User_space
kernel space , URL: /wiki/Kernel_space
","Adminis-tration console","Additional protocol support","Additional protocol support","Additional protocol support","Additional protocol support"
"Server","Basic access authenti- cation , URL: /wiki/Basic_access_authentication
","Digest access authenti- cation , URL: /wiki/Digest_access_authentication
","SSL/TLS , URL: /wiki/Transport_Layer_Security
https , URL: /wiki/HTTP_Secure
","Virtual hosting , URL: /wiki/Shared_web_hosting_service
","CGI , URL: /wiki/Common_Gateway_Interface
","FCGI , URL: /wiki/FastCGI
","SCGI , URL: /wiki/Simple_Common_Gateway_Interface
","WSGI , URL: /wiki/Web_Server_Gateway_Interface
","Java Servlets , URL: /wiki/Java_Servlets
","SSI , URL: /wiki/Server_Side_Includes
","ISAPI , URL: /wiki/Internet_Server_Application_Programming_Interface
","SSJS , URL: /wiki/JavaScript#Server-side_JavaScript
","user , URL: /wiki/User_space
kernel space , URL: /wiki/Kernel_space
","Adminis-tration console","IPv6","HTTP/2 , URL: /wiki/HTTP/2
","QUIC , URL: /wiki/QUIC
","HTTP/3 , URL: /wiki/HTTP/3
"
"AOLserver , URL: /wiki/AOLserver
","Yes","No","Yes[b][c][d][3]","Yes","Yes","No","Unknown","No","No","Yes","Unknown","Unknown","user","Unknown","Unknown","Unknown","Unknown","Unknown"
"Apache HTTP Server , URL: /wiki/Apache_HTTP_Server
","Yes","Yes","Yes[e][c][4][f][5]","Yes","Yes","Yes","Yes","Yes[e]","No[g]","Yes","Yes[h]","Unknown","user","Yes[i]","Yes","Yes","Unknown","Unknown"
"Apache Tomcat , URL: /wiki/Apache_Tomcat
","Yes","Yes","Yes[j][6]","Yes","Yes","No","Unknown","No","Yes","Yes","No[k]","Unknown","user","Yes","Yes[l]","Yes","Unknown","Unknown"
"Boa , URL: /wiki/Boa_(web_server)
","No","No","Yes[m]","Yes","Yes","No","Unknown","No","No","No","No","No","user","Unknown","Yes","No","No","No"
"BusyBox httpd , URL: /wiki/BusyBox
","Yes","No","No","No","Yes","No","No","No","No","No[n]","No","No","user","No","Yes","No","No","No"
"Caddy , URL: /wiki/Caddy_(web_server)
","Yes","No","Yes","Yes","Partial[o]","Yes","No","No","No","No[p]","No","No","user","No","Yes","Yes","Yes","Yes[q]"
"Caucho Resin Server , URL: /wiki/Resin_Server
","Yes","Yes","paid version[c]","Yes","Yes","Yes","Unknown","No","Yes","Yes","No","Unknown","user","Yes","Yes","Unknown","Unknown","Unknown"
"Caudium , URL: /wiki/Caudium_(web_server)
","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","No","Yes","Yes","Unknown","Unknown","user","Yes","Yes[r]","Unknown","Unknown","Unknown"
"Cherokee HTTP Server , URL: /wiki/Cherokee_HTTP_Server
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Unknown","user","Yes","Yes[8]","Unknown","Unknown","Unknown"
"HFS , URL: /wiki/HTTP_File_Server
","Yes","No","No[9]","No","No","No","Unknown","No","No","No","Unknown","Unknown","user","Unknown","No","Unknown","Unknown","Unknown"
"Hiawatha HTTP Server , URL: /wiki/Hiawatha_webserver
","Yes","Yes","Yes[s][10]","Yes","Yes","Yes","No","No","No","Yes","No","Unknown","user","Yes","Yes","No[11]","No[11]","No[11]"
"IBM HTTP Server , URL: /wiki/IBM_HTTP_Server
","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","No","No","Yes","No","Unknown","user","Yes","Yes","Unknown","Unknown","Unknown"
"Internet Information Services , URL: /wiki/Internet_Information_Services
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No[t]","Yes","Yes","Yes","kernel and user[12]","Yes","Yes","Yes","Unknown","Unknown"
"Jetty , URL: /wiki/Jetty_(web_server)
","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown","No","Yes","Unknown","Unknown","Yes","user","Unknown","Unknown","Yes","Unknown","Unknown"
"Jexus , URL: /wiki/Jexus
","No","No","Yes","Yes","No","Yes","No","No","No","No","No","Yes","user","Yes","No","Unknown","Unknown","Unknown"
"lighttpd , URL: /wiki/Lighttpd
","Yes","Yes","Yes[c][13]","Yes","Yes","Yes","Yes","Yes","No[g]","Yes","No","No","user","No","Yes","Yes","No","No"
"LiteSpeed Web Server , URL: /wiki/LiteSpeed_Web_Server
","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","No[g]","Yes","No","Unknown","user","Yes","Yes","Yes","Yes","Yes[14]"
"Mongoose , URL: /wiki/Mongoose_(web_server)
","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","No","No","user","Yes","Yes","Unknown","Unknown","Unknown"
"Monkey HTTP Server , URL: /wiki/Monkey_HTTP_Server
","Yes","No","Yes[s]","Yes","Yes","Yes","No","No","No","No","No","No","user","No","Yes","Unknown","Unknown","Unknown"
"NaviServer , URL: /wiki/NaviServer
","Yes","No","Yes","Yes","Yes","No","Unknown","No","No","Yes","Unknown","Unknown","user","Yes","Yes","Unknown","Unknown","Unknown"
"NCSA HTTPd , URL: /wiki/NCSA_HTTPd
","Yes","Yes","Unknown","Partial[u]","Yes","Unknown","Unknown","No","No","Yes","No","No","user","No","No","No","No","No"
"nginx , URL: /wiki/Nginx
","Yes","Yes (module)","Yes","Yes","No","Yes","Yes","Yes","No[15]","Yes","No","Unknown","user","Yes[16]","Yes[17]","Yes[18]","No","Yes[v]"
"OpenBSD , URL: /wiki/OpenBSD
","Yes","No","Yes","Yes","No","Yes","No","No","No","No","No","No","user","No","Yes","No","No","No"
"OpenLink Virtuoso , URL: /wiki/Virtuoso_Universal_Server
","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","No","No","user","Yes","No","No","Unknown","Unknown"
