"Program","Comic book , URL: /wiki/Comic_book_archive
","PDF , URL: /wiki/Portable_Document_Format
","BMP , URL: /wiki/BMP_file_format
","JPEG , URL: /wiki/JPEG
","PNG , URL: /wiki/Portable_Network_Graphics
","TIFF , URL: /wiki/TIFF
","GIF , URL: /wiki/Graphics_Interchange_Format
","PSD , URL: /wiki/Adobe_Photoshop#File_format
","Other graphics file formats , URL: /wiki/Image_file_formats
"
"ACDSee , URL: /wiki/ACDSee
","","","BMP","JPEG","PNG","TIFF","GIF","PSD","EMF , URL: /wiki/Windows_Metafile
PCX , URL: /wiki/PCX
PSD , URL: /wiki/Adobe_Photoshop#File_format
PSP , URL: /wiki/Corel_Paint_Shop_Pro
WMF , URL: /wiki/Windows_Metafile
XBM , URL: /wiki/XBM
"
"Adobe Bridge , URL: /wiki/Adobe_Bridge
","","","","","","","","","Adobe Creative Suite , URL: /wiki/Adobe_Creative_Suite
"
"Aperture , URL: /wiki/Apple_Aperture
","","PDF","","JPEG","PNG","TIFF","GIF","PSD","PSD , URL: /wiki/Adobe_Photoshop#File_format
AVI , URL: /wiki/Audio_Video_Interleave
MOV , URL: /wiki/.mov
MPEG , URL: /wiki/MPEG
"
"CDisplay , URL: /wiki/CDisplay
","CBZ, CBR, CBT, CBA","","BMP","JPEG","PNG","","GIF","",""
"digiKam , URL: /wiki/DigiKam
","","","BMP","JPEG","PNG","TIFF","GIF","","JPEG 2000 , URL: /wiki/JPEG_2000
PCX , URL: /wiki/PCX
WMF , URL: /wiki/Windows_Metafile
PNM , URL: /wiki/Netpbm_format
XCF , URL: /wiki/XCF_(file_format)
XPM , URL: /wiki/X_PixMap
MPEG , URL: /wiki/MPEG
MPO , URL: /wiki/Image_file_formats#MPO
AVI , URL: /wiki/Audio_Video_Interleave
MOV , URL: /wiki/.mov
ASF , URL: /wiki/Advanced_Systems_Format
PGF , URL: /wiki/Portable_Graphics_Format
"
"Eye of GNOME , URL: /wiki/Eye_of_GNOME
","","","BMP","JPEG","PNG","TIFF","GIF","","PNM , URL: /wiki/Netpbm_format
RAS , URL: /wiki/.ras
ICO , URL: /wiki/ICO_(file_format)
XPM , URL: /wiki/X_PixMap
SVG , URL: /wiki/Scalable_Vector_Graphics
"
"F-Spot , URL: /wiki/F-Spot
","","","","JPEG","PNG","TIFF","GIF","","PPM , URL: /wiki/Portable_pixmap
SVG , URL: /wiki/Scalable_Vector_Graphics
"
"FastPictureViewer , URL: /wiki/Fast_Picture_Viewer
","","","BMP","JPEG","PNG","TIFF","","PSD","HD Photo , URL: /wiki/HD_Photo
HDP , URL: /wiki/HD_Photo
WDP , URL: /wiki/HD_Photo
JPEG XR , URL: /wiki/HD_Photo
RLE , URL: /wiki/Run-length_encoding
DIB , URL: /wiki/Device-independent_bitmap
ICO , URL: /wiki/ICO_(file_format)
DjVu , URL: /wiki/DjVu
TGA , URL: /wiki/Truevision_TGA
WIC codecs , URL: /wiki/Windows_Imaging_Component
"
"FastStone Image Viewer , URL: /wiki/FastStone_Image_Viewer
","","","BMP","JPEG","PNG","TIFF","GIF","PSD","JPEG 2000 , URL: /wiki/JPEG_2000
PCX , URL: /wiki/PCX
WMF , URL: /wiki/Windows_Metafile
ICO , URL: /wiki/ICO_(file_format)
CUR , URL: /wiki/ICO_(icon_image_file_format)
TGA , URL: /wiki/Truevision_TGA
CRW , URL: /wiki/Raw_image_format
FAX , URL: /wiki/FAX
JFIF , URL: /wiki/JFIF
HEIC , URL: /wiki/High_Efficiency_Image_File_Format
WEBP , URL: /wiki/WEBP
"
"Geeqie , URL: /wiki/Geeqie
","","PDF","BMP","JPEG","PNG","TIFF","GIF","PSD","ANI , URL: /wiki/ANI_(file_format)
APM , URL: /wiki/Windows_Metafile
CUR , URL: /wiki/ICO_(file_format)
ICNS , URL: /wiki/Apple_Icon_Image_format
ICO , URL: /wiki/ICO_(file_format)
JP2/JPC/JPX/J2K/JPF , URL: /wiki/JPEG_2000
JPS , URL: /wiki/JPEG#JPEG_Stereoscopic
MPO , URL: /wiki/JPEG#JPEG_Multi-Picture_Format
PCX , URL: /wiki/PCX
PBM/PGM/PNM/PPM , URL: /wiki/Netpbm_format
QuickTime , URL: /wiki/QuickTime
Sun Raster , URL: /wiki/Sun_Raster
SVG/SVGZ , URL: /wiki/Scalable_Vector_Graphics
TGA/TARGA , URL: /wiki/Truevision_TGA
WBMP , URL: /wiki/Wireless_Application_Protocol_Bitmap_Format
WMF , URL: /wiki/Windows_Metafile
XBM , URL: /wiki/X_BitMap
XPM , URL: /wiki/X_PixMap
"
"Gonvisor , URL: /wiki/Gonvisor
","CBZ, CBR, CBA, CB7","PDF","BMP","JPEG","PNG","","GIF","","Opens images contained in rar, zip, ace and 7zip files."
"GraphicConverter , URL: /wiki/GraphicConverter
","","PDF","BMP","JPEG","PNG","TIFF","GIF","PSD","190 types read, 79 types saved"
"gThumb , URL: /wiki/GThumb
","","","BMP","JPEG","PNG","TIFF","GIF","",""
"Gwenview , URL: /wiki/Gwenview
","","","BMP","JPEG","PNG","TIFF","GIF","PSD","MNG , URL: /wiki/Multiple-image_Network_Graphics
SVG , URL: /wiki/Scalable_Vector_Graphic
XCF , URL: /wiki/XCF_(file_format)
"
"iPhoto , URL: /wiki/IPhoto
","","","","JPEG","PNG","","GIF","PSD","QuickTime , URL: /wiki/QuickTime
"
"IrfanView , URL: /wiki/IrfanView
","","PDF","BMP","JPEG","PNG","TIFF","GIF","PSD","PSD , URL: /wiki/Adobe_Photoshop#File_format
"
"KSquirrel , URL: /wiki/KSquirrel
","","","","","","","","","51 types"
"KPhotoAlbum , URL: /wiki/KPhotoAlbum
","","","","","","","","","Photo formats supported by KDE; AVI, MPEG, RAW"
"Lphoto","","","","","","","","","iPhoto Clone"
"Phase One Media Pro , URL: /wiki/Phase_One_Media_Pro
","","PDF","","JPEG","PNG","TIFF","GIF","PSD","Supports over 100 file formats for images, videos and documents, including: PSD, IIQ, CR, EIP, DOC"
"Picasa , URL: /wiki/Picasa
","","","BMP","JPEG","PNG","TIFF","GIF","","TGA , URL: /wiki/Truevision_TGA
RAW , URL: /wiki/Raw_image_format
"
"Preview , URL: /wiki/Preview_(software)
","","PDF","BMP","JPEG","PNG","TIFF","GIF","","QuickTime , URL: /wiki/QuickTime
"
"Shotwell , URL: /wiki/Shotwell_(software)
","","","","JPEG","PNG","TIFF","GIF","","RAW , URL: /wiki/Raw_image_format
"
