"null","null","null","null","null","null","null","null","null"
"Neurofeedback","Clinic 2.0; Home 2.0","Windows","BetterFly Neurofeedback","Proprietary","Classification by device","GENIUS, U-WIZ","null","null"
"Biofeedback: visual designer","2.0","Windows, Android","PROATECH LLC","Proprietary","No (but basis of Cygnet and others)","Pocket Neurobics,[1] BrainQuiry,[2] NeuroAmp,[3] Neurobit Optima, Neurobit Optima+,  Brainmaster,[4] QDS[2]","null","null"
"Neurofeedback","1.5","Windows","Cyberevolution, Larry Janow","Proprietary","No "Intended for personal use..."","Brainmaster,[4] BrainQuiry,[2] NeuroAmp,[3] Neurobit Optima, Neurobit Optima+,  J&J,[4] NeuroSky,[2]
 Pocket Neurobics,[1] QDS,[2] Telediagnostic Systems[4]","null","null"
"Neurofeedback/Biofeedback","6.1.0","Windows","Thought Technology Ltd, Dr. Hal Myers","Proprietary","Yes","Thought Technology[4]","null","null"
"Neurofeedback, Biofeedback, QEEG","2015","Windows","Mind Media B.V.","Proprietary","Medical class II","NeXus by Mind Media[2] 4, 10 (MKII), 32","null","null"
"Game","?","Java","Amy Palke","Open source","No","","null","null"
"Neurofeedback: MIDI, particle display","?","Windows","Chris Veigl and Jeremy Wilkerson","GPL","No","Neurobit Optima, Neurobit Optima+ and more","null","null"
"Neurofeedback","v12","Windows","Deymed Diagnostic","Proprietary","Yes","Deymed","null","null"
"Neurofeedback, Biofeedback, and QEEG; optional live z-scores (ANI or BrainDX), Live sLORETA Projector.","various including BrainAvatar. Third-party SW includes: NeuroGuide, BioExplorer, BioERA, BrainPaint, SKIL, LENS, EEGer, BrainTrain, OpenVibe, EEGStudio","Windows","BrainMaster Technologies, Inc. Thomas F. Collura","Proprietary; includes optional no-cost Application Programming Interfaces (API)","FDA 510(k) clearance, ISO 13485 certification, and CE marking in Europe","Brainmaster[4] 2E, 2EW, 2EB, Atlantis, Discovery, MINI-Q","null","null"
"Evidence Based Neurofeedback, with a validated[5] and replicated[6][7][8][9][10][11][12][13][14][15][16][17][18][19][20][21] symptom based evaluation tool.","2.0 Includes BrainPrint, Alpha Theta, Brain-Heart Coherence, Couples Synchrony, Nonlinear, Slow Cortical Potential, Coherence training and all other frequency rewards and inhibits.","N/A","BrainPaint, Inc. William C. Scott","Proprietary","FDA 510(k) clearance, ISO 13485 certification, and CE marking in Europe","Brainmaster[4] 2E, 2EW, 2EB, Atlantis, Discovery","null","null"
"Brainwave viewer","1.0.5","Linux, Windows","Jim Peters","GPL","No","","null","null"
"Neurofeedback/Biofeedback Neurofeedback: Frequency-band and SCP protocols according to Othmer, particularly: SMR-Beta, ILF 1+2 channel, Synchrony, Alpha Theta. with EEG NeuroAmp one or two channel protocols, with x23 or x39 optional 19 or 31 channels Biofeedback: pIR HEG training with passive-infrared triple sensor pIRx3; HRV, GSR, Temp with Combination Sensor.","2.0","Windows (any version)","Developer: BEE Systems GmbH Manufacturer: Corscience GmbH&CoKG Distribution: BEE Medic Europe, BEE Medic EMEA, BEE Medic USA","Proprietary","FDA class II, CE class IIa; including Cygnet Bio/Neurofeedback Software","NeuroAmp[3] Bio/Neurofeedback device plus add-ons: NeuroAmp x23 (23-channel digital EEG device) NeuroAmp x39 (39-channel digital EEG device) pIRx3 (3-channel passive infrared sensor) tactile feedback Combination Sensor (HRV, GSR, Temperature)","null","null"
"Biofeedback GSR & Temp","3.0","Windows","Somatic Vision Inc.","Proprietary","Unknown (not EEG)","","null","null"
"Neurofeedback & Analysis one-, two- and four channel training, Amplitude-, relative Amplitude-, Coherence-, Band-Ratio-, Asymmetry-inhibit-Training and more ..","1.5","Windows","Soft-dynamics, Geoffrey Arens","Proprietary","No – not stated or in FDA database","Pocket Neurobics,[1] Neurobit Optima,[2] Brainmaster[4]","null","null"
"Neurofeedback & Analysis","15.0.5.0","Windows","ELMIKO Biosignals Ltd.","Proprietary","Safety class according to EN60601-1 - Class IIa, type BF","Manufactured by ELMIKO Biosignals Ltd.: EEG-2, EEG-3, EEG-4, EEG-5, ExG-32 Manufactured by Braintronics: EEG-1166 Amplifier, EEG-1142 Amplifier, EEG-1042 Amplifier,","null","null"
"Neurofeedback & Analysis","4.3.0","Windows","EEG Software LLC","Proprietary","FDA Class II","J&J,[4] Telediagnostic Systems,[4] Phoenix Neuro Systems,[4] Thought Technology,[4] Brainmaster,[4] Brainquiry,[2]
Pocket Neurobics,[1] external analog amplifiers","null","null"
"Neuro-Biofeedback","Clinic 7.0; Home use 7.0","Windows","ScienceBeam","Proprietary","CE, ISO 13485","eWave, eLab, , QEEG, EEG2-EEG128 channels eWave, eLab, eWave+,","null","null"
"Neurofeedback","0.4","Windows","Rob Sacks","Open source","No","","null","null"
"EventIDE","Visual environment for designing behavioral experiments and mental games with real-time neurofeedback control and signal processing.","1.0","Windows","Okazolab Ltd","Proprietary","No","The majority of popular bio-amplifiers","null"
"null","null","null","null","null","null","null","null","null"
"Neurofeedback, Biofeedback, and EEG-Driven Entrainment","1.3","Windows","Transparent Corporation","Proprietary","No but can use Bioexplorer, Biograph, BioEra links","See Bioexplorer, Biograph, BioEra","null","null"
"Neurofeedback","1.1","Windows","MindReflector Technologies, LLC","Proprietary","No","NeuroSky[2]","null","null"
"Narbis Neurofeedback Smart Glasses","1.0","Android","Narbis","Proprietary",""FDA Class II 510(k) Exempt CE, IEC 62368-1:2014 (Second Edition), CFR 47 FCC Part 15 Subpart B EN 61000-3-2:2014 EN 61000-3-3:2013 EN 61326-1:2013"","Narbis Bluetooth Smart Glasses [22]","","$690"
"null","null","null","null","null","null","null","null","null"
"Customizable Biofeedback, protocol designing and automated therapy solution","1.2.0","Windows, Mac OS, Linux, Android, iOS","neuromore Inc.","Proprietary","No","null","null","null"
"Neurofeedback","3.0","Windows","Valdeane W. Brown, Ph.D.","Proprietary","Unknown – not stated or in FDA database","zAmp[2] from Zengar","null","null"
"Real-time Processing, Self Neuromodulation, Bio/Neurofeedback","2.2","Windows, Linux, Android","Mensia Technologies","Proprietary","Medical device CE class IIa","ANT: All devices Biosemi: ActiveTwo Mk I and ActiveTwo Mk II Brainmaster: Atlantis and Discovery 24 Brain Products: ActiCHamp, BrainAmp series, QuickAmp and vAMP Cognionics: Cognionics64 EGI: NetAmps 300 Emotiv: EPOC g.Tec: gMobilab+ and gUSBamp MindMedia: NeXus32, NeXus10 Mitsar: EEG 202; NeuroElectrics: Enobio OpenEEG: ModularEEG Shimmer TMSi: Porti, Refa, MOBITA, MOBI, MOBI mini Wearable Sensing: DSI24 and DSI6","null","null"
"Raw EEG to TCP/IP + EDF converter","0.7.4","Linux, Windows","[Rudi Cilibrasi]","GPL","No","","null","null"
"BCI, Visual Designer, Analysis, Neurofeedback","0.18","Linux, Windows","INRIA","AGPL-3","No","List of compatible systems","null","null"
"Neurofeedback","v2010","Windows","BrainTrain, Inc.","Proprietary","Unknown – not stated or in FDA database","Smartmind,[2] Brainmaster,[4] Thought Technology,[4] J&J,[4] Pocket Neurobics,[1] NeuroSky[2]","null","null"
"Neurofeedback: Single-active channel, amplitude training - home-based remote training","?","Android, iOS","Myndlift LTD","Proprietary","No","Muse","","null"
"Neurofeedback/Biofeedback","v5.2.5","Windows","Stephen Clark","Proprietary","No","Vilistus","null","null"
