"Mail Server","DNSBL , URL: /wiki/DNSBL
","SURBL , URL: /wiki/SURBL
","Spamtraps , URL: /wiki/Spamtrap
","Greylisting , URL: /wiki/Greylisting_(email)
","SPF , URL: /wiki/Sender_Policy_Framework
","DKIM , URL: /wiki/DKIM
","DMARC , URL: /wiki/DMARC
","Tarpit , URL: /wiki/Tarpit_(networking)
","Bayesian filters , URL: /wiki/Bayesian_spam_filtering
","Regular expressions , URL: /wiki/Regular_expression
","Embedded Antivirus , URL: /wiki/Antivirus
","Embedded Antispam , URL: /wiki/Antispam
"
"agorum core , URL: /wiki/Agorum_core
","No","No","No","No","No","No","No","No","No","Yes","No","No"
"Apache James , URL: /wiki/Apache_James
","?","?","?","?","?","?","?","?","Yes","?","ClamAV , URL: /wiki/Clam_AntiVirus
","Apache , URL: /wiki/Apache
SpamAssassin , URL: /wiki/SpamAssassin
"
"Axigen , URL: /wiki/Axigen
","Yes","No","Yes","Yes","Yes","Yes","?","No","SpamAssassin , URL: /wiki/SpamAssassin
","Yes","CYREN , URL: /wiki/CYREN
","CYREN , URL: /wiki/CYREN
"
"Citadel , URL: /wiki/Citadel/UX
","Yes","Yes","No","No","SpamAssassin , URL: /wiki/SpamAssassin
","?","?","No","SpamAssassin , URL: /wiki/SpamAssassin
","No","ClamAV , URL: /wiki/Clam_AntiVirus
","SpamAssassin , URL: /wiki/SpamAssassin
"
"Courier Mail Server , URL: /wiki/Courier_Mail_Server
","Yes","?","Yes","Yes[32]","Yes","Yes[33]","Yes[34]","Yes","Yes[32]","Yes[32]","Clamav , URL: /wiki/Clamav
","Yes[32]"
"Dovecot , URL: /wiki/Dovecot_(software)
","No[35]","No","?","?","?","?","?","?","?","?","?","?"
"Eudora Internet Mail Server , URL: /wiki/Eudora_Internet_Mail_Server
","Yes","?","Yes","Yes","?","?","?","?","?","?","?","?"
"Exim , URL: /wiki/Exim
","Yes","Yes","Yes","Yes","Optional at build time","Yes","Optional at build time","Yes","Optional with spamassassin etc.","Yes","Optional any","Optional any"
"FirstClass , URL: /wiki/FirstClass
","Yes","Yes","No","?","Yes","?","?","Yes","Yes","Yes","Symantec , URL: /wiki/NortonLifeLock
","?"
"Gordano Messaging Suite , URL: /wiki/Gordano_Messaging_Suite
","Yes","Yes","Yes","Yes","Yes","?","?","Yes","Yes","Yes","CYREN , URL: /wiki/CYREN
Authentium , URL: /wiki/Authentium
","CYREN , URL: /wiki/CYREN
"
"GroupWise , URL: /wiki/GroupWise
","Yes","?","?","?","?","?","?","?","?","?","?","?"
"Halon , URL: /wiki/Halon_(software)
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","SpamAssassin , URL: /wiki/SpamAssassin
","Yes","Sophos , URL: /wiki/Sophos
ClamAV , URL: /wiki/Clam_AntiVirus
","CYREN , URL: /wiki/CYREN
SpamAssassin , URL: /wiki/SpamAssassin
"
"Haraka , URL: /wiki/Haraka_(software)
","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Optional with spamassassin etc.","Yes","ClamAV , URL: /wiki/Clam_AntiVirus
AVG , URL: /wiki/AVG_(software)
","SpamAssassin , URL: /wiki/SpamAssassin
MessageSniffer , URL: /w/index.php?title=MessageSniffer&action=edit&redlink=1
"
"hMailServer , URL: /wiki/HMailServer
","Yes","Yes","No","Yes","Yes","Yes","?","No","No","Yes","ClamAV , URL: /wiki/Clam_AntiVirus
","SpamAssassin , URL: /wiki/Spam_Assassin
"
"IBM Notes , URL: /wiki/IBM_Notes
","Yes[36]","?","?","?","No[37]","?","?","?","?","?","?","?"
"IceWarp Mail Server , URL: /wiki/IceWarp_Mail_Server
","Yes","Yes","Yes","Yes","Yes","?","?","Yes","Yes","Yes","Yes","Yes"
"Ipswitch IMail Server , URL: /wiki/Ipswitch_IMail_Server
","Yes","Yes","No","No","Yes","Yes[38]","Yes[39]","No","Yes","Yes","Symantec , URL: /wiki/NortonLifeLock
BitDefender , URL: /wiki/BitDefender
","CYREN , URL: /wiki/CYREN
"
