"","Imports , URL: /wiki/Imports
","Imports , URL: /wiki/Imports
","Imports , URL: /wiki/Imports
","Imports , URL: /wiki/Imports
","Exports , URL: /wiki/Exports
","Exports , URL: /wiki/Exports
","Exports , URL: /wiki/Exports
","Exports , URL: /wiki/Exports
"
"","EXR , URL: /wiki/OpenEXR
","DDS , URL: /wiki/DirectDraw_Surface
","KTX","others","EXR","DDS","KTX","others"
"3ds Max , URL: /wiki/3ds_Max
","Yes","Yes","?","JPG , URL: /wiki/JPG
PNG , URL: /wiki/Portable_Network_Graphics
GIF , URL: /wiki/GIF
","?","?","?","?"
"Art of Illusion , URL: /wiki/Art_of_Illusion_(software)
","No","No","No","GIF , URL: /wiki/GIF
JPG , URL: /wiki/JPG
PNG , URL: /wiki/Portable_Network_Graphics
BMP , URL: /wiki/BMP_file_format
","?","?","?","JPG , URL: /wiki/JPG
PNG , URL: /wiki/Portable_Network_Graphics
BMP , URL: /wiki/BMP_file_format
"
"AC3D , URL: /wiki/AC3D
","?","Yes","?","GIF , URL: /wiki/GIF
JPG , URL: /wiki/JPG
PNG , URL: /wiki/Portable_Network_Graphics
BMP , URL: /wiki/BMP_file_format
","?","Yes","?","GIF , URL: /wiki/GIF
JPG , URL: /wiki/JPG
PNG , URL: /wiki/Portable_Network_Graphics
BMP , URL: /wiki/BMP_file_format
"
"Blender , URL: /wiki/Blender_(software)
","Yes","Yes","?","JPG , URL: /wiki/JPG
PNG , URL: /wiki/Portable_Network_Graphics
GIF , URL: /wiki/GIF
","Yes","?","?","JPG , URL: /wiki/JPG
PNG , URL: /wiki/Portable_Network_Graphics
GIF , URL: /wiki/GIF
"
"Electric Image Animation System , URL: /wiki/Electric_Image_Animation_System
","?","?","?","JPG , URL: /wiki/JPG
PNG , URL: /wiki/Portable_Network_Graphics
BMP , URL: /wiki/BMP_file_format
","?","?","?","PNG , URL: /wiki/Portable_Network_Graphics
BMP , URL: /wiki/BMP_file_format
GIF , URL: /wiki/GIF
"
"Cinema 4D , URL: /wiki/Cinema_4D
","Yes","Yes","?","Radiance HDR, BodyPaint 3D, TIFF, PSD","Yes","Yes","?","Radiance HDR, BodyPaint 3D, TIFF, PSD"
"Clara.io , URL: /wiki/Clara.io
","Yes[9]","Yes[9]","?","PNG , URL: /wiki/Portable_Network_Graphics
","?","?","?","?"
"Cobalt , URL: /wiki/Cobalt_(CAD_program)
","?","?","?","BMP , URL: /wiki/BMP_file_format
GIF , URL: /wiki/Graphics_Interchange_Format
JPEG , URL: /wiki/JPEG
PICT , URL: /wiki/PICT
PNG , URL: /wiki/Portable_Network_Graphics
XBM , URL: /wiki/X_BitMap
XPM , URL: /wiki/X_PixMap
","?","?","?","BMP , URL: /wiki/BMP_file_format
GIF , URL: /wiki/Graphics_Interchange_Format
JPEG , URL: /wiki/JPEG
PICT , URL: /wiki/PICT
PNG , URL: /wiki/Portable_Network_Graphics
XBM , URL: /wiki/X_BitMap
XPM , URL: /wiki/X_PixMap
"
"Houdini , URL: /wiki/Houdini_(software)
","Yes","?","?","?","Yes","?","?","?"
"IClone , URL: /wiki/IClone
","?","?","?","JPG, BMP, GIF, TGA, PNG, AVI, WMV, MP3, WAV, popVideo","?","?","?","JPG, BMP, GIF, TGA, PNG, WMV, AVI, MP4, popVideo, FLV, iWidget"
"Lightwave 3D , URL: /wiki/Lightwave_3D
","Yes","?","?","JPG , URL: /wiki/JPG
PNG , URL: /wiki/Portable_Network_Graphics
BMP , URL: /wiki/BMP_file_format
GIF , URL: /wiki/GIF
","Yes","?","?","JPG , URL: /wiki/JPG
PNG , URL: /wiki/Portable_Network_Graphics
BMP , URL: /wiki/BMP_file_format
GIF , URL: /wiki/GIF
"
"MakeHuman , URL: /wiki/MakeHuman
","?","?","?","?","?","?","?","?"
"Maya , URL: /wiki/Maya_(software)
","Yes","?","?","GIF , URL: /wiki/GIF
PNG , URL: /wiki/Portable_Network_Graphics
BMP , URL: /wiki/BMP_file_format
","Yes","Yes","?","GIF , URL: /wiki/GIF
BMP , URL: /wiki/BMP_file_format
PNG , URL: /wiki/Portable_Network_Graphics
"
"Metasequoia , URL: /wiki/Metasequoia_(software)
","EX version only","Yes","No","BMP, JPG, PNG, IFF, TGA, PPM, TIFF, PSD, Radiance HDR","?","?","?","?"
"Modo , URL: /wiki/Modo_(software)
","Yes","?","?","BMP , URL: /wiki/BMP_file_format
GIF , URL: /wiki/GIF
JPG , URL: /wiki/JPG
PNG , URL: /wiki/Portable_Network_Graphics
","Yes","?","?","BMP , URL: /wiki/BMP_file_format
GIF , URL: /wiki/GIF
JPG , URL: /wiki/JPG
PNG , URL: /wiki/Portable_Network_Graphics
"
"Remo 3D , URL: /wiki/Remo_3D
","?","Yes","?","BMP, GIF, JPG, PNG, PNM, SGI (RGB), TGA, TIF","?","?","?","JPG, PNG, SGI (RGB), TIF, XPM"
"Shade , URL: /wiki/Shade_3D
","Yes","(DDS Converter plugin)","?","?","Yes","(DDS Converter plugin)","?","QuickTime VR, Piranesi EPix"
"Softimage , URL: /wiki/Softimage
","?","?","?","?","?","?","?","?"
"Solid Edge , URL: /wiki/Solid_Edge
","?","?","?","?","?","?","?","?"
"SketchUp Make , URL: /wiki/SketchUp
","?","?","?","JPG , URL: /wiki/JPG
PNG , URL: /wiki/Portable_Network_Graphics
BMP , URL: /wiki/BMP_file_format
","?","?","?","JPG , URL: /wiki/JPG
PNG , URL: /wiki/Portable_Network_Graphics
BMP , URL: /wiki/BMP_file_format
"
"SketchUp , URL: /wiki/SketchUp
","?","?","?","JPG , URL: /wiki/JPG
PNG , URL: /wiki/Portable_Network_Graphics
BMP , URL: /wiki/BMP_file_format
","?","?","?","JPG , URL: /wiki/JPG
PNG , URL: /wiki/Portable_Network_Graphics
BMP , URL: /wiki/BMP_file_format
"
"E-on Vue , URL: /wiki/E-on_Vue
","?","?","?","?","?","?","?","?"
"Wings3D , URL: /wiki/Wings3D
","?","?","?","?","?","?","?","?"
