"Maker","Model","Intro year","End year","Screen size (inch)","Self-lit","Screen type","Screen model","Weight","Screen pixels , URL: /wiki/Display_resolution
","Touch screen","Wireless network","Text-to-speech","Folders","Internal Storage","Micro SDHC","Web browser","Library DRM compatible","USB peripherals"
"Aluratek , URL: /w/index.php?title=Aluratek&action=edit&redlink=1
","Libre Ebook Reader Pro","2009","2014","5 in","No","ePaper","","213 g (7.5 oz)","600 × 800","No","No","No","Yes","90 MB","up to 32 GB","No","Yes","No"
"Amazon.com , URL: /wiki/Amazon.com
","Kindle Paperwhite (2nd generation) , URL: /wiki/Kindle_Paperwhite_(2nd_generation)
","2013","2015","6 in","Yes","eInk Carta","","215 g (7.6 oz)","758 × 1024","2-Point","CDMA , URL: /wiki/Evolution-Data_Optimized
GSM , URL: /wiki/UMTS
","No","Yes","2 GB (1.25 GB)","No","Yes","US only","No"
"Amazon.com , URL: /wiki/Amazon.com
","Kindle Paperwhite , URL: /wiki/Kindle_Paperwhite
","2012","2013","6 in","Yes","eInk Pearl","","221 g (7.8 oz)","758 × 1024","2-Point","Wi-Fi/ CDMA, GSM","No","Yes","2 GB (1.25 GB)","No","Yes","US only","No"
"Amazon.com , URL: /wiki/Amazon.com
","Kindle , URL: /wiki/Amazon_Kindle
","2012","2014","6 in","No","eInk Pearl","","170 g (5.98 oz)","600 × 800","No","Wi-Fi","No","Yes","2 GB (1.25 GB)","No","Yes","US only","No"
"Amazon.com","Kindle , URL: /wiki/Amazon_Kindle
","2011","2012","6 in","No","eInk Pearl","","170 g (6.0 oz)","600 × 800","No","Wi-Fi","No","Yes","2 GB (1.25 GB)","No","Yes","US only","No"
"Amazon.com","Kindle Touch , URL: /wiki/Kindle_Touch
","2011","2012","6 in","No","eInk Pearl","","220 g (7.8 oz)","600 × 800","Yes","CDMA , URL: /wiki/Evolution-Data_Optimized
GSM , URL: /wiki/UMTS
","Yes","Yes","4 GB (3 GB)","No","Yes","US only","No"
"Amazon.com","Kindle Keyboard , URL: /wiki/Kindle_Keyboard
","2010","2011","6 in","No","eInk Pearl","ED060SC7(LF)","247 g (8.7 oz)","600 × 800","No","Wi-Fi/CDMA, GSM","Yes","Yes","4 GB (3 GB)","No","Yes","US only","No"
"Amazon.com","Kindle DX , URL: /wiki/Kindle_DX
","2009","2011","9.7 in","No","eInk","","540 g (19 oz)","824 × 1200","No","CDMA (USA), GSM","Yes","Yes","4 GB (3.3 GB)","No","limited","US only","No"
"Amazon.com","Kindle DX , URL: /wiki/Kindle_DX
","2010","2012","9.7 in","No","eInk Pearl","","535 g (18.9 oz)","824 × 1200","No","HSDPA/GSM","Yes","Yes","4 GB (3.3 GB)","No","limited","US only","No"
"Amazon.com","Kindle 2 , URL: /wiki/Kindle_2
","2009","2010","6 in","No","eInk","","289 g (10.2 oz)","600 × 800","No","CDMA (USA), GSM (World)","Yes","Yes","2 GB (1.4 GB)","No","limited","US only","No"
"Amazon.com","Kindle , URL: /wiki/Amazon_Kindle
","2007","2009","6","No","eInk","","289 g (10.2 oz)","600 × 800","No","CDMA","No","No","256 MB (180 MB)","SD , URL: /wiki/Secure_Digital
","limited","US only","No"
"Asus , URL: /wiki/Asus
","EEE Reader DR-900","2010","2010","9 in","No","SiPix","","440 g (16 oz)","768 × 1024","Yes","Wi-Fi","Yes","Yes","2 GB","microSD , URL: /wiki/MicroSD
","Yes","No","Yes"
"Barnes & Noble , URL: /wiki/Barnes_%26_Noble
","Nook Simple Touch , URL: /wiki/Nook_Simple_Touch
","2011","2013","6 in","No","eInk Pearl","","212 g (7.5 oz)","600 × 800","Yes","Yes","Wi-Fi","Yes","2 GB","Yes","No","Yes","No"
"Barnes & Noble","Nook , URL: /wiki/Nook
","2009","2011","6 in","No","eInk","","343 g (12.1 oz)","600 × 800","Bottom","UMTS , URL: /wiki/UMTS
","No","(FW v1.5)","2 GB (1.3 GB)","Yes","Yes (FW v1.3)","Yes","No"
"Bookeen","Cybook Gen3 , URL: /wiki/Cybook_Gen3
","2007","?","6 in","No","eInk","","174 g (6.1 oz)","600 × 800","No","No","No","Yes","16 MB, 512 MB, 1 GB","SD","No","Yes","No"
"Bookeen","Cybook Opus , URL: /wiki/Cybook_Opus
","2009","?","5 in","No","eInk","","150 g (5.3 oz)","600 × 800","No","No","No","Yes","1 GB","Yes","No","Yes","No"
"Ectaco , URL: /wiki/Ectaco
","JetBook , URL: /wiki/JetBook
","2012","?","9.7 in","No","eInk Triton","","662 g (23.4 oz)","1200 × 1600, ppi 206","Unknown, button for page turn yes","Yes","Yes","Yes","Yes (unknown size)","up to 32 GB","No","OPDS , URL: /wiki/Open_Publication_Distribution_system
","Yes"
"EnTourage","EnTourage eDGe , URL: /wiki/EnTourage_eDGe
","2010","2011","9.7 in","No","eInk & LCD","","1,400 g (49 oz)","825 × 1200","Yes","Wi-Fi, Bluetooth","Yes (Pico TTS)","Yes","3 GB (10% for apps)","SD 32 GB","Yes","Yes","Yes"
"EnTourage","Pocket eDGe , URL: /wiki/Pocket_eDGe
","2010","2011","6 in","No","eInk & LCD","","700 g (25 oz)","600 × 800","Yes","Wi-Fi, Bluetooth","Yes (Pico TTS)","Yes","3 GB","micro SD","Yes","Yes","Unknown"
"Fnac , URL: /wiki/Fnac
","FnacBook , URL: /wiki/4FFF_N618
","2010","2011","6 in","No","eInk","","240 g (8.5 oz)","600 × 800","Yes","Edge , URL: /wiki/Enhanced_Data_Rates_for_GSM_Evolution
HSDPA , URL: /wiki/HSDPA
","Yes","Unknown","2 GB","micro SD","Yes","Yes","Unknown"
"Foxit Software , URL: /wiki/Foxit
","eSlick , URL: /wiki/ESlick
","2009","2010","6 in","No","eInk","","180 g (6.3 oz)","600 × 800","No","No","No","No","512 MB","SDHC","No","Unknown","Unknown"
"Franklin , URL: /wiki/Franklin_Electronic_Publishers
","eBookMan , URL: /wiki/Franklin_eBookMan
","1999","2002","Unknown","Yes","LCD","","Unknown","Unknown","Yes","No","No","Unknown","16 MB","MMC","No","Unknown","Yes"
"Icarus Reader","Icarus Reader Go","2010","?","6 in","No","eInk","","178 g (6.3 oz)","600 × 800","No","Wi-Fi, UMTS ⌥","No","(FW v1.5)","2 GB (1.3 GB)","micro SD","No","Yes","Unknown"
