"Application","Creator","Software license , URL: /wiki/Software_license
"
"Ashampoo Burning Studio , URL: /wiki/Ashampoo_Burning_Studio
","Ashampoo Software","Freemium , URL: /wiki/Freemium
"
"Alcohol 120% , URL: /wiki/Alcohol_120%25
","Alcohol Soft","Shareware , URL: /wiki/Shareware
"
"CDBurnerXP , URL: /wiki/CDBurnerXP
","Stefan Haglund, Fredrik Haglund","Freeware , URL: /wiki/Freeware
[1] , URL: https://www.cdburnerxp.se/help/Intro/license
"
"cdrtools , URL: /wiki/Cdrtools
","Jörg Schilling","Open-source , URL: /wiki/Open-source_license
CDDL , URL: /wiki/CDDL
GPL , URL: /wiki/GPL
"
"DeepBurner , URL: /wiki/DeepBurner
","Astonsoft","Freemium , URL: /wiki/Freemium
"
"ImgBurn , URL: /wiki/ImgBurn
","LIGHTNING UK!","Freeware , URL: /wiki/Freeware
[2] , URL: http://www.imgburn.com/#license
"
"InfraRecorder , URL: /wiki/InfraRecorder
","Christian Kindahl","Open-source , URL: /wiki/Open-source_license
GPL , URL: /wiki/GPL
"
"K3b , URL: /wiki/K3b
","Sebastian Trüg, Christian Kvasny","Open-source , URL: /wiki/Open-source_license
GPL , URL: /wiki/GPL
"
"Libburnia , URL: /wiki/Libburnia
","Libburnia team","Open-source , URL: /wiki/Open-source_license
GPL , URL: /wiki/GPL
"
"Nero Burning ROM , URL: /wiki/Nero_Burning_ROM
","Ahead Software","Shareware , URL: /wiki/Shareware
"
"UltraISO , URL: /wiki/UltraISO
","EZB Systems","Shareware , URL: /wiki/Shareware
"
"X-CD-Roast , URL: /wiki/X-CD-Roast
","T. Niederreiter","Open-source , URL: /wiki/Open-source_license
GPL , URL: /wiki/GPL
"
"Application","Creator","Software license , URL: /wiki/Software_license
"
