"Model","Type of device","Brand","Release year","Operating system","OS version","Kernel","UI and version","Comment"
"Arima U300 , URL: /w/index.php?title=Arima_U300&action=edit&redlink=1
","Smartphone","Arima , URL: /wiki/Arima
","","Symbian OS","7.0","","UIQ , URL: /wiki/UIQ
",""
"Arima U308 , URL: /w/index.php?title=Arima_U308&action=edit&redlink=1
","Smartphone","Arima","","Symbian OS","7.0","","UIQ 2.1",""
"Benq P30 , URL: /w/index.php?title=Benq_P30&action=edit&redlink=1
","Smartphone","Benq , URL: /wiki/Benq
","","Symbian OS","7.0","","UIQ 2.0",""
"Benq P31 , URL: /w/index.php?title=Benq_P31&action=edit&redlink=1
","Smartphone","Benq","","Symbian OS","7.0","","UIQ 2.1",""
"DoCoMo F-06B , URL: /w/index.php?title=DoCoMo_F-06B&action=edit&redlink=1
","Feature phone","Fujitsu , URL: /wiki/Fujitsu
","","Symbian^2","9.5","","MOAP(S)",""
"DoCoMo F-07B , URL: /w/index.php?title=DoCoMo_F-07B&action=edit&redlink=1
","Feature phone","Fujitsu","","Symbian^2","9.5","EKA2 , URL: /wiki/EKA2
","MOAP(S)",""
"DoCoMo F-08B , URL: /w/index.php?title=DoCoMo_F-08B&action=edit&redlink=1
","Feature phone","Fujitsu","","Symbian^2","9.5","EKA2","MOAP(S)",""
"Lenovo P930 , URL: /w/index.php?title=Lenovo_P930&action=edit&redlink=1
","Smartphone","Lenovo","","Symbian OS","8.0a","","S60 2nd Edition, Feature Pack 2, version 2.6",""
"LG KS10 , URL: /w/index.php?title=LG_KS10&action=edit&redlink=1
","Smartphone","LG","2007","Symbian OS","9.2","","S60 3rd Edition, Feature Pack 1, version 3.1",""
"LG KT610 , URL: /w/index.php?title=LG_KT610&action=edit&redlink=1
","Smartphone","LG","2008","Symbian OS","9.2","","S60 3rd Edition, Feature Pack 1, version 3.1",""
"LG KT615 , URL: /w/index.php?title=LG_KT615&action=edit&redlink=1
","Smartphone","LG","2008","Symbian OS","9.2","","S60 3rd Edition, Feature Pack 1, version 3.1",""
"Motorola A920 , URL: /w/index.php?title=Motorola_A920&action=edit&redlink=1
","Smartphone","Motorola","","Symbian OS","7.0","","UIQ 2.0",""
"Motorola A925 , URL: /wiki/Motorola_A925
","Smartphone","Motorola","","Symbian OS","7.0","","UIQ 2.0",""
"Motorola A1000 , URL: /wiki/Motorola_A1000
","Smartphone","Motorola","","Symbian OS","7.0","","UIQ 2.1",""
"Motorola M1000 , URL: /wiki/Motorola_M1000
","Smartphone","Motorola","","Symbian OS","7.0","","UIQ 2.1",""
"Motorola RIZR Z8 , URL: /wiki/Motorola_RIZR_Z8
","Smartphone","Motorola","","Symbian OS","9.2","","UIQ 3.1","First model with UIQ 3.1"
"Motorola RIZR Z10 , URL: /wiki/Motorola_RIZR_Z10
","Smartphone","Motorola","","Symbian OS","9.2","","UIQ 3.2","First model with UIQ 3.2"
"Nokia 3230 , URL: /wiki/Nokia_3230
","Smartphone","Nokia","","Symbian OS","7.0s","","S60 2nd Edition, Feature Pack 1, version 2.1",""
"Nokia 3250 , URL: /wiki/Nokia_3250
","Smartphone","Nokia","2006","Symbian OS","9.1","","S60 3rd Edition, version 3",""
"Nokia 3600 , URL: /wiki/Nokia_3650
","Smartphone","Nokia","","Symbian OS","6.1","","S60 1st Edition, Feature Pack 1, version 1.2",""
"Nokia 3620 , URL: /wiki/Nokia_3620
","Smartphone","Nokia","","Symbian OS","6.1","","S60 1st Edition, Feature Pack 1, version 1.2",""
"Nokia 3650 , URL: /wiki/Nokia_3650
","Smartphone","Nokia","","Symbian OS","6.1","","S60 1st Edition, Feature Pack 1, version 1.2",""
"Nokia 3660 , URL: /wiki/Nokia_3660
","Smartphone","Nokia","","Symbian OS","6.1","","S60 1st Edition, Feature Pack 1, version 1.2",""
"Nokia 5228 , URL: /w/index.php?title=Nokia_5228&action=edit&redlink=1
","Smartphone","Nokia","","Symbian^1","9.4","EKA2","S60 5th Edition, version 5",""
"Nokia 5230 , URL: /wiki/Nokia_5230
","Smartphone","Nokia","","Symbian^1","9.4","EKA2","S60 5th Edition, version 5",""
"Nokia 5233 , URL: /wiki/Nokia_5233
","Smartphone","Nokia","","Symbian^1","9.4","EKA2","S60 5th Edition, version 5",""
"Nokia 5250 , URL: /wiki/Nokia_5250
","Smartphone","Nokia","2010","Symbian^1","9.4","EKA2","S60 5th Edition, version 5[1]",""
"Nokia 5320 , URL: /wiki/Nokia_5320
","Smartphone","Nokia","","Symbian OS","9.3","","S60 3rd Edition, Feature Pack 2, version 3.2",""
"Nokia 5500 Sport , URL: /wiki/Nokia_5500_Sport
","Smartphone","Nokia","","Symbian OS","9.1","","S60 3rd Edition, version 3",""
"Nokia 5530 XpressMusic , URL: /wiki/Nokia_5530_XpressMusic
","Smartphone","Nokia","","Symbian^1","9.4","EKA2","S60 5th Edition, version 5",""
"Nokia 5630 XpressMusic , URL: /wiki/Nokia_5630_XpressMusic
","Smartphone","Nokia","","Symbian OS","9.3","","S60 3rd Edition, Feature Pack 2, version 3.2",""
"Nokia 5700 XpressMusic , URL: /wiki/Nokia_5700_XpressMusic
","Smartphone","Nokia","","Symbian OS","9.2","","S60 3rd Edition, Feature Pack 1, version 3.1",""
"Nokia 5730 XpressMusic , URL: /wiki/Nokia_5730_XpressMusic
","Smartphone","Nokia","","Symbian OS","9.3","","S60 3rd Edition, Feature Pack 2, version 3.2",""
"Nokia 5800 Navigation Edition , URL: /wiki/Nokia_5800_Navigation_Edition
","Smartphone","Nokia","","Symbian^1","9.4","EKA2","S60 5th Edition, version 5",""
"Nokia 5800 XpressMusic , URL: /wiki/Nokia_5800_XpressMusic
","Smartphone","Nokia","","Symbian^1","9.4","EKA2","S60 5th Edition, version 5","First S60 touchscreen.First S60 5th"
"Nokia 6110 Navigator , URL: /wiki/Nokia_6110_Navigator
","Smartphone","Nokia","","Symbian OS","9.2","","S60 3rd Edition, Feature Pack 1, version 3.1",""
"Nokia 6120 classic , URL: /wiki/Nokia_6120_classic
","Smartphone","Nokia","","Symbian OS","9.2","","S60 3rd Edition, Feature Pack 1, version 3.1",""
"Nokia 6121 classic , URL: /wiki/Nokia_6121_classic
","Smartphone","Nokia","","Symbian OS","9.2","","S60 3rd Edition, Feature Pack 1, version 3.1",""
"Nokia 6124 classic , URL: /w/index.php?title=Nokia_6124_classic&action=edit&redlink=1
","Smartphone","Nokia","","Symbian OS","9.2","","S60 3rd Edition, Feature Pack 1, version 3.1",""
"Nokia 6210 Navigator , URL: /wiki/Nokia_6210_Navigator
","Smartphone","Nokia","","Symbian OS","9.3","","S60 3rd Edition, Feature Pack 2, version 3.2",""
"Nokia 6220 classic , URL: /wiki/Nokia_6220_classic
","Smartphone","Nokia","","Symbian OS","9.3","","S60 3rd Edition, Feature Pack 2, version 3.2",""
"Nokia 6260 , URL: /w/index.php?title=Nokia_6260&action=edit&redlink=1
","Smartphone","Nokia","","Symbian OS","7.0s","","S60 2nd Edition, Feature Pack 1, version 2.1",""
"Nokia 6290 , URL: /wiki/Nokia_6290
","Smartphone","Nokia","2007","Symbian OS","9.2","","S60 3rd Edition, Feature Pack 1, version 3.1",""
"Nokia 6600 , URL: /wiki/Nokia_6600
","Smartphone","Nokia","","Symbian OS","7.0s","","S60 2nd Edition, version 2",""
"Nokia 6620 , URL: /wiki/Nokia_6620
","Smartphone","Nokia","","Symbian OS","7.0s","","S60 2nd Edition, Feature Pack 1, version 2.1",""
"Nokia 6630 , URL: /wiki/Nokia_6630
","Smartphone","Nokia","","Symbian OS","8.0a","","S60 2nd Edition, Feature Pack 2, version 2.6",""
"Nokia 6650 fold , URL: /wiki/Nokia_6650_fold
","Smartphone","Nokia","","Symbian OS","9.3","","S60 3rd Edition, Feature Pack 2, version 3.2",""
"Nokia 6670 , URL: /wiki/Nokia_6670
","Smartphone","Nokia","","Symbian OS","7.0s","","S60 2nd Edition, Feature Pack 1, version 2.1",""
"Nokia 6680 , URL: /wiki/Nokia_6680
","Smartphone","Nokia","","Symbian OS","8.0a","","S60 2nd Edition, Feature Pack 2, version 2.6",""
"Nokia 6681 , URL: /wiki/Nokia_6681
","Smartphone","Nokia","","Symbian OS","8.0a","","S60 2nd Edition, Feature Pack 2, version 2.6",""
"Nokia 6682 , URL: /wiki/Nokia_6682
","Smartphone","Nokia","","Symbian OS","8.0a","","S60 2nd Edition, Feature Pack 2, version 2.6",""
"Nokia 6700 slide , URL: /wiki/Nokia_6700_slide
","Smartphone","Nokia","","Symbian OS","9.3","","S60 3rd Edition, Feature Pack 2, version 3.2",""
"Nokia 6708 , URL: /w/index.php?title=Nokia_6708&action=edit&redlink=1
","Smartphone","Nokia","","Symbian OS","7.0","","UIQ 2.1",""
"Nokia 6710 Navigator , URL: /wiki/Nokia_6710_Navigator
","Smartphone","Nokia","","Symbian OS","9.3","","S60 3rd Edition, Feature Pack 2, version 3.2",""
"Nokia 6720 classic , URL: /wiki/Nokia_6720_classic
","Smartphone","Nokia","","Symbian OS","9.3","","S60 3rd Edition, Feature Pack 2, version 3.2",""
"Nokia 6730 classic , URL: /wiki/Nokia_6730_classic
","Smartphone","Nokia","","Symbian OS","9.3","","S60 3rd Edition, Feature Pack 2, version 3.2",""
"Nokia 6760 slide , URL: /wiki/Nokia_6760_slide
","Smartphone","Nokia","","Symbian OS","9.3","","S60 3rd Edition, Feature Pack 2, version 3.2",""
"Nokia 6790 slide , URL: /w/index.php?title=Nokia_6790_slide&action=edit&redlink=1
","Smartphone","Nokia","","Symbian OS","9.3","","S60 3rd Edition, Feature Pack 2, version 3.2",""
"Nokia 6790 surge , URL: /w/index.php?title=Nokia_6790_surge&action=edit&redlink=1
","Smartphone","Nokia","","Symbian OS","9.3","","S60 3rd Edition, Feature Pack 2, version 3.2",""
"Nokia 6788 , URL: /w/index.php?title=Nokia_6788&action=edit&redlink=1
","Smartphone","Nokia","","Symbian OS","9.3","","S60 3rd Edition, Feature Pack 2, version 3.2",""
"Nokia 6788i , URL: /w/index.php?title=Nokia_6788i&action=edit&redlink=1
","Smartphone","Nokia","","Symbian OS","9.3","","S60 3rd Edition, Feature Pack 2, version 3.2",""
"Nokia 7610 , URL: /wiki/Nokia_7610
","Smartphone","Nokia","","Symbian OS","7.0s","","S60 2nd Edition, Feature Pack 1, version 2.1",""
"Nokia 7650 , URL: /wiki/Nokia_7650
","Smartphone","Nokia","2002","Symbian OS","6.1","","S60 1st Edition, version 0.9","First Nokia with Symbian OS; first Series 60 (Now S60)) platform device; first Nokia with built-in camera."
"Nokia 7710 , URL: /wiki/Nokia_7710
","Smartphone","Nokia","","Symbian OS","","","S90 , URL: /wiki/Series_90_(software_platform)
","only model on S90"
"Nokia 9210 , URL: /wiki/Nokia_9210
","Smartphone","Nokia","","Symbian OS","6.0","","S80 , URL: /wiki/Series_80_(software_platform)
",""
"Nokia 9210i , URL: /wiki/Nokia_9210i
","Smartphone","Nokia","","Symbian OS","6.0","","S80 v1.0",""
"Nokia 9290 , URL: /wiki/Nokia_9290
","Smartphone","Nokia","","Symbian OS","","","S80 v1.0",""
