"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"","AmigaOS","Commodore International","HUNK","Exokernel (atypical)[3]","No","No","No","Yes","No","No","Yes","No","No","No"
"","AmigaOS 4","Hyperion Entertainment","ELF/HUNK","Exokernel (atypical)","No","No","No","Yes","No","No","Yes","No","No","?"
"C","DragonFly BSD","Matt Dillon","ELF","hybrid","Ipfirewall, PF","Yes","No","Yes","chroot, jail, vkernel","Unix permissions","DDB, KGDB","?","?","?"
"C","FreeBSD, Debian GNU/kFreeBSD, Gentoo/FreeBSD, Orbis OS","The FreeBSD Project","ELF, others - platform dependent","monolithic","IPFilter, Ipfirewall, PF","Yes","Yes","Yes","chroot, jail, bhyve","Unix permissions, POSIX.1e and NFSv4 ACLs,[4] Capsicum, TrustedBSD MAC, OpenBSM","KDB, DDB, KGDB, DTrace, hwpmc","Yes","?","Yes"
"C","GNU/Hurd (Arch Hurd, Debian GNU/Hurd)","GNU Project/Free Software Foundation","ELF","multiserver microkernel","No","partial","No","Yes","chroot, Xen","Unix permissions, POSIX ACL, POSIX Capabilities","?","?","?","?"
"C","part of GNU Hurd, used in GNU/Hurd","GNU Project/Free Software Foundation","ELF","microkernel","No","partial","No","Yes","chroot, Xen","Unix permissions, POSIX ACL, POSIX Capabilities","?","?","?","?"
"","Inferno","Bell Labs / Vita Nuova Holdings","?","virtual machine","?","Yes","Yes","Yes","chroot, Xen","?","?","?","?","?"
"","L4","Jochen Liedtke","No","microkernel","No","Yes","Yes","Yes","Yes","Afterburner/L4 [1], Marzipan [2], capabilities in L4/Fiasco[5]","L4/Fiasco[5]","L4/Fiasco[5]","?","?"
"C","Linux (kernel), Android, Ubuntu, CentOS, webOS, Fire OS, Firefox OS, Chrome OS, Syllable Server, Mastodon Linux, OpenBSD/Linux, Plan 9/Linux, Sailfish OS, Tizen, amongst others.","Linus Torvalds","ELF, others","monolithic","*ipfwadm (2.0 –) ipchains (2.2 –) Netfilter (2.4 – 3.x) nftables (3.13 –)","Yes","Yes","Yes","cgroups, chroot, Lguest, Xen, KVM, kvm-lite, LXC","Unix permissions, POSIX ACL, POSIX Capabilities, keyctl, LSM(SELinux, SMACK, TOMOYO Linux, AppArmor)","OProfile, kprobe, SystemTap, JProbe, ftrace, KDB, KGDB, kernel marker, perf tools","CONFIG_PREEMPT","(CONFIG_PREEMPT_RT Patch)","Yes"
"","Compute Node Linux","Cray Inc.","?","?","?","?","?","?","?","?","?","?","?","?"
"C","NeXTSTEP and OPENSTEP for Mach and Tru64 UNIX","Carnegie Mellon University","Mach-O","microkernel, hybrid kernel","?","Yes","?","Yes","?","?","?","Yes","?","?"
"C","MINIX 3","Andrew S. Tanenbaum","ELF,[6] a.out[7][8]","microkernel","No","No","Yes","Yes","No","Unix permissions","Call profiling, statistical profiling, Minix Debugger (mdb)","No","No","?"
"","?","OSF Research Institute and Apple Computer","?","microkernel","?","?","?","?","?","?","?","?","?","?"
"C","NetBSD, GNU/kNetBSD (Debian GNU/NetBSD),","The NetBSD Project","ELF, others - platform dependent","monolithic, anykernel using rump kernel architecture","IPFilter, PF, NPF","Yes","Yes","Yes","Xen, chroot","kauth, Unix permissions","DDB, KGDB, tprof","POSIX real-time scheduling extensions","Kernel preemption [9]","?"
"","NetWare","Novell","NLM","hybrid","Yes","Yes","No","Yes","?","?","?","?","?","?"
"C","OpenBSD","OpenBSD developers","ELF, others - platform dependent","monolithic","PF","Yes","Yes","Yes","?","Unix permissions","?","?","?","?"
"","OS/2 version 2 and above","IBM","LX","hybrid","No","Yes","No PowerPC version developed but never officially released.","Yes","No","Yes","Yes","Yes","No","?"
"C","Plan 9 from Bell Labs","Bell Labs","?","monolithic","ipmux","Yes","Yes","Yes","?","?","?","?","?","?"
"C","ReactOS","ReactOS Foundation","PE","hybrid","?","Yes","Yes","Yes","?","Yes","Yes","?","?","?"
"","Rockbox","The Rockbox Project","?","?","?","?","Yes","?","?","?","?","?","?","?"
"C","SunOS","Sun Microsystems","a.out","monolithic","?","Yes","Yes","Yes","?","Unix permissions","?","?","?","?"
"C","Solaris, OpenSolaris, GNU/kOpenSolaris (Nexenta OS)","Sun Microsystems","ELF (32-bit only until Solaris 7 in 1998)","monolithic","IPFilter","Yes","Yes","Yes","Zones, chroot","Unix permissions, ACL, RBAC, Auditing, Privileges, Zones, Trusted Extensions","DTrace, CPU profiling, microstate accounting, perf counters, kernel lock stats, kstats, mdb, kmdb","Real-time scheduler","?","?"
"","Trix","Massachusetts Institute of Technology","a.out","monolithic","?","Yes","No","Yes","?","?","?","?","?","?"
"C","All Windows NT family systems, 2000, XP, 2003, Vista, Windows 7, Windows 8, Windows Phone 8, Windows Phone 8.1, Windows 10","Microsoft","PE","hybrid","Yes","Yes","Yes","Yes","Hyper-V","ACL","Event Tracing,[10] dgbss, kd","Multimedia Class Scheduler Service","No","Unofficial[11]"
"C, C++","macOS, iOS, iPadOS, tvOS, watchOS, OpenDarwin, PureDarwin GNU/Darwin","Apple Inc.","Mach-O","hybrid","Ipfirewall, PF (starting in Lion)","Yes","Yes","Yes","chroot","Unix permissions, NT/NFSv4 ACLs, TrustedBSD MAC, OpenBSM","KDB, DDB, DTrace","Yes","No","Yes"
"","HelenOS","Jakub Jermar","ELF","microkernel","?","Yes","Yes","Yes","?","?","?","?","?","?"
"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
