"Framework","Internet Explorer , URL: /wiki/Internet_Explorer
","Mozilla Firefox , URL: /wiki/Mozilla_Firefox
","Safari , URL: /wiki/Safari_(web_browser)
","Opera , URL: /wiki/Opera_(web_browser)
","Chrome , URL: /wiki/Chromium_(software)
","Edge , URL: /wiki/Microsoft_Edge
"
"AngularJS , URL: /wiki/AngularJS
","8+ (9+)","4+","5+","11+","30+",""
"Apache Royale , URL: /wiki/Apache_Royale
","9 (Edge --> 10)","21","6","15","23",""
"Cash","11+","21+","6+","15+","23+","12+"
"Dojo , URL: /wiki/Dojo_Toolkit
","6+","3+[163]","4[163]","10.50+[163]","3[163]",""
"Ember.js , URL: /wiki/Ember.js
","6+","3+","4+","10.6+","14+",""
"Enyo , URL: /wiki/Enyo_(software)
","8+[164]",">4[164]",">5[164]","",">10[164]",""
"Ext JS , URL: /wiki/Ext_(JavaScript_library)
","8+","45+","11+","43+","64+[165]",""
"Google Web Toolkit , URL: /wiki/Google_Web_Toolkit
","8+","1+","5+","9+","1+",""
"jQuery , URL: /wiki/JQuery
","6+ (9+)[166]","2+[166]","3+[166]","9+[166]","1+[166]",""
"jQWidgets , URL: /wiki/JQWidgets
","7+[167]","2+[167]","3+[167]","9+[167]","1+[167]",""
"MooTools , URL: /wiki/MooTools
","6+","2+","3+","9+","1+",""
"Prototype , URL: /wiki/Prototype_JavaScript_Framework
script. aculo.us , URL: /wiki/Script.aculo.us
","6+","1.5+","2.0.4+","9.25+","1+ (starting with 1.6.1RC3)",""
"qooxdoo , URL: /wiki/Qooxdoo
","6+","2+","3+","9+","2+",""
"OpenUI5 , URL: /wiki/OpenUI5
","11+","Latest Stable and ESR","Last 2","","Latest Version",""
"SproutCore , URL: /wiki/SproutCore
","6+","3+","4+","9+","1+",""
"Svelte , URL: /wiki/Svelte
","","21+","6+","15+","23+","12+"
"Vue , URL: /wiki/Vue.js
","10+","21+","6+","15+","23+","12+"
"Wakanda , URL: /wiki/Wakanda_(software)
","9+","4+","5+","","11+",""
"ZK , URL: /wiki/ZK_Framework
","6+","2.0+","3+","9+","2+",""
"Webix , URL: /wiki/Webix
","8+[169]","3+[169]","4+[169]","9+[169]","1+[169]",""
