"v t e Mars 2020","v t e Mars 2020","v t e Mars 2020","v t e Mars 2020"
"Timeline of Mars 2020","Timeline of Mars 2020","Timeline of Mars 2020","Timeline of Mars 2020"
"Payloads","Perseverance rover Ingenuity helicopter","Perseverance rover Ingenuity helicopter",""
"Rover instruments","Hazcam Mastcam-Z MEDA MOXIE Navcam PIXL RIMFAX Rover embedded computers SHERLOC SuperCam","Hazcam Mastcam-Z MEDA MOXIE Navcam PIXL RIMFAX Rover embedded computers SHERLOC SuperCam",""
"Features","MarsDial Multi-mission radioisotope thermoelectric generator Rocker-bogie Sky crane","MarsDial Multi-mission radioisotope thermoelectric generator Rocker-bogie Sky crane",""
"Proposed landing sites","Selected","Jezero crater",""
"Proposed landing sites","Finalists","Columbia Hills in Gusev crater Jezero crater Syrtis Major Planum",""
"Proposed landing sites","Other","Eberswalde crater Holden crater Mawrth Vallis Nili Fossae Melas Chasma",""
"Related","Octavia E. Butler Landing Wright Brothers Field Exploration of Mars","Octavia E. Butler Landing Wright Brothers Field Exploration of Mars",""
"Category Solar System portal","Category Solar System portal","Category Solar System portal","Category Solar System portal"
