"","executables , URL: /wiki/Executable
","Symbolic computation , URL: /wiki/Symbolic_computation
","OOP , URL: /wiki/Object-oriented_programming
","GUI , URL: /wiki/Graphical_user_interface
","Multi-dimensional arrays , URL: /wiki/Array_data_type#Multi-dimensional_arrays
primitive data type , URL: /wiki/Primitive_data_type
","Centralized extension library website","Can call code in other languages","Can be called from other languages"
"Analytica , URL: /wiki/Analytica_(software)
","No","No","Yes","Yes","Yes","Yes","COM , URL: /wiki/Component_Object_Model
Excel , URL: /wiki/Microsoft_Excel
","Excel , URL: /wiki/Microsoft_Excel
COM , URL: /wiki/Component_Object_Model
.NET , URL: /wiki/.NET_Framework
"
"Dyalog APL , URL: /wiki/Dyalog_APL
","Yes[12]","Yes","Yes[13]","Win32 , URL: /wiki/Win32
.NET , URL: /wiki/.NET_Framework
WPF , URL: /wiki/Windows_Presentation_Foundation
HTML/JS , URL: /wiki/JavaScript
","Yes","Yes","COM , URL: /wiki/Component_Object_Model
.NET , URL: /wiki/.NET_Framework
WebServices , URL: /wiki/Web_service
Shared Libraries , URL: /wiki/Library_(computing)
DLLs , URL: /wiki/Dynamic-link_library
NAG , URL: /wiki/NAG_Numerical_Library
R , URL: /wiki/R_(programming_language)
JavaScript , URL: /wiki/JavaScript
","COM , URL: /wiki/Component_Object_Model
.NET , URL: /wiki/.NET_Framework
WebServices , URL: /wiki/Web_service
"
"GNU Data Language , URL: /wiki/GNU_Data_Language
","No","No","Yes","GUI Widgets since v.0.9 but still incomplete","Yes","No","C , URL: /wiki/C_(programming_language)
Python , URL: /wiki/Python_(programming_language)
","Python , URL: /wiki/Python_(programming_language)
"
"GNU MCSim , URL: /wiki/MCSim
","Yes","No","No","XMCSim with TCL/TK and wish","No","No","C , URL: /wiki/C_(programming_language)
","R , URL: /wiki/R_(programming_language)
"
"GNU Octave , URL: /wiki/GNU_Octave
","Yes with mkoctfile","GiNaC , URL: /wiki/GiNaC
SymPy , URL: /wiki/SymPy
","Yes[15]","Yes","Yes","Yes[16]","C++ , URL: /wiki/C%2B%2B
Fortran , URL: /wiki/Fortran
Perl , URL: /wiki/Perl
Tcl , URL: /wiki/Tcl
","Java , URL: /wiki/Java_(programming_language)
Perl , URL: /wiki/Perl
C++ , URL: /wiki/C%2B%2B
"
"J , URL: /wiki/J_(programming_language)
","No","Yes","Yes","Yes","Yes","Yes","JavaScript , URL: /wiki/JavaScript
","JavaScript , URL: /wiki/JavaScript
"
"Julia , URL: /wiki/Julia_(programming_language)
","Yes","SymPy , URL: /wiki/SymPy
SymEngine , URL: https://github.com/symengine/symengine
","Yes","Yes","Yes","Yes","C , URL: /wiki/C_(programming_language)
Fortran , URL: /wiki/Fortran
","C , URL: /wiki/C_(programming_language)
C++ , URL: /wiki/C%2B%2B
Python , URL: /wiki/Python_(programming_language)
R , URL: /wiki/R_(programming_language)
"
"Julia , URL: /wiki/Julia_(programming_language)
","Yes","SymPy , URL: /wiki/SymPy
SymEngine , URL: https://github.com/symengine/symengine
","Yes","Yes","Yes","Yes","Python , URL: /wiki/Python_(programming_language)
C++ , URL: /wiki/C%2B%2B
Java , URL: /wiki/Java_(programming_language)
MATLAB , URL: /wiki/MATLAB
R , URL: /wiki/R_(programming_language)
","C , URL: /wiki/C_(programming_language)
C++ , URL: /wiki/C%2B%2B
Python , URL: /wiki/Python_(programming_language)
R , URL: /wiki/R_(programming_language)
"
"LabVIEW , URL: /wiki/LabVIEW
","Professional System version","No","Yes[23]","Yes","Yes","Yes[26]","C , URL: /wiki/C_(programming_language)
C++ , URL: /wiki/C%2B%2B
DLLs , URL: /wiki/Dynamic-link_library
Python , URL: /wiki/Python_(programming_language)
Perl , URL: /wiki/Perl
Tcl , URL: /wiki/Tcl
MATLAB , URL: /wiki/MATLAB
ActiveX , URL: /wiki/Dynamic-link_library
C# , URL: /wiki/C_Sharp_(programming_language)
.NET , URL: /wiki/.NET_Framework
","Yes[31]"
"LabVIEW , URL: /wiki/LabVIEW
","With add-on[22]","No","GOOP[24]","Yes","Yes","Yes[26]","With add-ons. I.e.[30]","Yes[31]"
"LabVIEW , URL: /wiki/LabVIEW
","","No","G#[25]","Yes","Yes","Yes[26]","","Yes[31]"
"Maple , URL: /wiki/Maple_(software)
","No","Yes","Yes[32]","Yes","Yes","Yes[33]","C , URL: /wiki/C_(programming_language)
C# , URL: /wiki/C_Sharp_(programming_language)
Fortran , URL: /wiki/Fortran
","MATLAB , URL: /wiki/MATLAB
Excel , URL: /wiki/Microsoft_Excel
Visual Basic , URL: /wiki/Visual_Basic
Java , URL: /wiki/Java_(programming_language)
C , URL: /wiki/C_(programming_language)
"
