"null","null","null","null","null","null","null","null","null"
"Jack Dean","Proprietary","Windows: 3.0.0 (August 2010; 11 years ago (2010-08)) [±] Mac OS X: 1.0.4 (September 14, 2005; 16 years ago (2005-09-14)) [±] BookmarkSync was discontinued some time around 2006.","null","null","null","null","null","null"
"Opera Software","Proprietary","Opera: 82.0.4227.58 (January 12, 2022; 54 days ago (2022-01-12)[1]) Opera Mini: Android 56.1.2254.57583 / 26 May 2021; 9 months ago (2021-05-26)[2] iOS 16.0.14 / 4 October 2018; 3 years ago (2018-10-04)[3] Windows Mobile 10 and Phone 8.1 9.1.0.232 / 16 June 2016; 5 years ago (2016-06-16)[4] BlackBerry 8.0.1 / 10 July 2014; 7 years ago (2014-07-10)[5] Symbian 7.1.32453 / 6 December 2016; 5 years ago (2016-12-06)[6] Java ME 8.0 / 12 March 2014; 7 years ago (2014-03-12)[7]","56.1.2254.57583 / 26 May 2021; 9 months ago (2021-05-26)[2]","16.0.14 / 4 October 2018; 3 years ago (2018-10-04)[3]","9.1.0.232 / 16 June 2016; 5 years ago (2016-06-16)[4]","8.0.1 / 10 July 2014; 7 years ago (2014-07-10)[5]","7.1.32453 / 6 December 2016; 5 years ago (2016-12-06)[6]","8.0 / 12 March 2014; 7 years ago (2014-03-12)[7]"
"56.1.2254.57583 / 26 May 2021; 9 months ago (2021-05-26)[2]","null","null","null","null","null","null","null","null"
"16.0.14 / 4 October 2018; 3 years ago (2018-10-04)[3]","null","null","null","null","null","null","null","null"
"9.1.0.232 / 16 June 2016; 5 years ago (2016-06-16)[4]","null","null","null","null","null","null","null","null"
"8.0.1 / 10 July 2014; 7 years ago (2014-07-10)[5]","null","null","null","null","null","null","null","null"
"7.1.32453 / 6 December 2016; 5 years ago (2016-12-06)[6]","null","null","null","null","null","null","null","null"
"8.0 / 12 March 2014; 7 years ago (2014-03-12)[7]","null","null","null","null","null","null","null","null"
"Ondrej Brablc","GPL","3.4 12 February 2014; 8 years ago (2014-02-12)","null","null","null","null","null","null"
"Mozilla Foundation","Mozilla Public License","Standard 97.0.2[8] / 5 March 2022; 2 days ago (5 March 2022) Extended Support Release 91.6.1esr[9] / 5 March 2022; 2 days ago (5 March 2022)","97.0.2[8] / 5 March 2022; 2 days ago (5 March 2022)","91.6.1esr[9] / 5 March 2022; 2 days ago (5 March 2022)","null","null","null","null"
"97.0.2[8] / 5 March 2022; 2 days ago (5 March 2022)","null","null","null","null","null","null","null","null"
"91.6.1esr[9] / 5 March 2022; 2 days ago (5 March 2022)","null","null","null","null","null","null","null","null"
"Google","Freeware under Google Chrome Terms of Service","Windows, macOS, Linux 99.0.4844.51[10] / 1 March 2022; 6 days ago (1 March 2022) Android 99.0.4844.48[11] / 1 March 2022; 6 days ago (1 March 2022) iOS 99.0.4844.47[12] / 1 March 2022; 6 days ago (1 March 2022) Extended Support Release 98.0.4758.119[13] / 1 March 2022; 6 days ago (1 March 2022)","99.0.4844.51[10] / 1 March 2022; 6 days ago (1 March 2022)","99.0.4844.48[11] / 1 March 2022; 6 days ago (1 March 2022)","99.0.4844.47[12] / 1 March 2022; 6 days ago (1 March 2022)","98.0.4758.119[13] / 1 March 2022; 6 days ago (1 March 2022)","null","null"
"99.0.4844.51[10] / 1 March 2022; 6 days ago (1 March 2022)","null","null","null","null","null","null","null","null"
"99.0.4844.48[11] / 1 March 2022; 6 days ago (1 March 2022)","null","null","null","null","null","null","null","null"
"99.0.4844.47[12] / 1 March 2022; 6 days ago (1 March 2022)","null","null","null","null","null","null","null","null"
"98.0.4758.119[13] / 1 March 2022; 6 days ago (1 March 2022)","null","null","null","null","null","null","null","null"
"M.C. Straver","Mozilla Public License","N/A (part of Pale Moon)","null","null","null","null","null","null"
"null","null","null","null","null","null","null","null","null"
"Nimbus Web Inc","Proprietary","Firefox: 15.5.1 (July 5, 2018; 3 years ago (2018-07-05)) [±] Chrome: 17.1.1 (July 5, 2018; 3 years ago (2018-07-05)) [±] IE: Android: 1.11.1 (May 19, 2017; 4 years ago (2017-05-19)) [±] iOS: 2.6 (October 4, 2016; 5 years ago (2016-10-04)) [±] Windows Phone:","null","null","null","null","null","null"
"Open Source, Marcel Klehr","Freeware Mozilla Public License 2.0","https://github.com/marcelklehr/floccus/releases","null","null","null","null","null","null"
"null","null","null","null","null","null","null","null","null"
