"Firewall","License , URL: /wiki/Software_license
","Cost and usage limits","OS , URL: /wiki/Operating_system
"
"Avast Internet Security , URL: /wiki/Avast_Antivirus
","Proprietary , URL: /wiki/Proprietary_software
","Paid","Microsoft Windows , URL: /wiki/Microsoft_Windows
"
"Comodo Internet Security , URL: /wiki/Comodo_Internet_Security
","Proprietary , URL: /wiki/Proprietary_software
","Free","Windows 10/8.1/8/7/Vista x86/x64, XP x86 , URL: /wiki/Microsoft_Windows
"
"G Data Internet Security , URL: /wiki/G_Data_CyberDefense
","Proprietary , URL: /wiki/Proprietary_software
","Paid","Windows 10/8.1/8/7 , URL: /wiki/Microsoft_Windows
"
"Intego VirusBarrier , URL: /wiki/Intego
","Proprietary , URL: /wiki/Proprietary_software
","Paid","Mac OS X , URL: /wiki/Mac_OS_X
10.5 , URL: /wiki/Mac_OS_X_10.5
Xserve , URL: /wiki/Xserve
"
"IPFilter , URL: /wiki/IPFilter
","GPLv2 , URL: /wiki/GPLv2
","Free","Package for multiple UNIX-like operating systems"
"ipfirewall , URL: /wiki/Ipfirewall
","BSD , URL: /wiki/BSD
","Free","*BSD , URL: /wiki/Berkeley_Software_Distribution
"
"Kaspersky Internet Security , URL: /wiki/Kaspersky_Internet_Security
","Proprietary , URL: /wiki/Proprietary_software
","Paid / 30 day trial","Windows unknown versions , URL: /wiki/Microsoft_Windows
"
"Lavasoft Personal Firewall , URL: /wiki/Lavasoft_Personal_Firewall
","Proprietary , URL: /wiki/Proprietary_software
","Paid","Windows unknown versions , URL: /wiki/Microsoft_Windows
"
"Microsoft Forefront Threat Management Gateway , URL: /wiki/Microsoft_Forefront_Threat_Management_Gateway
","Proprietary , URL: /wiki/Proprietary_software
","Discontinued","Windows unknown versions , URL: /wiki/Microsoft_Windows
"
"Netfilter , URL: /wiki/Netfilter
","GPL , URL: /wiki/GPL
","Free","Linux , URL: /wiki/Linux
"
"NetLimiter , URL: /wiki/NetLimiter
","Proprietary , URL: /wiki/Proprietary_software
","Paid","Windows 10, 8, 7 , URL: /wiki/Microsoft_Windows
"
"nftables , URL: /wiki/Nftables
","GPL , URL: /wiki/GPL
","Free","Linux , URL: /wiki/Linux
"
"Norton 360 , URL: /wiki/Norton_360
","Proprietary , URL: /wiki/Proprietary_software
","Paid","Windows unknown versions , URL: /wiki/Microsoft_Windows
"
"NPF , URL: /wiki/NPF_(firewall)
","BSD , URL: /wiki/BSD
","Free","NetBSD , URL: /wiki/NetBSD
"
"PF , URL: /wiki/PF_(firewall)
","BSD , URL: /wiki/BSD
","Free","*BSD , URL: /wiki/Berkeley_Software_Distribution
"
"Online Armor Personal Firewall , URL: /wiki/Online_Armor_Personal_Firewall
","Proprietary , URL: /wiki/Proprietary_software
","Discontinued","Windows unknown versions , URL: /wiki/Microsoft_Windows
"
"Outpost Firewall Pro , URL: /wiki/Outpost_Firewall_Pro
","Proprietary , URL: /wiki/Proprietary_software
","Discontinued","Windows 10, 8, 7, Vista, XP , URL: /wiki/Microsoft_Windows
"
"PC Tools Firewall Plus , URL: /wiki/PC_Tools_Firewall_Plus
","Proprietary , URL: /wiki/Proprietary_software
","Discontinued","Windows unknown versions , URL: /wiki/Microsoft_Windows
"
"PeerBlock , URL: /wiki/PeerBlock
","GPL , URL: /wiki/GPL
","Free","Windows 8/8.1, 7, Vista , URL: /wiki/Microsoft_Windows
"
"Shorewall , URL: /wiki/Shorewall
","GPL , URL: /wiki/GPL
","Free","Linux , URL: /wiki/Linux
"
"Sygate Personal Firewall , URL: /wiki/Sygate_Personal_Firewall
","Proprietary , URL: /wiki/Proprietary_software
","Discontinued","Windows unknown versions , URL: /wiki/Microsoft_Windows
"
"Windows Firewall , URL: /wiki/Windows_Firewall
","Proprietary , URL: /wiki/Proprietary_software
","Included with Windows XP SP2 and later","Windows versions , URL: /wiki/Microsoft_Windows
"
"ZoneAlarm , URL: /wiki/ZoneAlarm
","Proprietary , URL: /wiki/Proprietary_software
","Free / Paid","Windows 10/8.1/8/7/Vista x86/x64, XP x86 , URL: /wiki/Microsoft_Windows
"
