"","HTML , URL: /wiki/HTML
","CHM , URL: /wiki/Microsoft_Compressed_HTML_Help
","RTF , URL: /wiki/Rich_Text_Format
","PDF , URL: /wiki/Portable_Document_Format
","LaTeX , URL: /wiki/LaTeX
","PostScript , URL: /wiki/PostScript
","man pages , URL: /wiki/Unix_manual
","DocBook , URL: /wiki/DocBook
","XML , URL: /wiki/XML
","ePub , URL: /wiki/EPub
"
"COBOLDoc , URL: /w/index.php?title=COBOLDoc&action=edit&redlink=1
","Yes","No","No","No","No","No","No","No","No",""
"Cxref","Yes","No","Yes","No","Yes","No","No","No","SGML (LinuxDoc DTD)","No"
"Ddoc , URL: /wiki/Ddoc
","Yes","Yes[a]","No","Yes[a]","Yes[a]","Yes[a]","Yes[a]","No","Yes[a]",""
"Document! X , URL: /wiki/Document!_X
","Yes","Yes","No","No","No","No","No","No","No",""
"Doxygen , URL: /wiki/Doxygen
","Yes","Yes","Yes","Indirectly[b]","Yes","Indirectly[b]","Yes","Yes","Yes","No"
"Epydoc , URL: /wiki/Epydoc
","Yes","No","No","Yes","Indirectly[c]","Indirectly[c]","No","No","No",""
"Haddock , URL: /wiki/Haddock_(software)
","Yes","Yes","No","No","No","No","No","Partial","No",""
"HeaderDoc , URL: /wiki/HeaderDoc
","Yes","No","No","No","No","No","Yes","No","Yes",""
"Imagix 4D , URL: /wiki/Imagix_4D
","Yes","No","Yes","No","No","No","No","No","No",""
"Javadoc , URL: /wiki/Javadoc
","Yes","Indirectly[d]","Indirectly[d]","Indirectly[d]","Indirectly[d]","Indirectly[d]","Indirectly[d]","Indirectly[d]","Indirectly[d]",""
"JSDoc , URL: /wiki/JSDoc
","Yes","No","No","No","No","No","No","No","No",""
"JsDoc Toolkit , URL: /wiki/JSDoc
","Yes","No","No","No","No","No","No","No","Yes+JSON",""
"Natural Docs , URL: /wiki/Natural_Docs
","Yes","No","No","No","No","No","No","No","No",""
"NDoc , URL: /wiki/NDoc
","Yes","Yes","No","No","No","No","No","No","No",""
"pdoc , URL: /wiki/Pdoc
","Yes","No","No","No","No","No","No","No","No","No"
"pdoc3 , URL: /wiki/Pdoc3
","Yes","No","No","Indirectly[e]","No","No","No","No","No","No"
"phpDocumentor , URL: /wiki/PhpDocumentor
","Yes","Yes (1.x only)","No","Yes (1.x only)","No","No","No","Yes (1.x only)","Yes (1.x only)",""
"pydoc , URL: /wiki/Pydoc
","Yes","No","No","No","No","No","No","No","No","No"
"RDoc , URL: /wiki/RDoc
","Yes","Yes[f]","No","No","No","No","Indirectly[g]","No","Yes[f]",""
"ROBODoc , URL: /wiki/ROBODoc
","Yes","Indirectly","Yes","Indirectly[c]","Yes","Indirectly[c]","Yes","Yes","No",""
"Sandcastle , URL: /wiki/Sandcastle_(software)
","Yes","Yes","No","No","No","No","No","No","No",""
"Sphinx , URL: /wiki/Sphinx_(documentation_generator)
","Yes","Yes","","Indirectly[h]","Yes","","Yes","","","Yes"
"Visual Expert , URL: /wiki/Visual_Expert
","Yes","No","No","No","No","No","No","No","No",""
"VSdocman , URL: /wiki/VSdocman
","Yes","Yes","No","Yes","No","No","No","No","Yes",""
"YARD , URL: /wiki/YARD_(software)
","Yes","No","No","No","No","No","No","No","No",""
"","HTML","CHM","RTF","PDF","LaTeX","PostScript","man pages","DocBook","XML","ePub"
