"Camera model","Camera line","Manufacturer","Introduced","Weight","MOS/sync","Noise level"
"Eyemo 71K","Eyemo , URL: /wiki/Eyemo
","Bell and Howell , URL: /wiki/Bell_and_Howell
","1925","11 lb (5.0 kg)","MOS","N/A"
"Arriflex 35-2C","Arriflex 35 II , URL: /wiki/Arriflex_35_II
","Arri , URL: /wiki/Arri
","1964","13.5 lb (6.1 kg), with empty magazine","MOS","N/A"
"Arriflex 35BL-1","Arriflex 35BL , URL: /wiki/Arriflex_35BL
","Arri , URL: /wiki/Arri
","1972","28.5 lb (12.9 kg), with empty magazine","Sync","26 dB"
"Panaflex-X","Panaflex , URL: /wiki/Panaflex
","Panavision , URL: /wiki/Panavision
","1974","20.5 lb (9.3 kg)","Sync","<24 dB"
"Arriflex 35BL-2","Arriflex 35BL , URL: /wiki/Arriflex_35BL
","Arri , URL: /wiki/Arri
","1975","28.5 lb (12.9 kg), with empty magazine","Sync","26 dB"
"Panaflex Gold II","Panaflex , URL: /wiki/Panaflex
","Panavision , URL: /wiki/Panavision
","1976","24.4 lb (11.1 kg), with short eyepiece","Sync","<24 dB"
"Arriflex 35BL-3","Arriflex 35BL , URL: /wiki/Arriflex_35BL
","Arri , URL: /wiki/Arri
","1980","28.7 lb (13.0 kg), with empty magazine","Sync","22 dB"
"Arriflex 35-3C","Arriflex 35 III , URL: /wiki/Arriflex_35_III
","Arri , URL: /wiki/Arri
","1982","8.8 lb (4.0 kg); 13.5 lb (6.1 kg), with empty magazine","MOS","N/A"
"Moviecam SuperAmerica","Moviecam SuperAmerica , URL: /w/index.php?title=Moviecam_SuperAmerica&action=edit&redlink=1
","Moviecam , URL: /wiki/Moviecam
","1984","29 lb (13 kg)","Sync","20 dB"
"Arriflex 35BL-4","Arriflex 35BL , URL: /wiki/Arriflex_35BL
","Arri , URL: /wiki/Arri
","1986","30.9 lb (14.0 kg), with empty magazine","Sync","22 dB"
"Panaflex Platinum","Panaflex , URL: /wiki/Panaflex
","Panavision , URL: /wiki/Panavision
","1986","24 lb (11 kg)","Sync","<22 dB"
"Panaflex Panastar II","Panaflex Panastar , URL: /w/index.php?title=Panaflex_Panastar&action=edit&redlink=1
","Panavision , URL: /wiki/Panavision
","1987","24.4 lb (11.1 kg)","MOS","N/A"
"Arriflex 35BL-4s","Arriflex 35BL , URL: /wiki/Arriflex_35BL
","Arri , URL: /wiki/Arri
","1988","31.9 lb (14.5 kg), with empty magazine","Sync","20 dB"
"Arriflex 535","Arriflex 535 , URL: /wiki/Arriflex_535
","Arri , URL: /wiki/Arri
","1990","21.6 lb (9.8 kg), body only; 29.4 lb (13.3 kg), with finder; 36.4 lb (16.5 kg), with finder and empty magazine","Sync","19 dB"
"Moviecam Compact","Moviecam Compact , URL: /wiki/Moviecam_Compact
","Moviecam , URL: /wiki/Moviecam
","1990","13.6 lb (6.2 kg)","Sync","<20 dB"
"Arriflex 535B","Arriflex 535 , URL: /wiki/Arriflex_535
","Arri , URL: /wiki/Arri
","1992","26 lb (12 kg), with empty magazine","Sync","19 dB"
"Arriflex 435","Arriflex 435 , URL: /wiki/Arriflex_435
","Arri , URL: /wiki/Arri
","1995","14.3 lb (6.5 kg), without magazine","MOS","N/A"
"Arriflex 435ES","Arriflex 435 , URL: /wiki/Arriflex_435
","Arri , URL: /wiki/Arri
","1995","14.3 lb (6.5 kg), without magazine","MOS","N/A"
"Moviecam SL","Moviecam SL , URL: /wiki/Moviecam_SL
","Moviecam , URL: /wiki/Moviecam
","1995","8.25 lb (3.74 kg)","Sync","25 dB"
"Aaton 35-III","Aaton 35 , URL: /w/index.php?title=Aaton_35&action=edit&redlink=1
","Aaton , URL: /wiki/Aaton
","1997","16 lb (7.3 kg), with full magazine and onboard battery","Sync","30 dB (4 perf), 26 dB (3 perf)"
"Panaflex Millennium","Panaflex Millennium , URL: /wiki/Panaflex_Millennium
","Panavision , URL: /wiki/Panavision
","1997","17.5 lb (7.9 kg)","Sync","<19 dB"
"Panaflex Millennium XL","Panaflex Millennium , URL: /wiki/Panaflex_Millennium
","Panavision , URL: /wiki/Panavision
","1999","11.8 lb (5.4 kg)","Sync","<23 dB"
"Arricam LT","Arricam , URL: /wiki/Arricam
","Arri , URL: /wiki/Arri
","2000","8.7 lb (3.9 kg), body only; 11.56 lb (5.24 kg), with finder","Sync","<24 dB"
"Arricam ST","Arricam , URL: /wiki/Arricam
","Arri , URL: /wiki/Arri
","2000","11.9 lb (5.4 kg), body only; 17.95 lb (8.14 kg), with finder","Sync","<20 dB"
"Arriflex 435 Advanced","Arriflex 435 , URL: /wiki/Arriflex_435
","Arri , URL: /wiki/Arri
","2001","14.3 lb (6.5 kg), without magazine","MOS","N/A"
"Aaton 35-3P","Aaton 35 , URL: /w/index.php?title=Aaton_35&action=edit&redlink=1
","Aaton , URL: /wiki/Aaton
","2002","16 lb (7.3 kg), with full magazine and onboard battery","Sync","30 dB (4 perf), 24 dB (3 perf)"
"Arriflex 235","Arriflex 235 , URL: /wiki/Arriflex_235
","Arri , URL: /wiki/Arri
","2004","7.7 lb (3.5 kg), with viewfinder","MOS","N/A"
"Arriflex 435 Xtreme","Arriflex 435 , URL: /wiki/Arriflex_435
","Arri , URL: /wiki/Arri
","2004","14.3 lb (6.5 kg), without magazine","MOS","N/A"
"Aaton Penelope","Aaton Penelope , URL: /wiki/Aaton_Penelope
","Aaton , URL: /wiki/Aaton
","2008","17 lb (7.7 kg), with full magazine and onboard battery","Sync","23 dB (3 perf), 22 dB (2 perf)"
