"v t e Virtualization software","v t e Virtualization software","v t e Virtualization software"
"Comparison of platform virtualization software","Comparison of platform virtualization software","Comparison of platform virtualization software"
"Hardware , URL: /wiki/Hardware_virtualization
hypervisors , URL: /wiki/Hypervisor
","Native","Adeos CP/CMS Hyper-V KVM oVirt Red Hat Enterprise Virtualization LDoms / Oracle VM Server for SPARC Logical Partition (LPAR) LynxSecure PikeOS Proxmox VE QNX SIMMON VMware ESXi VMware vSphere vCloud VMware Infrastructure Xen Oracle VM Server for x86 XenServer XtratuM z/VM"
"Hardware , URL: /wiki/Hardware_virtualization
hypervisors , URL: /wiki/Hypervisor
","Hosted","Specialized
Basilisk II Bochs Cooperative Linux DOSBox DOSEMU PCem PikeOS SheepShaver SIMH Windows on Windows Virtual DOS machine Win4Lin

Independent
bhyve Microsoft Virtual Server Parallels Workstation (Extreme) Parallels Desktop for Mac Parallels Server for Mac PearPC QEMU VirtualBox Virtual Iron VMware Fusion VMware Server VMware Workstation (Player) Windows Virtual PC


"
"Hardware , URL: /wiki/Hardware_virtualization
hypervisors , URL: /wiki/Hypervisor
","Tools","Ganeti System Center Virtual Machine Manager Virtual Machine Manager"
"Operating system , URL: /wiki/OS-level_virtualization
","OS containers","FreeBSD jail iCore Virtual Accounts Linux-VServer LXC OpenVZ Solaris Containers Virtuozzo Workload Partitions"
"Operating system , URL: /wiki/OS-level_virtualization
","Application containers","Docker lmctfy rkt"
"Operating system , URL: /wiki/OS-level_virtualization
","Virtual kernel architectures","Rump kernel User-mode Linux vkernel"
"Operating system , URL: /wiki/OS-level_virtualization
","Related kernel features","BrandZ cgroups chroot namespaces seccomp"
"Operating system , URL: /wiki/OS-level_virtualization
","Orchestration","Amazon ECS Kubernetes OpenShift"
"Desktop , URL: /wiki/Desktop_virtualization
","Citrix XenApp Citrix XenDesktop Remote Desktop Services VMware Horizon View","Citrix XenApp Citrix XenDesktop Remote Desktop Services VMware Horizon View"
"Application , URL: /wiki/Application_virtualization
","Ceedo Citrix XenApp Dalvik InstallFree Microsoft App-V Remote Desktop Services Symantec Workspace Virtualization Turbo VMware ThinApp ZeroVM","Ceedo Citrix XenApp Dalvik InstallFree Microsoft App-V Remote Desktop Services Symantec Workspace Virtualization Turbo VMware ThinApp ZeroVM"
"Network , URL: /wiki/Network_virtualization
","Distributed Overlay Virtual Ethernet (DOVE) Ethernet VPN (EVPN) NVGRE Open vSwitch Virtual security switch Virtual Extensible LAN (VXLAN)","Distributed Overlay Virtual Ethernet (DOVE) Ethernet VPN (EVPN) NVGRE Open vSwitch Virtual security switch Virtual Extensible LAN (VXLAN)"
"See also: List of emulators","See also: List of emulators","See also: List of emulators"
