"Name","Rectilinear lenses (i.e. normal camera lenses)","Fish eye lenses","panoramic cameras , URL: /wiki/Panoramic_camera
","focal lengths , URL: /wiki/Focal_length
","Different lens types in single panorama","Perspective correction lenses , URL: /wiki/Perspective_correction_lens
","Other/Notes"
"Panoweaver Standard / Professional , URL: /wiki/Panoweaver
","Yes","Yes","Yes","Yes","Yes","Yes",""
"i2Align Quickage Express / Pro","Yes","No","No","?","?","No",""
"Pixtra PanoStitcher[30]","Yes","No","No","Yes","No","No",""
"Pixtra OmniStitcher[31]","Yes","Yes","No","Yes","No","No",""
"QuickPHOTO","No","No","No","No","No","No","PROMICAM[32] microscope camera needed"
"PhotoFit Harmony / Premium","Yes","No","No","No","No","No",""
"PanoramaPlus X4","Yes","No","No","No","No","No",""
"PanoramaBuilder 7.0 / PanoramaBuilder 7.0 Pro","Yes","No","No","No","No","No",""
"360 Panorama Professional","Yes","No","No","No","No","No",""
"VRstitcher Fisheye Pro","Yes","Yes","No","No","No","No",""
"COOL 360","Yes","No","No","No","No","No",""
"PanaVue ImageAssembler Std. / Pro. / Ent.","Yes","Yes*","No","No","No","?","field of view , URL: /wiki/Field_of_view
"
"The Panorama Factory v5","Yes","No","No","No","No","",""
"PixMaker Lite / Home / Business","Yes","No","No","No","No","No",""
"PTAssembler[34]","Yes","Yes","Yes","Yes","Yes","Yes",""
"PTgui / PTgui Pro , URL: /wiki/PTGui
","Yes","Yes","Yes","Yes","Yes","Yes",""
"Autopano , URL: /wiki/Autopano
","Yes","Yes","No","Yes","Yes","Yes","Also supports motorized panoramic heads, in Giga & Pro versions."
"Autostitch , URL: /wiki/Autostitch
","Yes","?","No","No","Yes","?",""
"Calico Panorama","Yes","No","No","No","No","No",""
"Hugin , URL: /wiki/Hugin_(software)
","Yes","Yes*","Yes","Yes","Yes","Yes","orthographic , URL: /wiki/Orthographic_projection
stereographic , URL: /wiki/Stereographic_projection
"
"3DVista Stitcher 3.0","Yes","Yes","No","No","No","No",""One shot" i.e. panoramic mirror lenses also supported."
"D Joiner","Yes","No","No","No","No","No",""
"Panorama Maker 6 , URL: /wiki/PanoramaMaker
","Yes","No","No","No","No","No",""
"Photovista Panorama","Yes","No","No","No","No","No",""
"PanoramaStudio / Pro","Yes","No","No","No","No","No",""
"Stitcher Unlimited 2009","Yes","Yes","Yes","?","?","No",""
"ADG Panorama Tools / Pro[35]","Yes","No","Yes*","No","No","No","*) Cylindrical only"
"Panorama Composer 3","Yes","No","No","No","No","No",""
"Image Composite Editor , URL: /wiki/Microsoft_Image_Composite_Editor
","Yes","No","No","No","No","No",""
"Panorama Perfect","Yes","No","No","No","No","No",""
"Photoshop","Yes","No","No","No","No","No",""
"AIPR Lite 1","Yes","No","No","Yes","Yes","Yes*","(*) homographic model compensates for these type of lenses"
"Gigapan Stitch 1.0","Yes","No","Yes","No","No","No",""
"PanoramaMaker","Yes","?","?","Yes","?","?",""
"PanoEdit","Yes","No","No","No","No","?",""
"SharpStitch","Yes","No","No","No","No","No",""
"Name","Rectilinear lenses (i.e. normal camera lenses)","Fish eye lenses","panoramic cameras , URL: /wiki/Panoramic_camera
","focal lengths , URL: /wiki/Focal_length
","Different lens types in single panorama","Perspective correction lenses , URL: /wiki/Perspective_correction_lens
","Other/Notes"
