"","GUI , URL: /wiki/GUI
","Console , URL: /wiki/Command-line_interface
","Software license , URL: /wiki/Software_license
","Latest stable version","Latest release date","Windows","Macintosh","Linux"
"HxD , URL: /wiki/HxD
","Yes","No","Proprietary , URL: /wiki/Proprietary_software
","2.5.0.0","February 11, 2021","Win95 , URL: /wiki/Windows_95
WinNT4 , URL: /wiki/Windows_NT_4.0
","No","No"
"010 Editor , URL: /wiki/010_Editor
","Yes","No","Proprietary , URL: /wiki/Proprietary_software
","12.0","September 17, 2021","Yes","Yes","Yes"
"beye , URL: /wiki/Beye
","No","Yes","GPL-2.0-only , URL: /wiki/GNU_General_Public_License
GPL-3.0-only , URL: /wiki/GNU_General_Public_License
","6.1.0","December 12, 2009","Yes","Yes","Yes"
"bvi , URL: /w/index.php?title=Bvi&action=edit&redlink=1
","No","Yes","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
","1.4.0","October 7, 2014","DOS , URL: /wiki/DOS
Win95 , URL: /wiki/Windows_95
","Yes","Yes"
"Cheat Engine , URL: /wiki/Cheat_Engine
","Yes","No","Proprietary , URL: /wiki/Proprietary_software
","7.2","August 14, 2021","Yes","Yes, ver. 6.2","No"
"GNU Emacs , URL: /wiki/GNU_Emacs
","Yes","Yes","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
","26.2[1]","April 12, 2019","Yes","Yes","Yes"
"FlexHex , URL: /wiki/FlexHex
","Yes","No","Proprietary , URL: /wiki/Proprietary_software
","2.7","October 12, 2018","Windows XP , URL: /wiki/Windows_XP
","No","No"
"Frhed , URL: /w/index.php?title=Frhed&action=edit&redlink=1
","Yes","No","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","1.7.1","July 30, 2009","Win98 , URL: /wiki/Windows_98
","No","No"
"Hiew , URL: /wiki/Hiew
","No","Yes","Proprietary , URL: /wiki/Proprietary_software
","8.68","August 1, 2019","Yes","No","No"
"ImHex , URL: /w/index.php?title=ImHex&action=edit&redlink=1
","Yes","No","GPL-2.0-only , URL: /wiki/GNU_General_Public_License
","1.12.1","December 16, 2021","Yes","Yes","Yes"
"VEDIT , URL: /wiki/VEDIT
","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","6.24.2","Jan 1, 2015","Yes","No","No"
"UltraEdit , URL: /wiki/UltraEdit
","Yes","No","Proprietary , URL: /wiki/Proprietary_software
","26.10 (Windows) 18.0 (Linux / Mac OS X)","May 7, 2019 January 2, 2018","Yes","Yes","Yes"
"WinHex , URL: /wiki/WinHex
","Yes","No","Proprietary , URL: /wiki/Proprietary_software
","20.4","November 23, 2021","Win95 , URL: /wiki/Windows_95
","No","No"
"Vim , URL: /wiki/Vim_(text_editor)
","Yes","Yes","Vim","8.1.0000","May 17, 2018","Yes","Yes","Yes"
"Binary Ninja , URL: /wiki/Binary_Ninja
","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","2.2.2487[2]","October 22, 2020","Yes","Yes","Yes"
