"Audio player","Windows , URL: /wiki/Microsoft_Windows
","macOS , URL: /wiki/MacOS
","Linux , URL: /wiki/Linux
","iOS , URL: /wiki/IOS
","Android , URL: /wiki/Android_(operating_system)
","BSD Unix , URL: /wiki/BSD_Unix
","Solaris , URL: /wiki/Solaris_(operating_system)
","Other Unix , URL: /wiki/Unix-like
","DOS , URL: /wiki/DOS
"
"AIMP , URL: /wiki/AIMP
","Yes","No","Wine , URL: /wiki/Wine_(software)
","No","Yes","Wine , URL: /wiki/Wine_(software)
","No","No","No"
"Amarok , URL: /wiki/Amarok_(software)
","Yes","beta","Yes","No","No","Yes","Yes","Yes","No"
"aTunes , URL: /wiki/ATunes
","Yes","Yes","Yes","No","No","Yes","Yes","No","No"
"Audacious , URL: /wiki/Audacious_(software)
","Yes","No","Yes","No","No","Yes","Yes","Yes","No"
"Audion , URL: /wiki/Audion_(software)
","No","Yes","No","No","No","No","No","No","No"
"Banshee , URL: /wiki/Banshee_(media_player)
","alpha","beta","Yes","No","No","Yes","No","No","No"
"cmus , URL: /wiki/Cmus
","No","Yes","Yes","No","No","Yes","Yes","Yes","No"
"Cog , URL: /wiki/Cog_(software)
","No","Yes","No","No","No","No","No","No","No"
"Clementine , URL: /wiki/Clementine_(software)
","Yes","Yes","Yes","No","remote controller only","Yes","Yes","Yes","No"
"Ecoute , URL: /wiki/Ecoute
","No","Yes","No","Yes","No","No","No","No","No"
"Exaile , URL: /wiki/Exaile
","Yes","No","Yes","No","No","Yes","No","No","No"
"foobar2000 , URL: /wiki/Foobar2000
","Yes","beta[osnotes 1]","Wine , URL: /wiki/Wine_(software)
","Yes","Yes","Wine , URL: /wiki/Wine_(software)
","No","No","No"
"Guayadeque Music Player , URL: /wiki/Guayadeque_Music_Player
","No","Yes","Yes","Yes","No","No","No","No","No"
"Groove Music , URL: /wiki/Groove_Music
","Yes","No","No","No","No","No","No","No","No"
"iTunes , URL: /wiki/ITunes
","Yes","Yes","No","Yes","No","No","No","No","No"
"JRiver Media Center , URL: /wiki/JRiver_Media_Center
","Yes","Yes","Yes","remote controller only","Yes","No","No","No","No"
"MediaMonkey , URL: /wiki/MediaMonkey
","Yes","No","No","No","Yes","No","No","No","No"
"MPXPLAY , URL: /wiki/MPXPLAY
","Yes","No","No","No","No","No","No","No","Yes"
"Music Player Daemon , URL: /wiki/Music_Player_Daemon
","cygwin","Yes","Yes","No","No","Yes","Yes","Yes","No"
"MusicBee , URL: /wiki/MusicBee
","Yes","No","Partial[15]","No","No","No","No","No","No"
"Musicmatch Jukebox , URL: /wiki/Musicmatch_Jukebox
","Yes","Yes","No","No","No","No","No","No","No"
"musikCube , URL: /wiki/MusikCube
","Yes","Yes","Yes","No","remote control only[16]","Yes","No","No","No"
"Quod Libet , URL: /wiki/Quod_Libet_(software)
","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No"
"Rdio , URL: /wiki/Rdio
","Yes","Yes","No","Yes","Yes","No","No","No","No"
"Rhapsody , URL: /wiki/Rhapsody_(online_music_service)
","Yes","No","Yes","Yes","Yes","No","No","No","No"
"Rhythmbox , URL: /wiki/Rhythmbox
","No","No","Yes","No","No","Yes","Yes","Yes","No"
"Sayonara Player , URL: /wiki/Sayonara_Player
","No","No","Yes","No","No","Yes","No","No","No"
"Songbird , URL: /wiki/Songbird_(software)
","Yes","Yes","No","No","Yes","No","No","No","No"
"Sonique , URL: /wiki/Sonique_(media_player)
","Yes","No","No","No","No","No","No","No","No"
"Spotify , URL: /wiki/Spotify
","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Style Jukebox , URL: /wiki/Style_Jukebox
","Yes","No","No","Yes","Yes","No","No","No","No"
"Winamp , URL: /wiki/Winamp
","Yes","Yes","No","No","Yes","No","No","No","No"
"XMMS , URL: /wiki/XMMS
","No","Yes","Yes","No","No","Yes","Yes","Yes","No"
"XMPlay , URL: /wiki/Xmplay
","Yes","No","No","No","No","No","No","No","No"
"Zinf , URL: /wiki/Zinf
","Yes","No","Yes","No","No","Yes","Yes","Yes","No"
"Audio player","Windows","macOS","Linux","iOS","Android","BSD Unix","Solaris","Other Unix","DOS"
