"Name","Parsing , URL: /wiki/Parsing
","Input grammar notation","Output languages , URL: /wiki/Programming_language
","Grammar, code","Lexer , URL: /wiki/Lexical_analyzer
","Development platform","IDE , URL: /wiki/Integrated_development_environment
","License , URL: /wiki/Software_license
"
"AGL","GLR , URL: /wiki/GLR_parser
","EBNF , URL: /wiki/Extended_Backus%E2%80%93Naur_form
","Java , URL: /wiki/Java_(programming_language)
JavaScript , URL: /wiki/JavaScript
","Separate","none","Any Kotlin target platform","No","Apache , URL: /wiki/Apache_License
"
"ANTLR , URL: /wiki/ANTLR
","Adaptive LL(*)[3]","EBNF , URL: /wiki/Extended_Backus%E2%80%93Naur_form
","C# , URL: /wiki/C_Sharp_(programming_language)
Java , URL: /wiki/Java_(programming_language)
Python , URL: /wiki/Python_(programming_language)
JavaScript , URL: /wiki/JavaScript
C++ , URL: /wiki/C%2B%2B
Swift , URL: /wiki/Swift_(programming_language)
Go , URL: /wiki/Go_(programming_language)
PHP , URL: /wiki/PHP
","Separate","generated","Java virtual machine , URL: /wiki/Java_virtual_machine
","Yes","BSD , URL: /wiki/BSD_licenses
"
"ANTLR , URL: /wiki/ANTLR
","LL , URL: /wiki/LL_parser
","EBNF , URL: /wiki/Extended_Backus%E2%80%93Naur_form
","ActionScript , URL: /wiki/ActionScript
Ada95 , URL: /wiki/Ada_(programming_language)
C , URL: /wiki/C_(programming_language)
C++ , URL: /wiki/C%2B%2B
C# , URL: /wiki/C_Sharp_(programming_language)
Java , URL: /wiki/Java_(programming_language)
JavaScript , URL: /wiki/JavaScript
Objective-C , URL: /wiki/Objective-C
Perl , URL: /wiki/Perl
Python , URL: /wiki/Python_(programming_language)
Ruby , URL: /wiki/Ruby_(programming_language)
","Mixed","generated","Java virtual machine , URL: /wiki/Java_virtual_machine
","Yes","BSD , URL: /wiki/BSD_licenses
"
"APG","Recursive descent , URL: /wiki/Recursive_descent
backtracking , URL: /wiki/Backtracking
","ABNF , URL: /wiki/ABNF
","C , URL: /wiki/C_(programming_language)
C++ , URL: /wiki/C%2B%2B
JavaScript , URL: /wiki/JavaScript
Java , URL: /wiki/Java_(programming_language)
","Separate","none","All","No","GNU GPL , URL: /wiki/GNU_General_Public_License
"
"Astir","LL , URL: /wiki/LL_parser
LL , URL: /wiki/LL_parser
LL , URL: /wiki/LL_parser
","Astir hierarchical grammar","C++ , URL: /wiki/C%2B%2B
","Only grammar (actioned)","generated","All","Visual Studio Code , URL: /wiki/Visual_Studio_Code
","MIT , URL: /wiki/MIT_License
"
"AXE","Recursive descent , URL: /wiki/Recursive_descent
","AXE/C++","C++17 , URL: /wiki/C%2B%2B17
C++11 , URL: /wiki/C%2B%2B11
","Mixed","none","C++17 , URL: /wiki/C%2B%2B17
C++11 , URL: /wiki/C%2B%2B11
","No","Boost , URL: /wiki/Boost_Software_License
"
"Beaver","LALR , URL: /wiki/LALR_parser
","EBNF , URL: /wiki/Extended_Backus%E2%80%93Naur_form
","Java , URL: /wiki/Java_(programming_language)
","Mixed","external","Java virtual machine , URL: /wiki/Java_virtual_machine
","No","BSD , URL: /wiki/BSD_licenses
"
"Belr","Recursive descent , URL: /wiki/Recursive_descent
","ABNF , URL: /wiki/ABNF
","C++17 , URL: /wiki/C%2B%2B17
C++11 , URL: /wiki/C%2B%2B11
","Separate","included","POSIX , URL: /wiki/POSIX
","No","GNU GPL , URL: /wiki/GNU_General_Public_License
proprietary , URL: /wiki/Proprietary_software
"
"Bison , URL: /wiki/GNU_Bison
","LALR , URL: /wiki/LALR_parser
LR , URL: /wiki/Canonical_LR_parser
IELR , URL: /w/index.php?title=IELR_parser&action=edit&redlink=1
GLR , URL: /wiki/GLR_parser
","Yacc , URL: /wiki/Yacc
","C , URL: /wiki/C_(programming_language)
C++ , URL: /wiki/C%2B%2B
Java , URL: /wiki/Java_(programming_language)
","Mixed","external","All","No","GNU GPL , URL: /wiki/GNU_General_Public_License
"
"Bison++[note 1]","LALR , URL: /wiki/LALR_parser
","?","C++ , URL: /wiki/C%2B%2B
","Mixed","external","POSIX , URL: /wiki/POSIX
","No","GNU GPL , URL: /wiki/GNU_General_Public_License
"
"Bisonc++","LALR , URL: /wiki/LALR_parser
","?","C++ , URL: /wiki/C%2B%2B
","Mixed","external","POSIX , URL: /wiki/POSIX
","No","GNU GPL , URL: /wiki/GNU_General_Public_License
"
"BtYacc , URL: /wiki/BtYacc
","Backtracking , URL: /wiki/Backtracking
Bottom-up , URL: /wiki/Bottom-up_parsing
","?","C++ , URL: /wiki/C%2B%2B
","Mixed","external","All","No","public domain , URL: /wiki/Public_domain
"
