"Provider","Win.1","Linux1","Mac1","Android1","iOS1","Encrypted storage","Zero knowledge , URL: /wiki/Zero_knowledge_service
","Secure Key Management3[1]","MB , URL: /wiki/Megabyte
","MB , URL: /wiki/Megabyte
","MB , URL: /wiki/Megabyte
","BW , URL: /wiki/Bandwidth_(computing)
","Provider","Cloud hosted Net Drive5","Sync , URL: /wiki/File_synchronization
","Autodetect changes12","Public file hosting8","physical media restore9","Server location(s)10","Free online storage (non-trial)13","Maximum per-file size","External hard drive support14","Hybrid Option15","Green Hosting , URL: /wiki/Green_hosting
","OpenSaaS , URL: /wiki/Software_as_a_service#OpenSaas
",""
"Backblaze , URL: /wiki/Backblaze
","Yes","B2 only","Yes","Yes","Yes","Yes[2]","No[2] Company must be given passphrase (to private key) to restore any data.","No","No","Yes","No","No","Backblaze , URL: /wiki/Backblaze
","","","Yes","Yes","Yes","United States , URL: /wiki/United_States
Europe , URL: /wiki/Europe
","10 GB[3]","No limit","Yes","No","","",""
"Baidu Cloud , URL: /wiki/Baidu_Cloud
","Yes","Yes","Yes","Yes","Yes","Yes[4]","No","?","No","No","Yes","","Baidu , URL: /wiki/Baidu
","","Yes","Yes","Yes","","China , URL: /wiki/China
","2 TB","4 GB (Non-member) 10 GB (Member) 20 GB (Super Member). [5]","","?","","",""
"Barracuda Backup Service , URL: /wiki/Barracuda_Networks
","Yes","Yes","Yes","","","Yes[6]","No","?","No fee per computer","No","Yes","","Barracuda Backup Service , URL: /wiki/Barracuda_Networks
","Yes[citation needed]","Yes","","No","Yes","United States , URL: /wiki/United_States
APAC , URL: /wiki/Asia-Pacific
Europe , URL: /wiki/Europe
","No","","","?","","",""
"Box , URL: /wiki/Box_(service)
","Yes","Partial (no offline sync, access through DAV server)[7][8]","Yes","Yes","Yes","Yes[9]","No[9]","?","Yes","No","","","Box , URL: /wiki/Box_(service)
","Yes[10]","Yes[11]","Yes","","","United States , URL: /wiki/United_States
","10 GB","250 MB (Free) 5 GB (Paid)","","","","",""
"Carbonite , URL: /wiki/Carbonite_(online_backup)
","Yes","No","Yes","Yes","Yes","Yes","Partial, optional for Windows only[12]","?","Yes (Business only)","Yes (Home only)","No[13]","Yes [14]","Carbonite , URL: /wiki/Carbonite_(online_backup)
","","Yes","Yes","Yes[15]","","United States , URL: /wiki/United_States
","No","4 GB","Yes[16]","Yes","","",""
"CloudMe , URL: /wiki/CloudMe
","Yes","Yes","Yes","Yes","Yes","No, but 3rd party apps available[citation needed]","","?","","No","","Yes","CloudMe , URL: /wiki/CloudMe
","Yes[17]","Yes","Yes","","","Sweden , URL: /wiki/Sweden
","3 GB","150 MB (Free Accounts) No limit (Premium Accounts)","No Limit","No","","",""
"Comodo Backup , URL: /wiki/Comodo_Backup
","Yes","No","No","","","Yes[18]","No","?","Yes","No","Yes (5)","","Comodo Backup , URL: /wiki/Comodo_Backup
","No","No","","No","","United States , URL: /wiki/United_States
","No","","","","","",""
"CrashPlan , URL: /wiki/CrashPlan
","Yes","Yes","Yes","Yes","Yes","Yes[19]","Yes, except for web restore[20]","Yes","Yes, 10TB","No","No","Yes[21]","CrashPlan , URL: /wiki/Crashplan
","No","No","Yes[22]","No","No","United States , URL: /wiki/United_States
Australia , URL: /wiki/Australia
","No","No Limit","Yes[24]","No","","",""
"Dropbox , URL: /wiki/Dropbox_(service)
","Yes","Does not work on filesystems other than ext4 and btrfs","Yes","Yes","Yes","Yes","No[25]","?","","","Yes","","Dropbox , URL: /wiki/Dropbox_(service)
","No","Yes","Yes","Yes","","","2 GB","No Limit[26]","","","","No",""
"Dropmysite , URL: /wiki/Dropmysite
","Yes","Yes","Yes","","","Yes","No","?","Yes","No","No","Yes","Dropmysite , URL: /wiki/Dropmysite
","","Yes","Yes","Yes","","Global","2 GB","No limit","","?","","",""
"Egnyte , URL: /wiki/Egnyte
","Yes","Yes","Yes","","","Optional[27]","Optional[27]","?","","","","","Egnyte , URL: /wiki/Egnyte
","Yes[28]","Yes","Yes","Yes","","United States , URL: /wiki/United_States
","No","No limit","","?","","",""
"ElephantDrive , URL: /wiki/ElephantDrive
","Yes","Yes[29]","Yes","Yes[30]","","Yes","Optional (off by default)[31]","?","Yes","No","","","ElephantDrive , URL: /wiki/ElephantDrive
","Yes[32]","Yes[33]","Yes","Yes[34]","","United States , URL: /wiki/United_States
","2 GB","","Yes","?","No, Amazon AWS[35][36]","",""
"Google Drive , URL: /wiki/Google_Drive
","Yes","No, no provider-sanctioned Linux support.[37][38][39]","Yes","Yes","Yes","Yes","No","?","","Yes (Enterprise Only)[40]","Yes","Yes","Google Drive , URL: /wiki/Google_Drive
","No","Yes","Yes","Yes","","United States , URL: /wiki/United_States
","15 GB","5 TB[41]","","","Partial: 34%[42]","No",""
"iCloud , URL: /wiki/ICloud
","Yes","Yes, via Storage Made Easy client","Yes","Yes, via Storage Made Easy client","Yes","Yes","No","?","No","No","Yes","","iCloud , URL: /wiki/ICloud
","?","Yes","?","?","","China , URL: /wiki/China
","1 GB (everyone)[44] 5 GB (Apple users only) [45]","","","","Yes, 94%[35]","No",""
"iDrive , URL: /wiki/IDrive_Inc.
","Yes","Yes, but you have to manually run perl scripts.[46]","Yes","Yes","Yes","Yes[47]","No","","No","No","Yes[48]","","iDrive , URL: /wiki/IDrive_Inc.
","","Yes","Yes","Yes","Yes","unknown","5 GB","","Yes","","","",""
