"Editor","Version","Year","Creator","Software license , URL: /wiki/Software_license
"
"Amaya , URL: /wiki/Amaya_(web_browser)
","11.4.4 (January 18)","2012","W3C , URL: /wiki/World_Wide_Web_Consortium
INRIA , URL: /wiki/Institut_National_de_Recherche_en_Informatique_et_en_Automatique
","W3C , URL: /wiki/W3C_Software_Notice_and_License
"
"Apache OpenOffice , URL: /wiki/Apache_OpenOffice
","4.1.5 (October 19)","2017","Apache Foundation , URL: /wiki/Apache_Software_Foundation
","MPL , URL: /wiki/Mozilla_Public_License
Apache-2.0 , URL: /wiki/Apache_License_2.0
"
"Aptana Studio , URL: /wiki/Aptana_Studio
","3.6.0 (August 1)","2014","Aptana , URL: /wiki/Aptana
","GPL , URL: /wiki/GNU_General_Public_License
"
"Arachnophilia , URL: /wiki/Arachnophilia
","5.5, build 2935 (March 9)","2018","Paul Lutus [1]","LGPL , URL: /wiki/GNU_Lesser_General_Public_License
"
"Atom , URL: /wiki/Atom_(text_editor)
","1.46.0 (May 5)","2020","GitHub , URL: /wiki/GitHub
","MIT , URL: /wiki/MIT_License
"
"Bluefish , URL: /wiki/Bluefish_(text_editor)
","2.2.12 (November 5)","2020","Bluefish , URL: /wiki/Bluefish_(text_editor)
","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
"
"BlueGriffon , URL: /wiki/BlueGriffon
","3.1 (October 14)","2019","Disruptive Innovations","MPL-2.0 , URL: /wiki/Mozilla_Public_License
"
"Brackets , URL: /wiki/Adobe_Brackets
","1.13 (June 18)","2018","Adobe , URL: /wiki/Adobe_Systems
","MIT , URL: /wiki/MIT_License
"
"Claris Homepage , URL: /wiki/Claris_Homepage
","3.0","1998","Claris , URL: /wiki/Claris
","Proprietary , URL: /wiki/Proprietary_software
"
"Coda , URL: /wiki/Coda_(web_development_software)
","2","2012","Panic, Inc.","Proprietary , URL: /wiki/Proprietary_software
"
"Codelobster , URL: /wiki/Codelobster
","5.10.1 (August 22)","2016","Codelobster Software","Proprietary , URL: /wiki/Proprietary_software
"
"CoffeeCup HTML Editor , URL: /wiki/CoffeeCup_HTML_Editor
","15.1 (July 10)","2015","CoffeeCup Software , URL: /wiki/CoffeeCup_Software
","Proprietary , URL: /wiki/Proprietary_software
"
"CudaText , URL: /wiki/CudaText
","1.145.5 (September 21)","2021","UVViewSoft (alexey_t, kvichans, matthias030)","MPL-2.0 , URL: /wiki/Mozilla_Public_License
"
"Contribute , URL: /wiki/Adobe_Contribute
","CS6.5 (8)(August 23)","2012","Adobe Systems , URL: /wiki/Adobe_Systems
Macromedia , URL: /wiki/Macromedia
","Proprietary , URL: /wiki/Proprietary_software
"
"Dreamweaver , URL: /wiki/Adobe_Dreamweaver
","CC 2020 (20.1) (February)","2020","Adobe Systems , URL: /wiki/Adobe_Systems
Macromedia , URL: /wiki/Macromedia
","Proprietary , URL: /wiki/Proprietary_software
"
"EZGenerator , URL: /wiki/EZGenerator
","4.1 (December)","2012","Image-Line , URL: /wiki/Image-Line
","Proprietary , URL: /wiki/Proprietary_software
"
"Freeway , URL: /wiki/Freeway_(software)
","7.1.3 (May 5)","2016","Softpress , URL: /wiki/Softpress
","Proprietary , URL: /wiki/Proprietary_software
"
"GoLive , URL: /wiki/Adobe_GoLive
","9.0 (June 1)","2007","Adobe Systems , URL: /wiki/Adobe_Systems
","Proprietary , URL: /wiki/Proprietary_software
"
"Google Web Designer , URL: /wiki/Google_Web_Designer
","(July)","2018","Google, Inc. , URL: /wiki/Google,_Inc.
","Proprietary , URL: /wiki/Proprietary_software
"
"HTML-Kit , URL: /wiki/HTML-Kit
","292","","Chami.com","Proprietary , URL: /wiki/Proprietary_software
"
"KompoZer , URL: /wiki/KompoZer
","0.7.10/0.8b3 (August 30, 2007/ March 1, 2010)","2010","Kaze","MPL-1.1 , URL: /wiki/Mozilla_Public_License
GPL 2.0 , URL: /wiki/GNU_General_Public_License
LGPL 2.1 , URL: /wiki/GNU_Lesser_General_Public_License
"
"LibreOffice , URL: /wiki/LibreOffice
","7.3 (February 2)","2022","The Document Foundation , URL: /wiki/The_Document_Foundation
","MPL-2.0 , URL: /wiki/Mozilla_Public_License
Apache-2.0 , URL: /wiki/Apache_License_2.0
"
"Maqetta , URL: /wiki/Maqetta
","Preview 5 (March 28)","2013","IBM , URL: /wiki/IBM
","BSD-3-Clause , URL: /wiki/BSD_license
AFL-2.1 , URL: /wiki/Academic_Free_License
"
"Microsoft Expression Web , URL: /wiki/Microsoft_Expression_Web
","4.0.1460.0 (December 20)","2012","Microsoft , URL: /wiki/Microsoft
","Proprietary , URL: /wiki/Proprietary_software
"
"Microsoft Office FrontPage , URL: /wiki/Microsoft_Office_FrontPage
","11.0.8174 (October 21)","2003","Microsoft , URL: /wiki/Microsoft
","Proprietary , URL: /wiki/Proprietary_software
"
"Microsoft FrontPage Express , URL: /wiki/Microsoft_FrontPage_Express
","2.0","1997","Microsoft , URL: /wiki/Microsoft
","Proprietary , URL: /wiki/Proprietary_software
"
"Web Architect","6.9.1 (July 25)","2012","mirabyte","Proprietary , URL: /wiki/Proprietary_software
"
"Microsoft SharePoint Designer , URL: /wiki/Microsoft_SharePoint_Designer
","2007 (December 4)","2006","Microsoft , URL: /wiki/Microsoft
","Proprietary , URL: /wiki/Proprietary_software
"
"Microsoft Visual Studio Code , URL: /wiki/Visual_Studio_Code
","1.56.2 (April)","2018","Microsoft , URL: /wiki/Microsoft
","MIT , URL: /wiki/MIT_License
"
"Microsoft Visual Web Developer , URL: /wiki/Microsoft_Visual_Web_Developer
","","2008","Microsoft , URL: /wiki/Microsoft
","Proprietary , URL: /wiki/Proprietary_software
"
"Mobirise , URL: /wiki/Mobirise
","4.8","2018","Mobirise.com","Proprietary , URL: /wiki/Proprietary_software
"
"Mozilla Composer , URL: /wiki/Mozilla_Composer
","1.7.13 (April 21)","2006","Mozilla Foundation , URL: /wiki/Mozilla_Foundation
","MPL-1.1 , URL: /wiki/Mozilla_Public_License
GPL 2.0 , URL: /wiki/GNU_General_Public_License
LGPL 2.1 , URL: /wiki/GNU_Lesser_General_Public_License
"
"Nvu , URL: /wiki/Nvu
","1.0 (June 28)","2005","Linspire , URL: /wiki/Linspire
Daniel Glazman , URL: /wiki/Daniel_Glazman
","MPL-1.1 , URL: /wiki/Mozilla_Public_License
GPL 2.0 , URL: /wiki/GNU_General_Public_License
LGPL 2.1 , URL: /wiki/GNU_Lesser_General_Public_License
"
"openElement , URL: /wiki/OpenElement
","1.44 (January 21)","2014","openElement","Apache-2.0 , URL: /wiki/Apache_License_2.0
"
"OpenOffice.org , URL: /wiki/OpenOffice.org
","3.3.0 (January 11)","2011","Sun Microsystems , URL: /wiki/Sun_Microsystems
Oracle Corporation , URL: /wiki/Oracle_Corporation
","Dual-licensed , URL: /wiki/Dual-licensing
SISSL , URL: /wiki/Sun_Industry_Standards_Source_License
LGPL , URL: /wiki/GNU_Lesser_General_Public_License
GNU LGPL version 3 , URL: /wiki/GNU_Lesser_General_Public_License
"
"oXygenXML Editor , URL: /wiki/Oxygen_XML_Editor
","17.1 (October)","2015","Syncro Soft , URL: /w/index.php?title=Syncro_Soft&action=edit&redlink=1
","Proprietary , URL: /wiki/Proprietary_software
Apache-2.0 , URL: /wiki/Apache_License_2.0
"
"Quanta Plus , URL: /wiki/Quanta_Plus
","3.5.9 (February 20)","2008","The Quanta Team","GPL , URL: /wiki/GPL
"
"RocketCake , URL: /wiki/RocketCake
","1.4","2017","Ambiera","Proprietary , URL: /wiki/Proprietary_software
"
"SeaMonkey , URL: /wiki/SeaMonkey
","2.53.1 (February 28)","2020","SeaMonkey Council","MPL-2.0 , URL: /wiki/Mozilla_Public_License
"
"TextMate , URL: /wiki/TextMate
","2.0.19 (February 25)","2021","Macromates , URL: /w/index.php?title=Macromates&action=edit&redlink=1
","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
"
"TOWeb , URL: /wiki/TOWeb
","5.07 (July 28)","2013","Lauyan Software","Proprietary , URL: /wiki/Proprietary_software
"
