"Client","POP3 , URL: /wiki/Post_Office_Protocol
","POP3 , URL: /wiki/Post_Office_Protocol
","POP3 , URL: /wiki/Post_Office_Protocol
","IMAP4 , URL: /wiki/Internet_Message_Access_Protocol
","SMTP , URL: /wiki/Simple_Mail_Transfer_Protocol
","NNTP , URL: /wiki/Network_News_Transfer_Protocol
","LDAP , URL: /wiki/Lightweight_Directory_Access_Protocol
","LDAP , URL: /wiki/Lightweight_Directory_Access_Protocol
","EWS , URL: /wiki/Microsoft_Exchange_Server
","IPv6 , URL: /wiki/IPv6
","MAPI , URL: /wiki/MAPI
"
"Alpine , URL: /wiki/Alpine_(email_client)
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","?"
"Apple Mail , URL: /wiki/Apple_Mail
","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","?","Yes","?"
"Becky! Internet Mail , URL: /wiki/Becky!
","Yes","Yes","Yes","Yes","Yes","Yes [Note 1]","Yes","?","?","?","?"
"Citadel , URL: /wiki/Citadel/UX
","Yes","?","?","Yes","Yes","?","?","?","?","?","?"
"Claws Mail , URL: /wiki/Claws_Mail
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","?"
"Courier , URL: /wiki/Courier_(email_client)
","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","?","?","?"
"Elm , URL: /wiki/Elm_(email_client)
","No","No","No","?","?","?","?","?","?","?","?"
"eM Client , URL: /wiki/EM_Client
","Yes","No","No","Yes","Yes","No","No","No","Yes","Yes","No"
"EmailTray , URL: /wiki/EmailTray
","Yes","No","No","Yes","Yes","No","No","No","No","No","No"
"Evolution , URL: /wiki/Evolution_(software)
","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","plug-in","?","plug-in"
"Gnus , URL: /wiki/Gnus
","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","?","?","?"
"GroupWise , URL: /wiki/GroupWise
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"Hiri , URL: /wiki/Hiri_(email_client)
","No","No","No","No","No","No","Yes","Yes","Yes","Yes","No"
"i.Scribe / InScribe , URL: /wiki/Scribe_Mail
","Yes","No","Yes","Yes","Yes","No","Yes [Note 2]","Yes [Note 2]","No","No","Yes"
"HCL Notes , URL: /wiki/HCL_Notes
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No"
"KMail , URL: /wiki/KMail
","Yes","Yes","Yes","Yes","Yes","No [Note 3]","Yes","?","?","?","?"
"Mailbird , URL: /wiki/Mailbird
","Yes","?","?","Yes","Yes","?","Yes","Yes","?","Yes","?"
"Mailpile , URL: /wiki/Mailpile
","Yes","No","No","Yes","Yes","?","?","?","?","?","?"
"Microsoft Entourage , URL: /wiki/Microsoft_Entourage
","Yes","?","?","Yes","Yes","Yes","No","Yes","Partial","?","?"
"Microsoft Entourage 2008, Web Services Edition , URL: /wiki/Microsoft_Entourage
","Yes","?","?","Yes","Yes","?","?","Yes","Yes","?","?"
"Microsoft Office Outlook , URL: /wiki/Microsoft_Office_Outlook
","Yes","No","No","Yes","Yes","No","Yes","?","Yes","Yes","Yes"
"Mozilla Mail & Newsgroups , URL: /wiki/Mozilla_Mail_%26_Newsgroups
","?","?","?","?","?","?","?","?","?","?","?"
"Mozilla Thunderbird , URL: /wiki/Mozilla_Thunderbird
","Yes","No","No","Yes","Yes","Yes","Partial","Partial[25]","extensible[26]","Yes","?"
"Mulberry , URL: /wiki/Mulberry_(email_client)
","Yes","No","No","Yes","Yes","No","Yes","?","?","Yes","Yes"
"Mutt , URL: /wiki/Mutt_(email_client)
","Yes","No (possible with POP3 browser)","No (possible with POP3 browser)","Yes","Yes","slrn , URL: /wiki/Slrn
","Partial (resolve real names through NSS)","?","?","Yes","?"
"Netscape Messenger , URL: /wiki/Netscape_Messenger
","Yes","?","?","Yes","?","Yes","?","?","?","?","?"
"Netscape Messenger 9 , URL: /wiki/Netscape_Messenger_9
","Yes","?","?","Yes","?","Yes","?","?","?","?","?"
"nmh / MH , URL: /wiki/MH_Message_Handling_System
","Yes","?","?","No","Yes","?","?","?","No","?","No"
"Opera Mail , URL: /wiki/Opera_Mail
","Yes","No","Yes","Yes","Yes","Yes","No","No","?","Yes","Yes"
"Outlook Express , URL: /wiki/Outlook_Express
","Yes","No","No","Yes","Yes","Yes","Yes","?","No","?","No"
"Pegasus Mail , URL: /wiki/Pegasus_Mail
","Yes","Yes","Yes","Yes","Yes","Yes [Note 4]","Yes","?","?","?","?"
"Pine , URL: /wiki/Pine_(email_client)
","Yes","No","No","Yes","Yes","Yes","Yes","No","?","?","?"
"Pocomail , URL: /wiki/Pocomail
","Yes","Yes","Yes","Yes","Yes","No","No","No","?","?","?"
"RoundCube , URL: /wiki/RoundCube
","Yes","No","No","Yes","Yes","No","Yes","Yes","?","?","?"
"SeaMonkey , URL: /wiki/SeaMonkey
","Yes","No","No","Yes","Yes","Yes","Partial","?","?","Yes","?"
"SquirrelMail , URL: /wiki/SquirrelMail
","Yes","No","No","Yes","Yes","No","Yes","Yes","?","?","?"
"Sylpheed , URL: /wiki/Sylpheed
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No"
"The Bat! , URL: /wiki/The_Bat!
","Yes","Yes [Note 5]","Yes [Note 6]","Yes","Yes","Yes [Note 7]","Yes","No","No","Yes","Yes"
"Trojitá , URL: /wiki/Trojit%C3%A1
","No","No","No","Yes","Yes","No","No","No","No","Yes","No"
"Turnpike , URL: /wiki/Turnpike_(software)
","Yes","?","?","?","Yes","Yes","?","?","?","?","?"
"Windows Live Mail , URL: /wiki/Windows_Live_Mail
","Yes","No","No","Yes","Yes","Yes","Yes","?","No","Yes","No"
"Windows Mail , URL: /wiki/Windows_Mail
","Yes","No","No","Yes","Yes","?","?","?","No","Yes","No"
"YAM , URL: /wiki/YAM_(Yet_Another_Mailer)
","Yes","Yes","Yes","No","Yes","No","No","No","?","?","?"
"Zimbra , URL: /wiki/Zimbra
","Yes","No","No","Yes","Yes","No","Yes","Yes","?","?","?"
