"Product","Creator","Platform","First public release","Latest stable version","Software license , URL: /wiki/Software_license
"
"Xomega.Net for Visual Studio[1]","Xomega.Net","Windows","2010","7.7.4 / 2018-08-08","Proprietary , URL: /wiki/Proprietary_software
"
"Acceleo , URL: /wiki/Acceleo
","Obeo","cross-platform (Java / Eclipse)","2006","3.7.7 / 2018-12-04","Eclipse Public , URL: /wiki/Eclipse_Public_License
"
"Accelerator , URL: /wiki/Accelerator_(software)
","Surround Technologies","Windows, Web, Mobile (C# / .NET)","2007","6.2","Proprietary , URL: /wiki/Proprietary_software
"
"actifsource , URL: /wiki/Actifsource
","actifsource GmbH","cross-platform (Java / Eclipse)","","10.12.0 / 2021-02-22","Proprietary , URL: /wiki/Proprietary_software
"
"aicodoo[2]","Alexander Derksen","Java, Web","2020","0.1","Proprietary , URL: /wiki/Proprietary_software
"
"Apeel PHP Code Generator Pro","City Business Logic","Windows","2001","11.03b / 2011-09-04","Proprietary , URL: /wiki/Proprietary_software
"
"AtomWeaver","Isomeris","Windows","2010","1.3.1 / 2012-02-20","Proprietary , URL: /wiki/Proprietary_software
"
"Bootify , URL: https://bootify.io
","Bootify.io","Web - online","2020","","Proprietary , URL: /wiki/Proprietary_software
"
"Catapult[3]","Polyrific[3]","Windows, Web, Mobile (C# / .NET)","2013","4.0","Proprietary , URL: /wiki/Proprietary_software
"
"Celerio","Jaxio[4]","cross-platform (Java)","2015","4.0.2 / 2015-11-16","Apache License , URL: /wiki/Apache_License
"
"Click2Code","onlinewebtech","windows","2013","1.0 / 2013-09-20","Proprietary , URL: /wiki/Proprietary_software
"
"Code4Green-A Free Code Generation tool","Code4Green[5]","SharePoint, C#, VB.Net, Java, ASP.Net, HTML, SQL Database","2009","5.0","Proprietary , URL: /wiki/Proprietary_software
"
"Code-g flexible pattern based code generator","Abstractmeta","Java","","0.30 / 2012-05-20","Apache License , URL: /wiki/Apache_License
"
"Code-Bay , URL: https://code-bay.io/
","Code-Bay","Web - online","2021","","Proprietary , URL: /wiki/Proprietary_software
"
"CodeBhagat","CodeBhagat LLC","Windows (C# / .NET)","2014","1.0 / 2014","Proprietary , URL: /wiki/Proprietary_software
"
"CodeCharge Studio","Yes Software","PHP, ASP, ASP.NET, Java","2014","0.5.1 / 2014-07-02","Proprietary , URL: /wiki/Proprietary_software
"
"CodeFluent Entities","SoftFluent","Windows","2005","840 - 2016","Proprietary , URL: /wiki/Proprietary_software
"
"CodeGenerator360","","Windows (Online Tool)","2011","","Proprietary , URL: /wiki/Proprietary_software
"
"Code generation plugin for Astah UML Community","José Carreno","cross-platform","2014","1.3.0_GA / 2014-05-08","Free , URL: /wiki/Free_software
"
"CodeIgniter Wizard , URL: https://www.ozar.net/products/codeigniterwizard/
","Ozar","Mac","2020","1.1.4","Proprietary"
"Code Modeler","SoftFluent","Windows","2018","1.3.0.2","Proprietary , URL: /wiki/Proprietary_software
"
