"Features","Prius , URL: /wiki/Toyota_Prius#XW10

URL: /wiki/File:DCA_Prius_1Gen_12_2011_3594.JPG
//upload.wikimedia.org/wikipedia/commons/thumb/5/5a/DCA_Prius_1Gen_12_2011_3594.JPG/150px-DCA_Prius_1Gen_12_2011_3594.JPG
","Prius , URL: /wiki/Toyota_Prius#XW20

URL: /wiki/File:2008_Toyota_Prius_(NHW20R)_liftback_(2012-06-24).jpg
//upload.wikimedia.org/wikipedia/commons/thumb/5/5f/2008_Toyota_Prius_%28NHW20R%29_liftback_%282012-06-24%29.jpg/150px-2008_Toyota_Prius_%28NHW20R%29_liftback_%282012-06-24%29.jpg
","Prius , URL: /wiki/Toyota_Prius#XW30

URL: /wiki/File:2012_Toyota_Prius_--_07-08-2012_1.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/a/aa/2012_Toyota_Prius_--_07-08-2012_1.jpg/150px-2012_Toyota_Prius_--_07-08-2012_1.jpg
","Prius , URL: /wiki/Toyota_Prius#XW50

URL: /wiki/File:2019_Toyota_Prius_(ZVW50R)_1.8_Hybrid_liftback_(2018-12-19)_01.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/6/61/2019_Toyota_Prius_%28ZVW50R%29_1.8_Hybrid_liftback_%282018-12-19%29_01.jpg/150px-2019_Toyota_Prius_%28ZVW50R%29_1.8_Hybrid_liftback_%282018-12-19%29_01.jpg
","Camry , URL: /wiki/Toyota_Camry_Hybrid

URL: /wiki/File:2018_Toyota_Camry_(AXHV71R)_Ascent_Sport_Hybrid_sedan_(2018-08-13)_01.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/8/8c/2018_Toyota_Camry_%28AXHV71R%29_Ascent_Sport_Hybrid_sedan_%282018-08-13%29_01.jpg/150px-2018_Toyota_Camry_%28AXHV71R%29_Ascent_Sport_Hybrid_sedan_%282018-08-13%29_01.jpg
","Highlander , URL: /wiki/Toyota_Highlander#Hybrid

URL: /wiki/File:1st_Toyota_Highlander_Hybrid_Limited.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/7/7d/1st_Toyota_Highlander_Hybrid_Limited.jpg/150px-1st_Toyota_Highlander_Hybrid_Limited.jpg
","Highlander , URL: /wiki/Toyota_Highlander#Hybrid_2

URL: /wiki/File:2nd_Toyota_Highlander_Hybrid.jpg
//upload.wikimedia.org/wikipedia/commons/thumb/f/fe/2nd_Toyota_Highlander_Hybrid.jpg/150px-2nd_Toyota_Highlander_Hybrid.jpg
"
"Release date","Japan , URL: /wiki/Japan
","August 2003","May 2009 (Japan) June 2009 (US)","December 2015","May 2006","July 2005","September 2007"
"model year , URL: /wiki/Model_year
","2001–2003","2004–2009","2010–2015","2016–","2007–","2005–2007","2008–"
"Base price","US$19,995","US$22,000","US$22,000","US$24,685","US$26,480","US$33,000","US$34,700"
"EPA , URL: /wiki/United_States_Environmental_Protection_Agency
","42 mpg‑US (5.6 L/100 km; 50 mpg‑imp)","48 mpg‑US (4.9 L/100 km; 58 mpg‑imp)","51 mpg‑US (4.6 L/100 km; 61 mpg‑imp)","54 mpg‑US (4.4 L/100 km; 65 mpg‑imp)","33 mpg‑US (7.1 L/100 km; 40 mpg‑imp)","2WD , URL: /wiki/Front_wheel_drive
4WD-i , URL: /wiki/Four_wheel_drive
","27 mpg‑US (8.7 L/100 km; 32 mpg‑imp)"
"EPA-estimated highway fuel economy","41 mpg‑US (5.7 L/100 km; 49 mpg‑imp)","45 mpg‑US (5.2 L/100 km; 54 mpg‑imp)","48 mpg‑US (4.9 L/100 km; 58 mpg‑imp)","50 mpg‑US (4.7 L/100 km; 60 mpg‑imp)","34 mpg‑US (6.9 L/100 km; 41 mpg‑imp)","2WD , URL: /wiki/Front_wheel_drive
4WD-i , URL: /wiki/Four_wheel_drive
","25 mpg‑US (9.4 L/100 km; 30 mpg‑imp)"
"EPA-estimated drivers fuel economy","45 mpg‑US (5.2 L/100 km; 54 mpg‑imp)","47.5 mpg‑US (4.95 L/100 km; 57.0 mpg‑imp)","48.7 mpg‑US (4.83 L/100 km; 58.5 mpg‑imp)","52 mpg‑US (4.5 L/100 km; 62 mpg‑imp)","36.6 mpg‑US (6.43 L/100 km; 44.0 mpg‑imp)","","24.5 mpg‑US (9.6 L/100 km; 29.4 mpg‑imp)"
"Engine","1NZ-FXE , URL: /wiki/Toyota_NZ_engine#1NZ-FXE
Atkinson cycle , URL: /wiki/Atkinson_cycle
","1NZ-FXE , URL: /wiki/Toyota_NZ_engine#1NZ-FXE
","2ZR-FXE , URL: /wiki/Toyota_ZR_engine#2ZR-FXE
","2ZR-FXE , URL: /wiki/Toyota_ZR_engine#2ZR-FXE
","2AZ-FXE , URL: /wiki/Toyota_AZ_engine#2AZ-FXE
","3MZ-FE , URL: /wiki/Toyota_MZ_engine#3MZ-FE
","3.3 L 3MZ-FE V6"
"0–60 mph (97 km/h) acceleration","12.6 s","10.8 s","10.0 s","9.6 s","R&T , URL: /wiki/Road_%26_Track
","6.6 s (Motor Trend)","n/a"
"Engine output","70 hp (52 kW) / 82 lb·ft (110 Nm)","76 hp (57 kW) / 85 lb·ft (115 Nm)","98 hp (73 kW) / 105 lb·ft (142 Nm)","95 hp (71 kW) / 105 lb·ft (142 Nm)","147 hp (108 kW) / 138 lb·ft (187 Nm)","","156 kW (208 hp)"
"Electric motor output","44 hp (33 kW) / 259 lb·ft (350 Nm)","68 hp (50 kW) / 295 lb·ft (400 Nm)","80 hp (60 kW) / 153 lb·ft (207 Nm)","71 hp (53 kW) / 120 lb·ft (163 Nm)","45 hp (34 kW)","",""
"Net power","60 kW (80 hp)","80 kW (107 hp)","110 kW (134 hp)","90 kW (121 hp)","140 kW (187 hp)","","201 kW (270 hp)"
"Traction battery power","33 kW (44 hp)","21 kW (28 hp)","27 kW (36 hp)","53 kW (71 hp)","30 kW (40 hp)","45 kW (60 hp)","45 kW (60 hp)"
"octane , URL: /wiki/Octane_rating
","No","No","No","No","No","No (however, premium recommended)","No"
"CARB , URL: /wiki/California_Air_Resources_Board
","","AT-PZEV , URL: /wiki/AT-PZEV
","SULEV , URL: /wiki/SULEV
","SULEV , URL: /wiki/SULEV
AT-PZEV , URL: /wiki/AT-PZEV
","Tier II Bin 3/AT-PZEV","Tier II Bin 3/AT-PZEV","Tier II Bin 3/SULEV"
"Smog forming emissions compared to average new vehicle","75% less","80% less","80% less","80% less","80% less","80% less","80% less"
"Maximum seating","5","5","5","5","5","7","7"
