"Graphics","Launch","Market","Processor , URL: /wiki/List_of_Intel_microprocessors
","Code name","Device ID , URL: /wiki/Device_driver#Identifiers
","clock , URL: /wiki/Clock_rate
MHz , URL: /wiki/Hertz
","Core config1","API , URL: /wiki/Application_programming_interface
","API , URL: /wiki/Application_programming_interface
","API , URL: /wiki/Application_programming_interface
","API , URL: /wiki/Application_programming_interface
","Memory bandwidth , URL: /wiki/Memory_bandwidth
GB/s , URL: /wiki/Gigabyte_per_second
","DVMT , URL: /wiki/Dynamic_video_memory_technology
MB , URL: /wiki/Megabyte
","QSV , URL: /wiki/Intel_Quick_Sync_Video
"
"Graphics","Launch","Market","Processor , URL: /wiki/List_of_Intel_microprocessors
","Code name","Device ID , URL: /wiki/Device_driver#Identifiers
","clock , URL: /wiki/Clock_rate
MHz , URL: /wiki/Hertz
","Core config1","Direct3D , URL: /wiki/Direct3D
","OpenGL , URL: /wiki/OpenGL
","OpenCL , URL: /wiki/OpenCL
","Vulkan , URL: /wiki/Vulkan_(API)
","Memory bandwidth , URL: /wiki/Memory_bandwidth
GB/s , URL: /wiki/Gigabyte_per_second
","DVMT , URL: /wiki/Dynamic_video_memory_technology
MB , URL: /wiki/Megabyte
","QSV , URL: /wiki/Intel_Quick_Sync_Video
"
"HD Graphics","2012","Desktop","Celeron G16x0 Celeron G1610T Pentium G2xx0 Pentium G2xx0T","Ivy Bridge , URL: /wiki/Ivy_Bridge_(microarchitecture)
","015A","650–1050","48:6:1[36] (GT1)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.0Windows 4.1macOS 4.2Linux ES 3.0Linux","1.2","1.0Linux","25.6","1720","No"
"HD Graphics","2012","Mobile","Celeron 10x0M Celeron 10x7U Pentium 2117U Pentium 20x0M","Ivy Bridge , URL: /wiki/Ivy_Bridge_(microarchitecture)
","015A","350–1100","48:6:1[36] (GT1)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.0Windows 4.1macOS 4.2Linux ES 3.0Linux","1.2","1.0Linux","25.6","1720","No"
"HD Graphics 2500[37]","2012","Workstation","Xeon E3-1265LV2","Ivy Bridge , URL: /wiki/Ivy_Bridge_(microarchitecture)
","0152","650–1150","48:6:1[36] (GT1)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.0Windows 4.1macOS 4.2Linux ES 3.0Linux","1.2","1.0Linux","25.6","1720",""
"HD Graphics 2500[37]","2012","Desktop","Core i3-32x0 Core i3-32x0T Core i5-3xx0 Core i5-3xx0S Core i5-3xx0T","Ivy Bridge , URL: /wiki/Ivy_Bridge_(microarchitecture)
","0152","650–1150","48:6:1[36] (GT1)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.0Windows 4.1macOS 4.2Linux ES 3.0Linux","1.2","1.0Linux","25.6","1720",""
"HD Graphics 4000[29]","2012","Desktop","Core i3-3225 Core i3-3245 Core i5-3475S Core i5-3570K Core i7-3770 Core i7-3770x","Ivy Bridge , URL: /wiki/Ivy_Bridge_(microarchitecture)
","0162","650–1150","128:16:2 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.0Windows 4.1macOS 4.2Linux ES 3.0Linux","1.2","1.0Linux","25.6","1720",""
"HD Graphics 4000[29]","2012","Mobile","Core i3-3110M","Ivy Bridge , URL: /wiki/Ivy_Bridge_(microarchitecture)
","0166","650–1000","128:16:2 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.0Windows 4.1macOS 4.2Linux ES 3.0Linux","1.2","1.0Linux","25.6","1720",""
"HD Graphics 4000[29]","2012","Mobile","Core i3-3120M Core i5-3210M","Ivy Bridge , URL: /wiki/Ivy_Bridge_(microarchitecture)
","0166","","128:16:2 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.0Windows 4.1macOS 4.2Linux ES 3.0Linux","1.2","1.0Linux","25.6","1720",""
"HD Graphics 4000[29]","2012","Mobile","Core i3-3120ME","Ivy Bridge , URL: /wiki/Ivy_Bridge_(microarchitecture)
","0166","","128:16:2 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.0Windows 4.1macOS 4.2Linux ES 3.0Linux","1.2","1.0Linux","25.6","1720",""
"HD Graphics 4000[29]","2012","Mobile","Core i3-3217U Core i5-3317U","Ivy Bridge , URL: /wiki/Ivy_Bridge_(microarchitecture)
","0166","","128:16:2 (GT2)","FL , URL: /wiki/Feature_levels_in_Direct3D
","4.0Windows 4.1macOS 4.2Linux ES 3.0Linux","1.2","1.0Linux","25.6","1720",""
