"v t e Military ranks and insignia by country","v t e Military ranks and insignia by country","v t e Military ranks and insignia by country"
"List of comparative military ranks","List of comparative military ranks","List of comparative military ranks"
"Africa","Algeria Angola Benin Botswana Burkina Faso Burundi Cameroon Cape Verde Central African Republic Chad Comoros DR Congo Republic of the Congo Djibouti Egypt Equatorial Guinea Eritrea Eswatini Ethiopia Gabon Gambia Ghana Guinea Guinea-Bissau Ivory Coast Kenya Lesotho Liberia Libya Madagascar Malawi Mali Mauritania Morocco Mozambique Namibia Niger Nigeria Rwanda São Tomé and Príncipe Senegal Seychelles Sierra Leone Somalia South Africa South Sudan Sudan Tanzania Togo Tunisia Uganda Zambia Zimbabwe","Algeria Angola Benin Botswana Burkina Faso Burundi Cameroon Cape Verde Central African Republic Chad Comoros DR Congo Republic of the Congo Djibouti Egypt Equatorial Guinea Eritrea Eswatini Ethiopia Gabon Gambia Ghana Guinea Guinea-Bissau Ivory Coast Kenya Lesotho Liberia Libya Madagascar Malawi Mali Mauritania Morocco Mozambique Namibia Niger Nigeria Rwanda São Tomé and Príncipe Senegal Seychelles Sierra Leone Somalia South Africa South Sudan Sudan Tanzania Togo Tunisia Uganda Zambia Zimbabwe"
"Africa","States with limited recognition , URL: /wiki/List_of_states_with_limited_recognition
","Somaliland Western Sahara"
"Africa","Former","Biafra Bophuthatswana Ciskei Kingdom of Egypt Ethiopian Empire Katanga Rhodesia South West Africa Transkei Venda Zaire"
"Africa","Comparative","Army Officers Enlisted Navy Officers Enlisted Air force Officers Enlisted Apartheid States in Southern Africa"
"Americas","Antigua and Barbuda Argentina Bahamas Barbados Belize Bolivia Brazil Canada Chile Colombia Cuba Dominican Republic Ecuador El Salvador Guatemala Guyana Haiti Honduras Jamaica Mexico Nicaragua Paraguay Peru Saint Kitts and Nevis Suriname Trinidad and Tobago United States Officers: Army Navy Air Force Coast Guard Enlisted: Army Navy Air Force Coast Guard Other: Marine Corps Space Force Warrant officer Opposing forces Uruguay Venezuela","Antigua and Barbuda Argentina Bahamas Barbados Belize Bolivia Brazil Canada Chile Colombia Cuba Dominican Republic Ecuador El Salvador Guatemala Guyana Haiti Honduras Jamaica Mexico Nicaragua Paraguay Peru Saint Kitts and Nevis Suriname Trinidad and Tobago United States Officers: Army Navy Air Force Coast Guard Enlisted: Army Navy Air Force Coast Guard Other: Marine Corps Space Force Warrant officer Opposing forces Uruguay Venezuela"
"Americas","Former","Canada (pre-Unification) Confederate States of America Union Army Navy Costa Rica Panama Republic of Texas Army Navy United States Army enlisted World War I World War II"
"Americas","Comparative","Army Officers Enlisted Navy Officers Enlisted Air force Officers Enlisted"
"Asia","Afghanistan Bahrain Bangladesh Bhutan Brunei Cambodia PR of China Army Navy Air Force East Timor India Army Air Force Navy Coast Guard Border Roads Organisation Paramilitary forces Indonesia Iran Iraq Israel Japan Jordan Kazakhstan Korea (North & South) Kuwait Kyrgyzstan Laos Lebanon Malaysia Maldives Mongolia Myanmar Nepal Oman Pakistan Army Navy Air Force Marines Paramilitary forces Philippines Qatar Saudi Arabia Singapore Sri Lanka Army Navy Air Force Syria Tajikistan Thailand Turkmenistan United Arab Emirates Uzbekistan Vietnam Yemen","Afghanistan Bahrain Bangladesh Bhutan Brunei Cambodia PR of China Army Navy Air Force East Timor India Army Air Force Navy Coast Guard Border Roads Organisation Paramilitary forces Indonesia Iran Iraq Israel Japan Jordan Kazakhstan Korea (North & South) Kuwait Kyrgyzstan Laos Lebanon Malaysia Maldives Mongolia Myanmar Nepal Oman Pakistan Army Navy Air Force Marines Paramilitary forces Philippines Qatar Saudi Arabia Singapore Sri Lanka Army Navy Air Force Syria Tajikistan Thailand Turkmenistan United Arab Emirates Uzbekistan Vietnam Yemen"
"Asia","States with limited recognition , URL: /wiki/List_of_states_with_limited_recognition
","Abkhazia Artsakh Palestine South Ossetia Taiwan (Republic of China)"
"Asia","Former","China (1912–1949) Dutch East Indies East Turkestan (Second Republic) People's Republic of Kampuchea Imperial Iran Imperial Japan Army Navy Kingdom of Laos Manchukuo Mengjiang Mongolian People's Republic Vietnam State of Vietnam South Vietnam South Yemen Tibet Tuva"
"Asia","Comparative","Army Officers Enlisted Navy Officers Enlisted Air force Officers Enlisted"
