"Shell","Secure (password) prompt , URL: #Secure_prompt
","Encrypted variables/ parameters , URL: #Encrypted_variables/parameters
","File/directory passwords","Execute permission , URL: #Execute_permission
","Untrusted script blocking , URL: #Untrusted_script_blocking
","Restricted shell subset , URL: #Restricted_shell_subset
","Safe data subset , URL: #Safe_data_subset
"
"Bourne shell , URL: /wiki/Bourne_shell
","via stty[nb 20]","No","?","N/A[nb 21]","No","Yes","No"
"POSIX , URL: /wiki/POSIX
","via stty[nb 20]","No","?","N/A[nb 21]","No","No","No"
"bash , URL: /wiki/Bash_(Unix_shell)
","read -s","No","?","N/A[nb 21]","No","Yes","No"
"csh , URL: /wiki/C_shell
","via stty[nb 20]","No","?","N/A[nb 21]","No","Yes","No"
"tcsh , URL: /wiki/Tcsh
","via stty[nb 20]","No","?","N/A[nb 21]","No","Yes","No"
"Hamilton C shell , URL: /wiki/Hamilton_C_shell
","No","No","No","No","No","No","No"
"Scsh , URL: /wiki/Scsh
","via stty[nb 20]","No","?","N/A[nb 21]","No","No","No"
"ksh , URL: /wiki/Korn_Shell
","via stty[nb 20]","No","?","N/A[nb 21]","No","Yes","No"
"pdksh , URL: /wiki/Pdksh
","via stty[nb 20]","No","?","N/A[nb 21]","No","Yes","No"
"zsh , URL: /wiki/Zsh
","read -s","No","?","N/A[nb 21]","No","Yes","No"
"ash , URL: /wiki/Almquist_shell
","via stty[nb 20]","No","?","N/A[nb 21]","No","Yes","No"
"CCP , URL: /wiki/CCP_(CP/M)
","No","No","No","No","No","No","No"
"COMMAND.COM , URL: /wiki/COMMAND.COM
","Partial (only under DR-DOS, prompts for password if file/directory is protected)","No","Partial (only under DR-DOS via \dirname;dirpwd\filename;filepwd syntax)[nb 22]","Partial (only under DR-DOS, if files are password-protected for read and/or execute permission)[nb 23]","No","No","No"
"CMD.EXE , URL: /wiki/CMD.EXE
","No","No","No","No","No","No","No"
"CMD.EXE , URL: /wiki/CMD.EXE
","No","No","No","No","No","No","No"
"4DOS , URL: /wiki/4DOS
","Yes (via INPUT /P or INKEY /P)[nb 24]","No","Partial (only under DR-DOS via \dirname;;dirpwd\filename;;filepwd syntax)[nb 22]","Partial (only under DR-DOS, if files are password-protected for read and/or execute permission)[nb 23]","No","No","No"
"4OS2 , URL: /wiki/4OS2
","?","No","No","No","No","No","No"
"TCC , URL: /wiki/Take_Command_Console
","Yes (via INPUT /P, INKEY /P or QUERYBOX /P)[nb 24]","No","No","No","No","No","No"
"PowerShell , URL: /wiki/Windows_PowerShell
","Yes[nb 25]","Yes","No","No[nb 26]","Yes[63]","Yes[nb 27]","Yes[64]"
"rc , URL: /wiki/Rc
","via stty[nb 20]","No","?","N/A[nb 21]","No","Yes[65]","No"
"BeanShell , URL: /wiki/BeanShell
","?","?","?","?","?","?","?"
"VMS DCL , URL: /wiki/DIGITAL_Command_Language
","Yes","No","No","Yes","No","Yes","No"
"fish , URL: /wiki/Friendly_interactive_shell
","read -s","No","?","N/A[nb 21]","No","Yes (via fish -l)","?"
