"Software","License","Other platforms","DRM formats supported"
"Aldiko , URL: /wiki/Aldiko
","Proprietary , URL: /wiki/Proprietary_software
","iOS , URL: /wiki/IOS_(Apple)
","Adobe DRM , URL: /wiki/Adobe_Digital_Editions
"
"AlReader , URL: /w/index.php?title=AlReader&action=edit&redlink=1
","Proprietary , URL: /wiki/Proprietary_software
","None","?"
"Bookari , URL: /w/index.php?title=Bookari_Ebook_Reader_Premium&action=edit&redlink=1
","Proprietary , URL: /wiki/Proprietary_software
","iOS , URL: /wiki/IOS_(Apple)
","Adobe DRM , URL: /wiki/Adobe_Digital_Editions
"
"Cool Reader[2]","GPLv2 , URL: /wiki/GPLv2
","Android , URL: /wiki/Android_(operating_system)
Windows , URL: /wiki/Windows
Mac OS X , URL: /wiki/Mac_OS_X
Linux , URL: /wiki/Linux
PocketBook , URL: /wiki/PocketBook_International
","?"
"Ebook Reader , URL: /w/index.php?title=Ebook_Reader&action=edit&redlink=1
","Proprietary , URL: /wiki/Proprietary_software
","iOS , URL: /wiki/IOS_(Apple)
BlackBerry 10+ , URL: /wiki/BlackBerry_10
Kindle Fire , URL: /wiki/Kindle_Fire
","Adobe DRM , URL: /wiki/Adobe_Digital_Editions
"
"eReader Prestigio , URL: /w/index.php?title=EReader_Prestigio&action=edit&redlink=1
","Proprietary , URL: /wiki/Proprietary_software
","None","Adobe DRM , URL: /wiki/Adobe_Digital_Editions
"
"FBReader , URL: /wiki/FBReader
","Proprietary , URL: /wiki/Proprietary_software
","Windows , URL: /wiki/Windows
Linux , URL: /wiki/Linux
PDAs , URL: /wiki/Personal_digital_assistant
Mac OS X , URL: /wiki/Mac_OS_X
","None"
"Google Play Books , URL: /wiki/Google_Play_Books
","Proprietary , URL: /wiki/Proprietary_software
","Web application , URL: /wiki/Web_application
iOS , URL: /wiki/IOS_(Apple)
","Adobe DRM , URL: /wiki/Adobe_Digital_Editions
"
"Kindle , URL: /wiki/Amazon_Kindle
","Proprietary , URL: /wiki/Proprietary_software
","Web application , URL: /wiki/Web_application
iOS , URL: /wiki/IOS_(Apple)
BlackBerry , URL: /wiki/BlackBerry
Mac OS X , URL: /wiki/Mac_OS_X
Windows , URL: /wiki/Windows
","Amazon DRM , URL: /w/index.php?title=Amazon_DRM&action=edit&redlink=1
"
"Kobo","Proprietary , URL: /wiki/Proprietary_software
","Windows , URL: /wiki/Windows
Mac OS X , URL: /wiki/Mac_OS_X
iOS , URL: /wiki/IOS_(Apple)
","Adobe DRM , URL: /wiki/Adobe_Digital_Editions
"
"KOReader[4]","AGPLv3 , URL: /wiki/AGPLv3
","Android , URL: /wiki/Android_(operating_system)
Kindle eInk , URL: /wiki/Kindle_reader
Kindle Fire , URL: /wiki/Kindle_Fire
BQ Cervantes , URL: /w/index.php?title=BQ_Cervantes&action=edit&redlink=1
PocketBook , URL: /wiki/PocketBook_International
Kobo , URL: /wiki/Kobo_eReader
","None"
"Lektz , URL: /wiki/Lektz#Ebook_reader
","Proprietary , URL: /wiki/Proprietary_software
","Web application , URL: /wiki/Web_application
Mac OS X , URL: /wiki/Mac_OS_X
iOS , URL: /wiki/IOS_(Apple)
Windows , URL: /wiki/Windows
","Lektz DRM , URL: /wiki/Lektz#Lektz_DRM
"
"Librera , URL: /w/index.php?title=Librera&action=edit&redlink=1
","GPL , URL: /wiki/GPL
","None","None"
"MReader , URL: /w/index.php?title=MReader&action=edit&redlink=1
","Proprietary , URL: /wiki/Proprietary_software
","None","None"
"OverDrive Media Console , URL: /wiki/OverDrive_Media_Console
","Proprietary , URL: /wiki/Proprietary_software
","Chromebook , URL: /wiki/Chromebook
iOS , URL: /wiki/IOS_(Apple)
Mac OS X , URL: /wiki/Mac_OS_X
Windows , URL: /wiki/Windows
","Adobe DRM , URL: /wiki/Adobe_Digital_Editions
OverDrive , URL: /wiki/OverDrive,_Inc.
"
"Snapplify","Proprietary , URL: /wiki/Proprietary_software
","Web application , URL: /wiki/Web_application
iOS , URL: /wiki/IOS_(Apple)
","Adobe DRM , URL: /wiki/Adobe_Digital_Editions
"
