"IPA , URL: /wiki/International_Phonetic_Alphabet
","a","ap","at","ak","aʔ","ã","ɔ","ɔk","ɔ̃","ə","o","e","ẽ","i","iɛn","iəŋ"
"Pe̍h-ōe-jī , URL: /wiki/Pe%CC%8Dh-%C5%8De-j%C4%AB
","a","ap","at","ak","ah","aⁿ","o͘","ok","oⁿ","o","o","e","eⁿ","i","ian","eng"
"TLPA , URL: /wiki/Taiwanese_Language_Phonetic_Alphabet
","a","ap","at","ak","ah","aN","oo","ok","ooN","o","o","e","eN","i","ian","ing"
"TLPA , URL: /wiki/Taiwanese_Language_Phonetic_Alphabet
","a","ap","at","ak","ah","ann","oo","ok","oonn","o","o","e","enn","i","ian","ing"
"BP , URL: /wiki/Bb%C3%A1nl%C3%A1m_H%C5%8Dngggi%C3%A1n_P%C4%ABny%C4%ABn_H%C5%8Dng%C3%A0n
","a","ap","at","ak","ah","na","oo","ok","noo","o","o","e","ne","i","ian","ing"
"MLT , URL: /wiki/Modern_Literal_Taiwanese
","a","ab/ap","ad/at","ag/ak","aq/ah","va","o","og/ok","vo","ø","ø","e","ve","i","ien","eng"
"DT , URL: /wiki/Daighi_tongiong_pingim
","a","āp/ap","āt/at","āk/ak","āh/ah","ann/aⁿ","o","ok","onn/oⁿ","or","or","e","enn/eⁿ","i","ian/en","ing"
"Taiwanese kana , URL: /wiki/Taiwanese_kana
","アア","アㇷ゚","アッ","アㇰ","アァ","アア","オオ","オㇰ","オオ","オオ","ヲヲ","エエ","エエ","イイ","イェヌ","イェン"
"Extended , URL: /wiki/Taiwanese_Phonetic_Symbols
bopomofo , URL: /wiki/Bopomofo
","ㄚ","ㄚㆴ","ㄚㆵ","ㄚㆶ","ㄚㆷ","ㆩ","ㆦ","ㆦㆶ","ㆧ","ㄜ","ㄛ","ㆤ","ㆥ","ㄧ","ㄧㄢ","ㄧㄥ"
"Tâi-lô , URL: /wiki/Taiwanese_Romanization_System
","a","ap","at","ak","ah","ann","oo","ok","onn","o","o","e","enn","i","ian","ing"
"traditional Chinese , URL: /wiki/Traditional_Chinese
","亞 洲","壓 力","警 察","沃 水","牛 肉","三 十","烏 色","中 國","","澳 洲","澳 洲","下 晡","","醫 學","鉛 筆","英 國"
"simplified Chinese , URL: /wiki/Simplified_Chinese
","亚 洲","压 力","警 察","沃 水","牛 肉","三 十","乌 色","中 国","","澳 洲","澳 洲","下 晡","","医 学","铅 笔","英 国"
