"Company","Software","On-demand scan","On-access scan , URL: /wiki/Real-time_protection
","Firewall , URL: /wiki/Firewall_(computing)
","AntiSp , URL: /wiki/Antispam
am , URL: /wiki/Antispam
","Web protection","Privacy Advisor","AntiTheft","Call/SMS Filtering","Backup","Parental Control","Support","AV Comparatives , URL: /wiki/AV-Comparatives
","AV Test , URL: /wiki/AV-TEST
","License , URL: /wiki/Software_license
","Price","First release","Country of origin","Notes"
"Avast , URL: /wiki/Avast_Software
","Avast Mobile Security , URL: /wiki/Avast_Antivirus
","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","Free","2011","Czech Republic , URL: /wiki/Czech_Republic
",""
"Avast , URL: /wiki/Avast_Software
","Avast Premier Mobile Security , URL: /wiki/Avast_Antivirus
","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","Non-free","2013","Czech Republic , URL: /wiki/Czech_Republic
",""
"AVG Technologies , URL: /wiki/AVG_Technologies
","AVG AntiVirus FREE for Android , URL: /wiki/AVG_(software)
","Yes","Yes","No","No","No","No","Yes","Yes","No","No","No","No","Yes","Proprietary , URL: /wiki/Proprietary_software
","Free","2010","Czech Republic , URL: /wiki/Czech_Republic
",""
"Avira Operations , URL: /wiki/Avira
","Avira Free Android Security , URL: /wiki/Avira
","Yes","Yes","No","Yes","No","No","Yes","Yes","No","Yes","Yes","No","Yes","Proprietary , URL: /wiki/Proprietary_software
","Free","2004","Germany , URL: /wiki/Germany
",""
"Bitdefender , URL: /wiki/Bitdefender
","Bitdefender Mobile Security , URL: /wiki/BitDefender
","Yes","Yes","No","No","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","Freemium , URL: /wiki/Freemium
","2011","Romania , URL: /wiki/Romania
",""
"Cheetah Mobile , URL: /wiki/Cheetah_Mobile
","Security Master","Yes","Yes","No","No","No","No","Yes","Yes","No","No","No","No","Yes","Proprietary , URL: /wiki/Proprietary_software
","Free , URL: /wiki/Free_of_charge
","2012","China , URL: /wiki/China
","Google Play Store , URL: /wiki/Google_Play_Store
"
"Comodo Group , URL: /wiki/Comodo_Group
","Comodo Mobile Security , URL: /wiki/Comodo_Mobile_Security
","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","Free","2012","United States , URL: /wiki/United_States
",""
"Dr. Web , URL: /wiki/Dr._Web
","Dr. Web Mobile Security Suite , URL: /wiki/Dr._Web
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","Trialware , URL: /wiki/Trialware
","2010","Russia , URL: /wiki/Russia
",""
"ESET , URL: /wiki/ESET
","ESET Mobile Security , URL: /wiki/NOD32
","Yes","Yes","No","Yes","Partially, only Anti-Phishing","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","Freemium , URL: /wiki/Freemium
","2011","Slovakia , URL: /wiki/Slovakia
",""
"F-Secure , URL: /wiki/F-Secure
","F-Secure Mobile Security , URL: /wiki/F-Secure
","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","Non-free","2010","Finland , URL: /wiki/Finland
",""
"G Data CyberDefense , URL: /wiki/G_Data_CyberDefense
","G Data Mobile Security , URL: /wiki/G_Data_CyberDefense
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","Trialware , URL: /wiki/Trialware
","2012","Germany , URL: /wiki/Germany
",""
"Kaspersky Lab","Kaspersky Mobile Security , URL: /wiki/Kaspersky_Mobile_Security
","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","Non-free","2011","Russia , URL: /wiki/Russia
","USG , URL: /wiki/Federal_government_of_the_United_States
"
"McAfee , URL: /wiki/McAfee
","McAfee Mobile Security , URL: /wiki/McAfee
","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","Non-free","2011","United States , URL: /wiki/United_States
",""
"Sophos , URL: /wiki/Sophos
","EndUser Protection","Yes","Yes","No","No","No","Yes","Yes","No","No","No","No","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","Non-free","2011","United Kingdom , URL: /wiki/United_Kingdom
",""
"Sourcefire , URL: /wiki/Sourcefire
","FireAMP Mobile , URL: /wiki/Sourcefire
","Yes","Yes","No","No","No","No","No","No","No","No","Yes","No","No","Proprietary , URL: /wiki/Proprietary_software
","?","2012","United States , URL: /wiki/United_States
",""
"NortonLifelock (formerly Symantec) , URL: /wiki/NortonLifeLock
","Norton Mobile Security , URL: /w/index.php?title=Norton_Mobile_Security&action=edit&redlink=1
","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Proprietary , URL: /wiki/Proprietary_software
","Non-free","2011","United States , URL: /wiki/United_States
",""
