"Digital audio editor","Creator / developer","Software license , URL: /wiki/Software_license
","Microsoft Windows , URL: /wiki/Microsoft_Windows
","MacOS , URL: /wiki/MacOS
","Linux , URL: /wiki/Linux
","iOS , URL: /wiki/IOS
","Android","Network storage","External hardware"
"ACID Pro , URL: /wiki/ACID_Pro
","Magix , URL: /wiki/Magix
","Proprietary , URL: /wiki/Proprietary_software
","Yes","No","No","No","","",""
"Ardour , URL: /wiki/Ardour_(software)
","The Ardour Community","GNU GPL , URL: /wiki/GNU_General_Public_License
","Yes","Yes","Yes","No","","NFS",""
"AudioDesk , URL: /wiki/AudioDesk
","Mark of the Unicorn , URL: /wiki/Mark_of_the_Unicorn
","Proprietary , URL: /wiki/Proprietary_software
","No","Yes","No","No","","",""
"Audition , URL: /wiki/Adobe_Audition
","Adobe Systems , URL: /wiki/Adobe_Systems
","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","No","No","","",""
"Bitwig Studio , URL: /wiki/Bitwig_Studio
","Bitwig","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","Yes","No","","",""
"Cakewalk by BandLab , URL: /wiki/Cakewalk_by_BandLab
","BandLab Technologies , URL: /wiki/BandLab_Technologies
","Proprietary , URL: /wiki/Proprietary_software
Freeware , URL: /wiki/Freeware
","Yes","No","No","No","","",""
"Cubase , URL: /wiki/Steinberg_Cubase
","Steinberg , URL: /wiki/Steinberg
","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","No","Yes","Yes","","dongle , URL: /wiki/Dongle
"
"Digital Performer , URL: /wiki/Digital_Performer
","Mark of the Unicorn","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","No","No","","",""
"FL Studio , URL: /wiki/FL_Studio
","Image-Line , URL: /wiki/Image-Line
","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","No","Yes","Yes","",""
"GarageBand , URL: /wiki/GarageBand
","Apple , URL: /wiki/Apple_Inc.
","Proprietary , URL: /wiki/Proprietary_software
","No","Yes","No","Yes","","",""
"Harrison Mixbus , URL: /wiki/Harrison_Mixbus
","Harrison Consoles , URL: /wiki/Harrison_Audio_Consoles
","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","Yes","No","","NFS",""
"Kristal , URL: /wiki/KRISTAL_Audio_Engine
","Kreatives","Proprietary , URL: /wiki/Proprietary_software
Freeware , URL: /wiki/Freeware
","Yes","No","No","No","","",""
"Live , URL: /wiki/Ableton_Live
","Ableton , URL: /wiki/Ableton
","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","No","No","","",""
"LMMS , URL: /wiki/LMMS
","Tobias Doerffel","GNU GPL , URL: /wiki/GNU_General_Public_License
","Yes","Yes","Yes","No","","NFS",""
"Logic Pro , URL: /wiki/Logic_Pro
","Apple , URL: /wiki/Apple_Inc.
","Proprietary , URL: /wiki/Proprietary_software
","Discontinued (last version: 5.5.1)","Yes","No","No","","",""
"Mixcraft , URL: /wiki/Mixcraft
","Acoustica","Proprietary , URL: /wiki/Proprietary_software
","Yes","No","Wine[1]","Remote only[2]","Remote only[2]","",""
"mp3DirectCut , URL: /wiki/Mp3DirectCut
","Martin Pesch","Proprietary , URL: /wiki/Proprietary_software
Freeware , URL: /wiki/Freeware
","Yes","No","No","No","","",""
"MuLab , URL: /wiki/MuLab_(MuTools)
","MuTools","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","No","No","","",""
"MultitrackStudio , URL: /wiki/MultitrackStudio
","Bremmers Audio Design","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","No","Yes","","",""
"MusE , URL: /wiki/MusE
","MuseE","GNU GPL , URL: /wiki/GNU_General_Public_License
","No","No","Yes","No","","NFS",""
"n-Track , URL: /wiki/N-track
","Fasoft","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","No","Yes","Yes","",""
"Nuendo , URL: /wiki/Nuendo
","Steinberg , URL: /wiki/Steinberg
","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","No","No","","",""
"Podium , URL: /wiki/Zynewave_Podium
","Zynewave","Proprietary , URL: /wiki/Proprietary_software
","Yes","No","No","No","","",""
"Pro Tools , URL: /wiki/Pro_Tools
","Avid , URL: /wiki/Avid_Technology
","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","No","No","","MediaNet (proprietary)","Yes"
"Qtractor , URL: /wiki/Qtractor
","Qtractor","GNU GPL , URL: /wiki/GNU_General_Public_License
","No","No","Yes","No","","NFS",""
"REAPER , URL: /wiki/REAPER
","Cockos , URL: /wiki/Cockos
","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","Yes (after version 6.0)","No","","",""
"Reason , URL: /wiki/Reason_(software)
","Propellerhead Software , URL: /wiki/Propellerhead_Software
","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","No","No","","",""
"Record , URL: /wiki/Record_(software)
","Propellerhead Software","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","No","No","","",""
"Renoise , URL: /wiki/Renoise
","Renoise Team","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","Yes","No","","",""
"Rosegarden , URL: /wiki/Rosegarden
","Rosegarden","GNU GPL , URL: /wiki/GNU_General_Public_License
","No","No","Yes","No","","NFS",""
"Samplitude , URL: /wiki/Magix_Samplitude
Sequoia , URL: /w/index.php?title=Magix_Sequoia&action=edit&redlink=1
","Magix , URL: /wiki/Magix
","Proprietary , URL: /wiki/Proprietary_software
","Yes","No","No","No","","",""
"Soundscape 32 , URL: /wiki/Soundscape_32
","Mackie , URL: /wiki/Mackie
","Proprietary , URL: /wiki/Proprietary_software
","Yes","No","No","No","","","External 2U rack unit"
"Studio One , URL: /wiki/Studio_One_(software)
","PreSonus , URL: /wiki/PreSonus
","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","No","No","","SoundCloud , URL: /wiki/SoundCloud
",""
"Waveform , URL: /wiki/Tracktion_Waveform
","Tracktion Software Inc","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","Yes","No","","",""
"Digital audio editor","Creator / developer","Software license , URL: /wiki/Software_license
","Microsoft Windows , URL: /wiki/Microsoft_Windows
","MacOS , URL: /wiki/MacOS
","Linux , URL: /wiki/Linux
","iOS , URL: /wiki/IOS
","Android","Network storage","External hardware"
