"v t e Java (software platform)","v t e Java (software platform)","v t e Java (software platform)","v t e Java (software platform)"
"Platforms","Java language JVM Java ME (Micro) Java SE (Standard) Jakarta EE (Enterprise) Java Card Android SDK","Java language JVM Java ME (Micro) Java SE (Standard) Jakarta EE (Enterprise) Java Card Android SDK",""
"Oracle technologies","Squawk Java Development Kit OpenJDK Java virtual machine JavaFX Maxine VM","Squawk Java Development Kit OpenJDK Java virtual machine JavaFX Maxine VM",""
"Platform technologies","Applets Servlets MIDlets JSP JSF Web Start (JNLP)","Applets Servlets MIDlets JSP JSF Web Start (JNLP)",""
"Major third-party technologies","Blackdown Eclipse GNU Classpath GWT Harmony Hibernate IcedTea Jazelle Spring Struts TopLink WildFly","Blackdown Eclipse GNU Classpath GWT Harmony Hibernate IcedTea Jazelle Spring Struts TopLink WildFly",""
"History","Java version history Java Community Process Sun Microsystems Free Java implementations","Java version history Java Community Process Sun Microsystems Free Java implementations",""
"JVM languages , URL: /wiki/List_of_JVM_languages
","BeanShell Clojure Groovy JRuby Jython Kotlin Processing Rhino Scala Oxygene","BeanShell Clojure Groovy JRuby Jython Kotlin Processing Rhino Scala Oxygene",""
"Community","Conferences , URL: /wiki/Professional_conference
","JavaOne Devoxx",""
"Community","Organizations","Apache Software Foundation Java Community Process Oracle Corporation Sun Microsystems, Sun Microsystems Laboratories",""
"Community","People","James Gosling Arthur van Hoff Urs Hölzle Patrick Naughton",""
"Category Computer programming portal","Category Computer programming portal","Category Computer programming portal","Category Computer programming portal"
