"Editor","Windows , URL: /wiki/Microsoft_Windows
","OS X , URL: /wiki/OS_X
","Linux , URL: /wiki/Linux
","BSD , URL: /wiki/Berkeley_Software_Distribution
","Unix , URL: /wiki/Unix
","iOS , URL: /wiki/IOS
","Android , URL: /wiki/Android_(operating_system)
"
"Amaya , URL: /wiki/Amaya_(web_browser)
","Terminated 2012","Terminated 2012","Terminated 2012","Terminated 2012","Terminated 2012","No","No"
"Aptana , URL: /wiki/Aptana
","Yes","Yes","Yes","Yes","No","No","No"
"Arachnophilia , URL: /wiki/Arachnophilia
","Yes","Yes","Yes","Yes","No","No","No"
"Atom , URL: /wiki/Atom_(text_editor)
","Yes","Yes","Yes","No","No","No","No"
"Bluefish , URL: /wiki/Bluefish_(text_editor)
","Yes","Yes","Yes","Yes","Yes","No","No"
"BlueGriffon , URL: /wiki/BlueGriffon
","Yes","Yes","Yes","No","No","No","No"
"Brackets , URL: /wiki/Adobe_Brackets
","Yes","Yes","Yes","No","No","No","No"
"Claris Homepage , URL: /wiki/Claris_Homepage
","Terminated (3.0)","No","No","No","No","No","No"
"Codelobster , URL: /wiki/Codelobster
","Yes","No","No","No","No","No","No"
"CoffeeCup HTML Editor , URL: /wiki/CoffeeCup_HTML_Editor
","Yes","Yes","No","No","No","No","No"
"CudaText , URL: /wiki/CudaText
","Yes","Yes","Yes","Yes","Yes","No","No"
"Contribute , URL: /wiki/Adobe_Contribute
","Yes","Yes","No","No","No","No","No"
"Dreamweaver , URL: /wiki/Dreamweaver
","Yes","Yes","No","No","No","No","No"
"EZGenerator , URL: /wiki/EZGenerator
","Yes","No","No","No","No","No","No"
"Freeway , URL: /wiki/Freeway_(software)
","No","Yes","No","No","No","No","No"
"GoLive , URL: /wiki/Adobe_GoLive
","Terminated (9.0)","Terminated (9.0)","No","No","No","No","No"
"HTML-Kit , URL: /wiki/HTML-Kit
","Yes","No","No","No","No","No","No"
"KompoZer , URL: /wiki/KompoZer
","Yes","Yes","Yes","Yes","No","No","No"
"LibreOffice , URL: /wiki/LibreOffice
","Yes","Yes","Yes","source only","source only","No","No"
"Maqetta , URL: /wiki/Maqetta
","Yes","Yes","Cloud[6]","Cloud[6]","No","No","No"
"Microsoft Expression Web , URL: /wiki/Microsoft_Expression_Web
","Yes","No","No","No","No","No","No"
"Microsoft FrontPage , URL: /wiki/Microsoft_FrontPage
","Terminated (2003)","No","No","No","No","No","No"
"Microsoft SharePoint Designer , URL: /wiki/Microsoft_SharePoint_Designer
","Yes","No","No","No","No","No","No"
"Microsoft Visual Web Developer , URL: /wiki/Microsoft_Visual_Web_Developer
","Yes","No","No","No","No","No","No"
"Web Architect","Yes","No","No","No","No","No","No"
"Mobirise , URL: /wiki/Mobirise
","Yes","Yes","No","No","No","No","Yes"
"Mozilla Composer , URL: /wiki/Mozilla_Composer
","Terminated (1.7.13)","Terminated (1.7.13)","Terminated (1.7.13)","Terminated (1.7.13)","Terminated (1.7.13)","No","No"
"Nvu , URL: /wiki/Nvu
","Terminated (1.0)","Terminated (1.0)","Terminated (1.0)","Terminated (1.0)","No","No","No"
"openElement , URL: /wiki/OpenElement
","Yes","No","No","No","No","No","No"
"OpenOffice.org , URL: /wiki/OpenOffice.org
","Yes","Yes","Yes","source only","source only","No","No"
"oXygenXML Editor , URL: /wiki/Oxygen_XML_Editor
","Yes","Yes","Yes","Yes","Yes","No","No"
"Quanta Gold (deprecated) , URL: /wiki/Quanta_Plus
","Yes","Yes","Yes","No","No","No","No"
"Quanta Plus , URL: /wiki/Quanta_Plus
","No","Terminated 2009","Terminated 2009","Terminated 2009","Terminated 2009","No","No"
"RocketCake , URL: /wiki/RocketCake
","Yes","Yes","No","No","No","No","No"
"SeaMonkey , URL: /wiki/SeaMonkey
","Yes","Yes","Yes","Yes","Yes","No","No"
"TOWeb , URL: /wiki/TOWeb
","Yes","No","No","No","No","No","No"
"WebStorm , URL: /wiki/WebStorm
","Yes","Yes","Yes","Yes","Yes","No","No"
"Editor","Windows , URL: /wiki/Microsoft_Windows
","OS X , URL: /wiki/OS_X
","Linux , URL: /wiki/Linux
","BSD , URL: /wiki/Berkeley_Software_Distribution
","Unix , URL: /wiki/Unix
","iOS , URL: /wiki/IOS
","Android , URL: /wiki/Android_(operating_system)
"
