"v t e Mobile operating systems","v t e Mobile operating systems","v t e Mobile operating systems"
"Mobile OS comparisons Open-source mobile phones / OSes Open Handset Alliance Open Mobile Alliance Mobile app distributions Mobile app development","Mobile OS comparisons Open-source mobile phones / OSes Open Handset Alliance Open Mobile Alliance Mobile app distributions Mobile app development","Mobile OS comparisons Open-source mobile phones / OSes Open Handset Alliance Open Mobile Alliance Mobile app distributions Mobile app development"
"Linux kernel , URL: /wiki/Linux_kernel
","primary","Android forks Wear OS Chrome OS KaiOS LuneOS Maemo Leste Manjaro ARM postmarketOS PureOS Sailfish OS SteamOS Tizen Ubuntu Touch UBports"
"Linux kernel , URL: /wiki/Linux_kernel
","defunct","Bada Firefox OS B2G OS Maemo MeeGo Mer Moblin MontaVista MotoMagx Mobilinux OpenEmbedded Ångström Openmoko Linux QtMoko SHR OpenEZX WebOS LuneOS"
"XNU , URL: /wiki/XNU
","iOS iPadOS watchOS bridgeOS","iOS iPadOS watchOS bridgeOS"
"QNX , URL: /wiki/QNX
","BlackBerry 10 BlackBerry Tablet OS","BlackBerry 10 BlackBerry Tablet OS"
"Microsoft Windows , URL: /wiki/Microsoft_Windows
","Windows XP Tablet PC Edition Windows Mobile Windows Phone 7 8 8.1 Windows RT Windows 10 Mobile Windows 10 Windows 11","Windows XP Tablet PC Edition Windows Mobile Windows Phone 7 8 8.1 Windows RT Windows 10 Mobile Windows 10 Windows 11"
"Zircon , URL: /wiki/Zircon_(microkernel)
","Fuchsia","Fuchsia"
"FreeBSD , URL: /wiki/FreeBSD
","Nintendo Switch PS Vita","Nintendo Switch PS Vita"
"other","Binary Runtime Environment for Wireless (BREW) BlackBerry OS EPOC FreeRTOS GEOS LiteOS Magic Cap Nintendo 3DS Nintendo DSi Nokia Asha platform PalmDOS Palm OS Sony PlayStation PSP S30 S30+ S40 Symbian S60 S80 S90 UIQ ThreadX","Binary Runtime Environment for Wireless (BREW) BlackBerry OS EPOC FreeRTOS GEOS LiteOS Magic Cap Nintendo 3DS Nintendo DSi Nokia Asha platform PalmDOS Palm OS Sony PlayStation PSP S30 S30+ S40 Symbian S60 S80 S90 UIQ ThreadX"
"Mobile operating systems Mobile applications Telecommunication Software","Mobile operating systems Mobile applications Telecommunication Software","Mobile operating systems Mobile applications Telecommunication Software"
