"Client","Regular","Regular","NTLM , URL: /wiki/NTLM
","Compuserve (RPA)","MD5 APOP [Note 1]","CRAM-HMAC [Note 2]","CRAM-HMAC [Note 2]","CRAM-HMAC [Note 2]","DIGEST-MD5","SCRAM","with hardware token PKCS#11","Biometric","SMTP Auth [Note 3]","X.509 , URL: /wiki/X.509
Client certificate , URL: /wiki/Client_certificate
","OAuth , URL: /wiki/OAuth
"
"Client","LOGIN","PLAIN","NTLM , URL: /wiki/NTLM
","Compuserve (RPA)","MD5 APOP [Note 1]","MD5","SHA1","RIPEMD","DIGEST-MD5","SCRAM","with hardware token PKCS#11","Biometric","SMTP Auth [Note 3]","X.509 , URL: /wiki/X.509
Client certificate , URL: /wiki/Client_certificate
","OAuth , URL: /wiki/OAuth
"
"Alpine , URL: /wiki/Alpine_(email_client)
","Yes","Yes","No","No","No","Yes","No","No","No","?","No","No","Yes","No","?"
"Apple Mail , URL: /wiki/Apple_Mail
","Yes","Yes","No","No","?","?","?","?","?","?","?","Yes","Yes","Yes","Yes [Note 4]"
"Becky! Internet Mail , URL: /wiki/Becky!
","Yes","Yes","Yes","?","Yes","Yes","?","?","?","?","?","?","Yes","Yes","?"
"Citadel , URL: /wiki/Citadel/UX
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Claws Mail , URL: /wiki/Claws_Mail
","Yes","Yes","?","?","Yes","Yes","?","?","Yes","Yes","No","?","Yes","No","?"
"Courier , URL: /wiki/Courier_(email_client)
","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","?","No","No","Yes","Yes","?"
"Elm , URL: /wiki/Elm_(email_client)
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"eM Client , URL: /wiki/EM_Client
","Yes","Yes","Yes","No","No","Yes","No","No","Yes","?","No","No","Yes","No","Yes"
"EmailTray , URL: /wiki/EmailTray
","Yes","Yes","?","?","Yes","Yes","Yes","No","?","?","No","No","Yes","No","?"
"Eudora , URL: /wiki/Eudora_(email_client)
","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","?","No","No","No","?","?"
"Evolution , URL: /wiki/Evolution_(software)
","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","?","No","No","Yes","No","Yes"
"Gnus , URL: /wiki/Gnus
","Yes","Yes","?","?","Yes","Yes","Yes","?","Yes","?","?","?","Yes","?","?"
"GroupWise , URL: /wiki/GroupWise
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Hiri , URL: /wiki/Hiri_(email_client)
","Yes","Yes","Yes","No","No","No","No","No","No","?","No","No","No","No","Yes"
