"Client","Label messages","Label messages","Label messages","Label messages","Reformat received messages","Reformat received messages","Bi-directional text support , URL: /wiki/Right-to-left
","Composing messages","Composing messages","Composing messages","Native images preview","Native images preview","Native images preview","Native images preview","Native images preview","Postpone / scheduled message sending","Native documents preview","Native documents preview","Native documents preview","Native documents preview","Native documents preview","Native documents preview","Native documents preview"
"Client","with colors","with flag","antidelete","add note","edit headers (e.g., Subject)","forced recode [Note 1]","Bi-directional text support , URL: /wiki/Right-to-left
","Spell checking , URL: /wiki/Spell_checker
","Signatures , URL: /wiki/Signature_block
","Bottom-posts replies , URL: /wiki/Posting_style
","jpeg , URL: /wiki/JPEG
","gif , URL: /wiki/GIF
","bmp , URL: /wiki/Windows_bitmap
","png , URL: /wiki/Portable_Network_Graphics
","others","Postpone / scheduled message sending","txt , URL: /wiki/Text_file
","pdf , URL: /wiki/Portable_Document_Format
","doc , URL: /wiki/DOC_(computing)
","xls , URL: /wiki/Microsoft_Excel
","odt , URL: /wiki/OpenDocument
","ods , URL: /wiki/OpenDocument
","others"
"Alpine , URL: /wiki/Alpine_(email_client)
","Yes","Yes","?","?","?","?","?","Yes","Yes","?","?","?","?","?","?","Yes","Yes","?","?","?","?","?","?"
"Becky! Internet Mail , URL: /wiki/Becky!
","Yes","Yes","?","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?","?","?","?","?","?","?"
"Citadel , URL: /wiki/Citadel/UX
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Claws Mail , URL: /wiki/Claws_Mail
","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","with a plugin","?","?","?","?","?"
"Courier , URL: /wiki/Courier_(email_client)
","Yes","Yes","No","No","Yes","?","?","Yes","Yes","?","No","No","No","No","No","Yes","?","No","No","No","No","No","?"
"Elm , URL: /wiki/Elm_(email_client)
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"eM Client , URL: /wiki/EM_Client
","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?","?","?","?","?"
"EmailTray , URL: /wiki/EmailTray
","Yes","No","No","No","No","No","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","No","Yes","Yes","Yes","Yes","No","No","?"
"Eudora , URL: /wiki/Eudora_(email_client)
","Yes","Yes","No","No","Yes","?","?","Yes","Yes","?","Yes","Yes","Yes","Yes","QuickTime , URL: /wiki/QuickTime
","Yes","?","?","?","?","?","?","?"
"Evolution , URL: /wiki/Evolution_(software)
","Yes","Yes","?","?","No","?","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","?","?","?","?","?","?","?","?","?"
"Gnus , URL: /wiki/Gnus
","Yes","Yes","Yes","?","?","?","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","XPM , URL: /wiki/X_PixMap
","Yes","?","?","?","?","?","?","?"
"GroupWise , URL: /wiki/GroupWise
","Yes","Yes","Yes","Yes","Yes","?","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"Hiri , URL: /wiki/Hiri_(email_client)
","Yes","Yes","No","Yes","No","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No"
"i.Scribe / InScribe , URL: /wiki/Scribe_Mail
","Yes","No","No","Yes","No","No","No","Yes [Note 2]","Yes","Yes","Yes [Note 3]","Yes","Yes","Yes [Note 4]","ICO , URL: /wiki/ICO_(icon_image_file_format)
TIFF , URL: /wiki/Tagged_Image_File_Format
","Yes","No","No","No","No","No","No","No"
"HCL Notes , URL: /wiki/HCL_Notes
","Yes","Yes","?","?","Yes","?","?","Yes","Yes","?","Yes","Yes","Yes","No","CGM , URL: /wiki/Computer_Graphics_Metafile
PCX , URL: /wiki/PCX
TIFF , URL: /wiki/Tagged_Image_File_Format
","?","Yes","Yes","Yes","Yes","?","?","?"
"KMail , URL: /wiki/KMail
","Yes[32]","Yes","No","Yes","?","?","?","Yes","Yes","?","Yes","Yes","Yes","Yes","?","?","?","?","?","?","?","?","?"
"Mailbird , URL: /wiki/Mailbird
","Yes","Yes","?","Yes","?","?","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","No","No","?"
"Mailpile , URL: /wiki/Mailpile
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Microsoft Entourage , URL: /wiki/Microsoft_Entourage
","Yes","Yes","?","Yes[Note 5]","?","?","?","Yes","Yes","?","Yes","Yes","?","Yes","?","?","?","Yes","?","?","?","?","?"
"Microsoft Office Outlook , URL: /wiki/Microsoft_Office_Outlook
","Yes","Yes","No","Yes","Yes","?","?","Yes","Yes","No","Yes","Yes","Yes","Yes","?","Yes","Yes","with a plugin","Yes","Yes","2010","2010","PowerPoint , URL: /wiki/Microsoft_Powerpoint
"
"Mozilla Mail & Newsgroups , URL: /wiki/Mozilla_Mail_%26_Newsgroups
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Mozilla Thunderbird , URL: /wiki/Mozilla_Thunderbird
","Yes","Yes","?","?","with a plugin[33]","?","?","Yes","Yes","Yes [Note 6]","Yes","Yes","Yes","Yes","ICO , URL: /wiki/ICO_(icon_image_file_format)
","Yes [Note 7]","Yes","Yes","No","No","No","No","No"
"Mulberry , URL: /wiki/Mulberry_(email_client)
","?","Yes","?","?","?","?","?","Yes","Yes","?","No","No","No","No","No","?","?","?","?","?","?","?","?"
