"Client , URL: /wiki/Client_(computing)
","First public release","First public release","First stable release","First stable release","Latest stable release"
"Client , URL: /wiki/Client_(computing)
","Date","Version","Date","Version","Latest stable release"
"AndroidChat , URL: /wiki/AndroidChat
","2008","","","","2008-12-29 (December 29, 2008; 13 years ago (2008-12-29)) [±]"
"Colloquy (software) , URL: /wiki/Colloquy_(software)
","January 28, 2009","1.0","","","2.4.3 (6011) (March 22, 2014; 7 years ago (2014-03-22)) [±]"
"fIRC , URL: /w/index.php?title=FIRC&action=edit&redlink=1
","December 22, 2008","0.1.0","","","0.2.11 (March 26, 2009; 12 years ago (2009-03-26)) [±]"
"jmIrc , URL: /w/index.php?title=JmIrc&action=edit&redlink=1
","May 14, 2004","0.60","","","0.96 (November 23, 2009; 12 years ago (2009-11-23)) [±]"
"k-IRC , URL: /w/index.php?title=K-IRC&action=edit&redlink=1
","August 20, 2002","1.0","","","1.1 (October 4, 2003; 18 years ago (2003-10-04)) [±]"
"Revolution IRC , URL: /w/index.php?title=Revolution_IRC&action=edit&redlink=1
","August 25, 2017","0.2.0","","",""
"Virca , URL: /w/index.php?title=Virca&action=edit&redlink=1
","2003","0.0.1","","","1.1.20 (November 22, 2004; 17 years ago (2004-11-22)) [±]"
"wIRC , URL: /w/index.php?title=WIRC_(software)&action=edit&redlink=1
","","","","","0.3.2 (September 6, 2010; 11 years ago (2010-09-06)[3]) [±]"
"WLIrc , URL: /wiki/WLIrc
","September 15, 2003","0.90","","","2.0.1 (August 16, 2007; 14 years ago (2007-08-16)) [±]"
"Yaaic","March 14, 2010","0.1","","","0.9 (July 17, 2011; 10 years ago (2011-07-17)) [±]"
"Simple IRC","November 18, 2016","1.0","","","1.7 (December 23, 2016; 5 years ago (2016-12-23)) [±]"
"zsIRC , URL: /wiki/ZsIRC
","June 13, 2006","","","","2009.12.26 (December 26, 2009; 12 years ago (2009-12-26)[4]) [±]"
"Client , URL: /wiki/Client_(computing)
","Date","Version","Date","Version","Latest stable release"
"Client , URL: /wiki/Client_(computing)
","First public release","First public release","First stable release","First stable release","Latest stable release"
