"Client","HTML email , URL: /wiki/HTML_email
","UTF-8 , URL: /wiki/UTF-8
","Image blocking","Junk , URL: /wiki/Email_spam
","Junk , URL: /wiki/Email_spam
","Phishing , URL: /wiki/Phishing
","Thread view","Conversation view","PGP , URL: /wiki/Pretty_Good_Privacy
","PGP , URL: /wiki/Pretty_Good_Privacy
","S/MIME , URL: /wiki/S/MIME
","S/MIME , URL: /wiki/S/MIME
","S/MIME , URL: /wiki/S/MIME
","S/MIME , URL: /wiki/S/MIME
"
"Client","HTML email , URL: /wiki/HTML_email
","UTF-8 , URL: /wiki/UTF-8
","Image blocking","local","server- side","Phishing , URL: /wiki/Phishing
","Thread view","Conversation view","inline","PGP/MIME or OpenPGP","protocol","OCSP , URL: /wiki/OCSP
","CRL , URL: /wiki/Certificate_revocation_list
","certificates on tokens, smartcards support"
"Alpine , URL: /wiki/Alpine_(email_client)
","Read only","Yes","Yes","?","?","?","Yes","?","Yes","?","Yes","?","?","?"
"Apple Mail , URL: /wiki/Apple_Mail
","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","No","No","Yes","Yes","Yes","No"
"Becky! Internet Mail , URL: /wiki/Becky!
","Yes","Yes","Yes","No","No","No","Yes","No","Yes","?","Yes","?","?","?"
"Citadel , URL: /wiki/Citadel/UX
","Yes","Yes","No","Yes [Note 1]","?","?","No","?","?","?","?","?","?",""
"Claws Mail , URL: /wiki/Claws_Mail
","Read-only","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","?","Yes","Yes"
"Courier , URL: /wiki/Courier_(email_client)
","Yes","No","No","Yes","Yes","?","No","?","?","?","?","?","?","?"
"Elm , URL: /wiki/Elm_(email_client)
","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"eM Client , URL: /wiki/EM_Client
","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes"
"EmailTray , URL: /wiki/EmailTray
","Yes","Yes","Yes","No","Yes","?","No","No","No","No","No","No","No","No"
"Eudora , URL: /wiki/Eudora_(email_client)
","Yes","No","Yes","Pro only","Pro only","?","Yes","No","Yes [Note 2]","Yes [Note 2]","Yes","?","?","?"
"Evolution , URL: /wiki/Evolution_(software)
","Yes","Yes","Yes","Yes","?","No","Yes","No","Yes","Yes","Yes","?","?","?"
"Gnus , URL: /wiki/Gnus
","Yes","Yes","Yes","Yes","Yes","?","Yes","?","Yes","Yes","Yes","?","?","Yes"
"GroupWise , URL: /wiki/GroupWise
","Yes","Yes","Yes","Yes","?","?","Yes","?","?","?","?","?","?","?"
"Hiri , URL: /wiki/Hiri_(email_client)
","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","No","No","No","No","No"
"i.Scribe / InScribe , URL: /wiki/Scribe_Mail
","Read-only","Yes","Yes","Yes","No","?","Yes","?","Yes","No","No","No","No","No"
"HCL Notes , URL: /wiki/HCL_Notes
","Yes","Yes","Yes","Yes","Yes","Yes","Yes [Note 3]","?","Yes","Yes (4.1.2+)","Yes","Yes[28]","Yes","Yes"
"KMail , URL: /wiki/KMail
","Yes","Yes","Yes","Yes","?","?","Yes","Yes","Yes (with GPG)","Yes (1.5+, with GPGME)","Yes","Yes","Yes","?"
"Mailbird , URL: /wiki/Mailbird
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","No","No","No","No","No"
"Mailpile , URL: /wiki/Mailpile
","?","Yes","?","?","?","?","?","Yes","?","Yes","?","?","?","?"
"Microsoft Entourage , URL: /wiki/Microsoft_Entourage
","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?","Yes","Yes","?","?","Yes"
"Microsoft Office Outlook , URL: /wiki/Microsoft_Office_Outlook
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes (2010+)[29]","No","No","Yes","?","Yes","Yes"
"Mozilla Mail & Newsgroups , URL: /wiki/Mozilla_Mail_%26_Newsgroups
","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Mozilla Thunderbird , URL: /wiki/Mozilla_Thunderbird
","Yes","Yes [Note 4]","Yes","Yes","Yes","Yes [Note 5]","Yes","Yes","Yes [Note 6]","Yes","Yes","Yes","?","Yes"
"Mulberry , URL: /wiki/Mulberry_(email_client)
","Yes","Yes","Yes","No","Yes","?","Yes","?","Yes [Note 7]","Yes [Note 7]","Yes [Note 7]","?","?","?"
"Mutt , URL: /wiki/Mutt_(email_client)
","Read-only","Yes","Yes (no support for images)","Yes","?","?","Yes","Yes","Yes","Yes","Yes","?","GPGME , URL: /wiki/GPGME
","?"
"Netscape Messenger , URL: /wiki/Netscape_Messenger
","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Netscape Messenger 9 , URL: /wiki/Netscape_Messenger_9
","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"nmh / MH , URL: /wiki/MH_Message_Handling_System
","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Opera Mail , URL: /wiki/Opera_Mail
","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No"
"Outlook Express , URL: /wiki/Outlook_Express
","Yes","Yes","Yes","No","?","?","Yes","?","Yes [Note 8]","No [Note 9]","Yes","?","?","?"
"Pegasus Mail , URL: /wiki/Pegasus_Mail
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes (sending is broken)","?","No","No","No"
"Pine , URL: /wiki/Pine_(email_client)
","Read-only","Yes","Yes","No","?","?","Yes","?","Yes (with Pine Privacy Guard)","No","Yes","?","?","?"
"Pocomail , URL: /wiki/Pocomail
","Yes","Yes","Yes","Yes","Yes","?","?","?","?","?","?","?","?","?"
"RoundCube , URL: /wiki/RoundCube
","Yes","Yes","Yes","Yes","Yes","Yes (depends on antivirus)","Yes","?","?","Yes","Yes","?","?","?"
"SeaMonkey , URL: /wiki/SeaMonkey
","Yes","Yes","Yes","Yes","?","Yes","Yes","?","Yes [Note 6]","Yes [Note 6]","Yes","Yes","?","Yes"
"SquirrelMail , URL: /wiki/SquirrelMail
","Yes","Yes","Yes","Yes","Yes","Yes (depends on antivirus)","Yes","?","?","Yes","Yes","?","?","?"
"Sylpheed , URL: /wiki/Sylpheed
","No [Note 10]","Yes","Yes","Yes","?","?","Yes","?","No","Yes","?","?","?","?"
"The Bat! , URL: /wiki/The_Bat!
","Yes","Yes","Yes [Note 11]","Yes","Yes","?","Yes","?","Yes","Yes","Yes","Partial [Note 12]","Partial [Note 12]","Yes [Note 12]"
"Trojitá , URL: /wiki/Trojit%C3%A1
","Read only","Yes","Yes","No","Yes","No","Yes","Yes","No","Read only","Read only","Read only","Read only","Read only"
