"Format","Filename extension","Created by","Introduced in","Based on","Compression","Integrity check","Recovery record","Encryption supported","Unicode , URL: /wiki/Unicode
","Modification date resolution","Pre-processing","License"
"Archive , URL: /wiki/Ar_(Unix)
",".a, .ar","CSRG , URL: /wiki/CSRG
","1971","Original","No","No","No","No","No","1 s","?","?"
"cpio , URL: /wiki/Cpio
",".cpio","Bell Labs , URL: /wiki/Bell_Labs
","Unix System V , URL: /wiki/UNIX_System_V
","?","No","Partial, select formats only","No","No","No","1 s","No","?"
"Shell Archive , URL: /wiki/Shar
",".shar, .run","James Gosling , URL: /wiki/James_Gosling
","4.4BSD , URL: /wiki/4.4BSD
","Original","No","Yes, commonly MD5","Partial","Partial","Partial","arbitrary (typically 1 s)","No","Public domain , URL: /wiki/Public_domain
GPL , URL: /wiki/GPL
"
"Tape Archive , URL: /wiki/Tar_(file_format)
",".tar","Bell Labs , URL: /wiki/Bell_Labs
","Version 6 Unix , URL: /wiki/Version_6_Unix
","?","No","Partial, metadata only. Full integrity providable by filters such as gzip.","No","No","Optional1","1 s","No","?"
"Extended TAR format (pax)",".tar","OpenGroup , URL: /wiki/OpenGroup
","2001","Sun proposal + TAR","No","metadata","No","No","Yes","arbitrary (typically 1 ns)","No","?"
"BagIt , URL: /wiki/BagIt
","–","The Library of Congress , URL: /wiki/The_Library_of_Congress
","2007","file system","No","Yes","No","No","Yes","No","?","?"
"7z , URL: /wiki/7z_(file_format)
",".7z","Igor Pavlov","2000","LZMA , URL: /wiki/Lempel-Ziv-Markov_algorithm
LZMA2 , URL: /wiki/Lempel%E2%80%93Ziv%E2%80%93Markov_chain_algorithm
Bzip2 , URL: /wiki/Bzip2
PPMd , URL: /wiki/Prediction_by_partial_matching
Deflate , URL: /wiki/Deflate
","Yes","Yes, CRC32","No","Yes, AES-256","Yes","ns , URL: /wiki/Nanosecond
","Yes","LGPL , URL: /wiki/LGPL
Public domain , URL: /wiki/Public_domain
"
"ACE , URL: /wiki/ACE_(compression_file_format)
",".ace","Marcel Lemke","1998[12]","LZ77 , URL: /wiki/LZ77
","Yes","Yes","Yes","Yes, Blowfish","Yes","2s","?","Proprietary software , URL: /wiki/Proprietary_software
"
"AFA",".afa","Vicente Sánchez-Alarcos","2009","Original","Yes","Yes","Yes","Yes, AES and CAST","Yes","?","?","?"
"ARC , URL: /wiki/ARC_(file_format)
",".arc","Thom Henderson (SEA)","1985","?","Yes","CRC16","No","weak XOR only","No","2s","?","?"
"ARJ , URL: /wiki/ARJ
",".arj","Robert Jung","1991","AR001 , URL: /w/index.php?title=AR001&action=edit&redlink=1
AR002 , URL: /w/index.php?title=AR002&action=edit&redlink=1
","Yes","Yes","Yes","weak XOR with initial constant","No","?","?","Proprietary software , URL: /wiki/Proprietary_software
"
"B1 , URL: /wiki/B1_(archive_format)
",".b1","Catalina Group Ltd","2011","LZMA , URL: /wiki/LZMA
","Yes","Yes","No","Yes, AES","Yes","?","?","?"
"Cabinet , URL: /wiki/Cabinet_(file_format)
",".cab","Microsoft , URL: /wiki/Microsoft
","Windows 3.1 , URL: /wiki/Windows_3.1
","Deflate , URL: /wiki/Deflate
","Yes","Authenticode , URL: /wiki/Authenticode
","No","Optional (with SDK)","Yes","2 s","?","?"
"Compact File Set , URL: /wiki/CFS_(Compact_File_Set_file_format)
",".cfs","Joe Lowe (Pismo Technic Inc.)","2008","ZIP/LZMA","Yes","Yes","?","Yes","Yes","?","?","Free software , URL: /wiki/Free_software
"
"Compact Pro , URL: /wiki/Compact_Pro
",".cpt","Bill Goodman","1990 (as ""Compactor"")","Original","Yes","Yes","No","Yes","?","?","?","Proprietary software , URL: /wiki/Proprietary_software
"
"Disk Archive , URL: /wiki/DAR_(Disk_Archiver)
",".dar","Denis Corbin","2002","Original","Yes","Yes","Yes2","Yes","Yes","1 µs","Yes","GPLv2 , URL: /wiki/GPL#Version_2
"
"DGCA , URL: /wiki/DGCA_(Computing)
",".dgc","Shin-ichi Tsuruta","2001","GCA","Yes","Yes","Yes","Yes","Yes","?","?","?"
