"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"","Am386","","Sx/SxL/SxLV[1]","","1","No","25-40[1]","","","","","100 PQFP[1]","","","",""
"500, 350","Am486","","25-120","168 pin PGA 208 SQFP","","","8","","","","","","","null","null","null"
"500, 350","Enhanced Am486","","","","66-120","","8, 8/16","","","168 pin PGA 208 SQFP [3]","","","","null","null","null"
"350","Am5x86","","X5-133","","133","33","16","","","Socket 3 Socket 2 Socket 1 168 pin","","","","null","null","null"
"500, 350","AMD K5","","SSA/5, 5k86","","75–133","50, 60, 66","8+16","0","","Socket 5 Socket 7","","","","null","null","null"
"350, 250","AMD K6","","Model 6, Littlefoot","","166-300","50, 60, 66","32+32","0","","Socket 7","MMX","","","null","null","null"
"250, 180","AMD K6-2","","Chomper, Chomper Extended, mobile","","166-550","66, 95, 97, 100","32+32","0, 128","","Super Socket 7","MMX, 3DNow!","","","null","null","null"
"250, 180","K6-3","","Sharptooth","","400-550","66, 95, 96.2, 100","32+32","256","512, 1024","Super Socket 7","null","null","null","null","null","null"
"250","Athlon","","Argon","","500-700","100","64+64","512","","Slot A","null","null","null","null","null","null"
"180","","Pluto/Orion","","550-1000","","null","null","null","null","null","null","null","null","null","null","null"
"","Thunderbird","","1000-1400","256","","Slot A Socket A","null","null","null","null","null","null","null","null","null","null"
"180","Athlon XP/MP","","Palomino","1500+ - 2100+","1333-1733","133","","Socket A","MMX, 3DNow!+, SSE","","","null","null","null","null","null"
"130","","Thoroughbred","1600+ - 2800+","1400-2250","133, 166, 200","","null","null","null","null","null","null","null","null","null","null"
"","Thorton","2000+ - 3100+","1667-2200","","null","null","null","null","null","null","null","null","null","null","null","null"
"","Barton","2500+ - 3200+","1833-2333","512","","null","null","null","null","null","null","null","null","null","null","null"
"180","Duron","","Spitfire","","600-950","100","64","","null","null","null","null","null","null","null","null"
"","Morgan","","900-1300","64","","null","null","null","null","null","null","null","null","null","null","null"
"130","","Applebred","","1400, 1600, 1800","133","64","","null","null","null","null","null","null","null","null","null"
"180","Athlon 4","","Corvette","","850-1400","100","256","","null","null","null","null","null","null","null","null"
"130","Athlon XP-M","","Thoroughbred","","1400-2133","100, 133","","null","null","null","null","null","null","null","null","null"
"","Barton","","1667-2200","133","512","","null","null","null","null","null","null","null","null","null","null"
"180","Mobile Duron","","Spitfire","","600, 700","100","64","","null","null","null","null","null","null","null","null"
"","Camaro","","800-1300","64","","null","null","null","null","null","null","null","null","null","null","null"
"130","Sempron","","Thoroughbred-B","","1500-2000","166","256","","null","null","null","null","null","null","null","null"
"","Thorton","","1500-2000","","null","null","null","null","null","null","null","null","null","null","null","null"
"","Barton","","2000–2200","166, 200","512","","null","null","null","null","null","null","null","null","null","null"
"Opteron","","Sledgehammer","100","1400-2400","800","1024","","Socket 940","DDR","MMX, 3DNow!+, SSE, SSE2","PowerNow!","AMD64, ccNUMA","null","null","null","null"
"","200","","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"","800","","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"90","","Venus","100","1600-3000","","Socket 939","null","null","null","null","null","null","null","null","null","null"
"","Troy","200","","Socket 940","null","null","null","null","null","null","null","null","null","null","null","null"
"","Athens","800","","null","null","null","null","null","null","null","null","null","null","null","null","null"
"","Denmark","100","2","1600-3200","1000","","Socket 939","AMD64, NX Bit","null","null","null","null","null","null","null","null"
"","Italy","200","1600-3200","","Socket 940","AMD64, NX Bit, ccNUMA","null","null","null","null","null","null","null","null","null","null"
"","Egypt","800","1600-3200","","null","null","null","null","null","null","null","null","null","null","null","null"
