"Web host","Storage size","Max. file size","Traffic or bandwidth limit","Remote uploading , URL: /wiki/Remote_upload
","Developer API?","FTP upload possible?","File versioning","Follows symlinks","Client-side encryption[1]","Free GB (number only)","Append-only , URL: /wiki/Append-only
","Lifecycle Policy support?","Misc. notes"
"Amazon Drive , URL: /wiki/Amazon_Drive
","GB , URL: /wiki/Gigabyte
","2 GB upload via Web, 50 GB per file via Drive app and third party clients [4]","Amazon S3 limits","No","Yes","No","No","?","?","5","","","Free 5 GB for everybody, except Mexico and China."
"Amazon S3 , URL: /wiki/Amazon_S3
","5 GB 12-month free trial with credit-card (paid bandwidth), unlimited paid","5 GB per file, unlimited files per bucket","Amazon S3 limits","No","REST , URL: /wiki/Representational_State_Transfer
SOAP , URL: /wiki/SOAP
","?","Yes","?","?","0","","","N/A"
"Backblaze B2 , URL: /wiki/Backblaze
","10 GB free, unlimited paid[6]","?","?","?","Yes","?","Yes","?","?","10","fileWrite allows existing files to become "hidden", which may get deleted with lifecycle rule daysFromHidingToDeleting","Yes",""
"Baidu Cloud , URL: /wiki/Baidu_Cloud
","2 TB (6 GB free)[7]","4 GB free, 20 GB paid[8]","Traffic limit is not stable, after going over the traffic limit, there is a bandwidth limited to 500 KB/s then 10 KB/s after another traffic limit.","Yes","Yes","No","No","No","?","6","","","Currently in China only"
"BorgBase , URL: /wiki/Attic_(backup_software)#Borg
","10 GB free, unlimited paid[9]","?","?","?","Yes","?","?","?","Yes (optional)","10","Yes","?","Borg , URL: /wiki/Attic_(backup_software)#Borg
"
"Box , URL: /wiki/Box_(service)
","free trial, 100 GB paid (Starter), Unlimited Business, Unlimited Enterprise[12]","250 MB free Personal, 5 GB paid Personal, 5 GB Business, 5 GB Enterprise[12]","10 GB/month free, 2 TB/month paid[13]","30 MB per file via IFTTT[14]","Yes[15]","Business and Enterprise customers only[16]","Some (premium)[17]","No","?","10","","","Does not sync Mac files such as iWork (Keynote etc.). Does not support Linux OS. 50 GB free with Sony Xperia or HP Spectre 13"
"CloudMe , URL: /wiki/CloudMe
","3 GB free, +500 MB for referrals up to 16 GB, 500 GB paid[19]","150 MB free, Unlimited premium","None","No[20]","REST , URL: /wiki/REST
SOAP , URL: /wiki/SOAP
WebDAV , URL: /wiki/WebDAV
","No[22]","Rarely (60 days)[23]","?","?","3","","","Primarily focused on media files, synchronization and backup with web sharing."
"Dropbox , URL: /wiki/Dropbox_(storage_provider)
","2 GB free, +500 MB for referrals up to 18 GB; 1 TB, 2 TB, or unlimited paid[25]","10 GB, Unlimited using client application","20 GB/day free, 200 GB/day paid[26]","No","Yes","No[27]","30 days by default, 1 year w/ add-on[28]","Yes","No","2","","","Synchronization, backup and websharing. Does support Linux OS 25 GB free with HTC Sense 4 & 5, 100 GB free with Samsung device"
"Google Drive , URL: /wiki/Google_Drive
","15 GB free,[31] 100 GB to 30 TB paid;[32][33] unlimited storage for G Suite Business (1 TB per user if there are fewer than 5 users)","TB , URL: /wiki/Terabyte
","750GB/day upload 10TB/day download","No","OAuth , URL: /wiki/OAuth
","No","Yes[35]","No","No","15","","","Additional space for limited time period with some devices and services.[36][37][38][39]"
"IBM Connections , URL: /wiki/IBM_Connections#Files
","1 TB paid (60-day free trial)[40]","2 GB","None","No","CMIS , URL: /wiki/CMIS
REST , URL: /wiki/REST
Atom (standard) , URL: /wiki/Atom_(standard)
OAuth , URL: /wiki/OAuth
","No","Yes","?","?","5","","","Subscription costs US$6/year[41]"
"iCloud , URL: /wiki/ICloud
","5 GB free, 50 GB to 2 TB paid","50 GB","200/400/600 GB per month","No","Yes","No","Partly","No","?","5","","","25 GB for previous MobileMe account subscriptions[43]"
