"","TGA , URL: /wiki/Truevision_TGA
","RAW imports , URL: /wiki/Raw_image_format
","BMP , URL: /wiki/Windows_bitmap
","GIF , URL: /wiki/Graphics_Interchange_Format
","JPEG , URL: /wiki/JPEG
","JPEG 2000 , URL: /wiki/JPEG_2000
","HD Photo , URL: /wiki/HD_Photo
","PNG , URL: /wiki/Portable_Network_Graphics
","TIFF , URL: /wiki/Tagged_Image_File_Format
","PSD , URL: /wiki/Adobe_Photoshop#File_format
","PSP , URL: /wiki/Corel_PaintShop_Pro
","XCF , URL: /wiki/XCF_(file_format)
","PCX , URL: /wiki/PCX
","ORA , URL: /wiki/OpenRaster
","HEIF , URL: /wiki/Heif
"
"Ability Photopaint , URL: /wiki/Ability_Photopaint
","?","?","Yes","Yes","Yes","No","?","Yes","Yes","Yes","No","No","?","?","?"
"ACD Canvas , URL: /wiki/ACD_Canvas
","?","?","Yes","Yes","Yes","No","?","Yes","Yes","Yes","Yes","No","?","?","?"
"ACDSee , URL: /wiki/ACDSee
","?","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","?","?","?","?"
"Acorn Image Editor , URL: /wiki/Acorn_Image_Editor
","?","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","?","?","?","?","?"
"Adobe Fireworks , URL: /wiki/Adobe_Fireworks
","?","?","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","No","No","?","?","?"
"Adobe Photoshop , URL: /wiki/Adobe_Photoshop
","?","Yes","Yes","Yes","Yes","Via plug-in[36]","Yes","Yes","Yes","Yes","No","No","Yes","?","?"
"Adobe Photoshop Lightroom , URL: /wiki/Adobe_Photoshop_Lightroom
","?","Yes","No","Via plug-in[37]","Yes","Via plug-in[38]","No","Via plug-in[37]","Yes","Partial[39]","?","?","?","?","?"
"Affinity Photo , URL: /wiki/Affinity_Photo
","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","No","No","No","No","Yes"
"Autodesk SketchBook Pro , URL: /wiki/Autodesk_SketchBook_Pro
","?","?","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","No","No","No","?","?"
"Artipic , URL: /wiki/Artipic
","?","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Partial","No","No","Yes","?","?"
"ArtRage , URL: /wiki/ArtRage
","?","?","Yes","Yes","Yes","No","?","Yes","Yes","Yes","No","No","?","?","?"
"Artweaver , URL: /wiki/Artweaver
","?","No","Yes","Yes","Yes","Partial","?","Yes","Yes","Partial","No","No","Yes","?","?"
"Bibble , URL: /wiki/Bibble_(software)
","?","Yes","No","No","Yes","No","No","No","Yes","No","No","No","No","?","?"
"Brush Strokes Image Editor , URL: /wiki/Brush_Strokes_Image_Editor
","?","?","Yes","Yes","Yes","No","","Yes","Yes","No","No","No","?","",""
"Capture One , URL: /wiki/Capture_One
","?","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","?","?","?","",""
"Chasys Draw IES , URL: /wiki/Chasys_Draw_IES
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"CinePaint , URL: /wiki/CinePaint
","?","Yes","Yes","Yes","Yes","No","","Yes","Yes","Partial","No","Yes","?","",""
"CodedColor PhotoStudio Pro , URL: /wiki/CodedColor_PhotoStudio_Pro
","?","?","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","No","No","Yes","",""
"Corel PaintShop Pro , URL: /wiki/Corel_PaintShop_Pro
","?","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Partial[40]","Yes","No","Yes","",""
"Corel Painter , URL: /wiki/Corel_Painter
","?","?","Yes","Yes","Yes","No","","No","Yes[41]","Yes","Yes","No","Import","",""
"Corel Photo-Paint , URL: /wiki/Corel_Photo-Paint
","?","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","No","Yes","",""
"darktable , URL: /wiki/Darktable
","?","Yes","No","No","Yes","Yes","No","Yes","Yes","No","No","No","No","",""
"Deluxe Paint , URL: /wiki/Deluxe_Paint
","No","No","No","No","No","No","","No","No","No","No","No","No","",""
"DigiKam , URL: /wiki/DigiKam
","?","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","No","No","Yes","?","",""
"Erdas Imagine , URL: /wiki/Erdas_Imagine
","?","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","Import","",""
"Fatpaint , URL: /wiki/Fatpaint
","?","No","No","No","Yes","No","No","Yes","No","No","No","No","No","",""
"Fotografix , URL: /wiki/Fotografix
","?","Partial","Yes","Yes","Yes","No","No","Yes","Yes","Import only","No","Import only","Import only","",""
"GIMP , URL: /wiki/GIMP
","Yes[43]","Yes","Yes","Yes","Yes","Yes[44]","Via plug-in[45]","Yes","Yes[46]","Yes","Yes","Yes","Yes","Yes","Yes[47]"
"GIMPshop , URL: /wiki/GIMPshop
","?","?","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","",""
"GrafX2 , URL: /wiki/GrafX2
","?","No","Yes","Yes","Import only","No","No","Yes","Yes","No","No","No","Yes","",""
"GraphicConverter , URL: /wiki/GraphicConverter
","?","Partial[48]","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes[49]","Yes","",""
"HDR PhotoStudio , URL: /wiki/HDR_PhotoStudio
","?","Yes","Yes","No","Yes","No","No","No","Yes","No","No","No","No","",""
"Helicon Filter , URL: /wiki/Helicon_Filter
","?","Yes","Yes","Import","Yes","Yes","No","Yes","Yes","Yes","No","No","No","",""
"ImageMagick , URL: /wiki/ImageMagick
","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","",""
"iPhoto , URL: /wiki/IPhoto
","?","Yes","?","?","Yes","?","No","Yes","Yes","Yes","?","?","Yes","",""
"IrfanView , URL: /wiki/IrfanView
","?","Via plug-in","Yes","Yes","Yes","Via plug-in","Via plug-in","Yes","Yes","Yes","Yes","Via plug-in","Yes","",""
"Iridient Developer , URL: /wiki/Iridient_Developer
","?","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","?","?","?","",""
"Kolourpaint , URL: /wiki/Kolourpaint
","?","?","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","Import","Yes","",""
"Krita , URL: /wiki/Krita
","?","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","No","Yes","Import","Yes",""
"LiveQuartz , URL: /wiki/LiveQuartz
","?","Partial","Yes","Yes","Yes","Yes","No","Yes","Yes","Partial","?","?","?","?","Yes"
"LazPaint , URL: /wiki/LazPaint
","?","","Yes","Yes","Yes","","","Yes","","","","","","Yes",""
"MacPaint , URL: /wiki/MacPaint
","?","No","?","No","No","No","No","No","No","No","No","No","No","",""
"Microsoft Office Picture Manager , URL: /wiki/Microsoft_Office_Picture_Manager
","?","?","Yes","Yes","Yes","No","","Yes","First page only[50]","No","No","No","Yes","",""
"Microsoft Paint , URL: /wiki/Microsoft_Paint
","?","No","Yes","Partial[51]","Yes","No","No","Partial[51]","Yes","No","No","No","No","",""
"Microsoft Photo Editor , URL: /wiki/Microsoft_Photo_Editor
","?","No","Yes","Yes","Yes","No","","Yes","No","No","No","No","Import","",""
"mtPaint , URL: /wiki/MtPaint
","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","Yes","No","No"
"OpenCanvas , URL: /wiki/OpenCanvas
","?","?","Yes","No","Yes","No","No","Yes","No","Yes[52]","No","No","?","",""
"Paint.NET , URL: /wiki/Paint.NET
","?","Yes","Yes","Yes","Yes","Yes","Yes[53]","Yes","Via plug-ins[54]","Partial","No","No","Yes","",""
"Paint Tool SAI , URL: /wiki/Paint_Tool_SAI
","Yes","No","Yes","No","Yes","?","No","Yes","No","Yes","No","No","No","No","No"
"PC Paintbrush , URL: /wiki/PC_Paintbrush
","?","?","No","Yes","No","No","","No","Yes","No","No","No","Yes","",""
"Photogenics , URL: /wiki/Photogenics
","?","?","Yes","Yes","Yes","?","","Yes","Yes","Yes","?","?","Yes","",""
"PhotoLine , URL: /wiki/PhotoLine
","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","",""
"PhotoPerfect , URL: /wiki/PhotoPerfect
","?","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No layer support","Yes","No","Yes","",""
"Photos , URL: /wiki/Photos_(Apple)
","?","Yes","?","?","Yes","?","No","Yes","Yes","Yes","?","?","Yes","",""
"Photo Raster , URL: /wiki/Photo_Raster
","?","No","Import","Import","Yes","No","No","Yes","Import","No","No","No","Import","",""
"Picasa , URL: /wiki/Picasa
","?","Yes","Import","Import","Yes","No","","Import","No","Import","No","No","No","",""
"PicMaster , URL: /wiki/PicMaster
","?","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","Yes","",""
"PixBuilder Photo Editor","?","?","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","No","No","?","",""
"Pixelmator , URL: /wiki/Pixelmator
","?","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","",""
