"State","Governor term length","Governor term limit","Lieutenant Governor","First in line of succession"
"Alabama , URL: /wiki/Government_of_Alabama
","Four years","Two consecutive terms","Yes","Lieutenant Governor"
"Alaska , URL: /wiki/Government_of_Alaska
","Four years","Two terms","Yes","Lieutenant Governor"
"Arizona , URL: /wiki/Government_of_Arizona
","Four years","Two consecutive terms[note 3]","No","Secretary of State"
"Arkansas , URL: /wiki/Government_of_Arkansas
","Four years","Two terms","Yes","Lieutenant Governor"
"California , URL: /wiki/Government_of_California
","Four years","Two terms","Yes","Lieutenant Governor"
"Colorado , URL: /wiki/Government_of_Colorado
","Four years","Two terms","Yes","Lieutenant Governor"
"Connecticut , URL: /wiki/Government_of_Connecticut
","Four years","None","Yes","Lieutenant Governor"
"Delaware , URL: /wiki/Government_of_Delaware
","Four years","Two terms","Yes","Lieutenant Governor"
"Florida , URL: /wiki/Government_of_Florida
","Four years","Two consecutive terms","Yes","Lieutenant Governor"
"Georgia , URL: /wiki/Government_of_Georgia_(U.S._state)
","Four years","Two terms","Yes","Lieutenant Governor"
"Hawaii , URL: /wiki/Government_of_Hawaii
","Four years","Two terms","Yes","Lieutenant Governor"
"Idaho , URL: /wiki/Government_of_Idaho
","Four years","None","Yes","Lieutenant Governor"
"Illinois , URL: /wiki/Government_of_Illinois
","Four years","None","Yes","Lieutenant Governor"
"Indiana , URL: /wiki/Government_of_Indiana
","Four years","Two terms in a 12-year period[note 4]","Yes","Lieutenant Governor"
"Iowa , URL: /wiki/Government_of_Iowa
","Four years","None","Yes","Lieutenant Governor"
"Kansas , URL: /wiki/Government_of_Kansas
","Four years","There is no lifetime limit on the number, but one must be out of office for at least one election cycle after serving 2 consecutive terms before being eligible again.","Yes","Lieutenant Governor"
"Kentucky , URL: /wiki/Government_of_Kentucky
","Four years","Two terms","Yes","Lieutenant Governor"
"Louisiana , URL: /wiki/Government_of_Louisiana
","Four years","Two terms","Yes","Lieutenant Governor"
"Maine , URL: /wiki/Government_of_Maine
","Four years","Two terms","No","President of the Senate"
"Maryland , URL: /wiki/Government_of_Maryland
","Four years","Two consecutive terms","Yes","Lieutenant Governor"
"Massachusetts , URL: /wiki/Government_of_Massachusetts
","Four years","None","Yes","Lieutenant Governor"
"Michigan , URL: /wiki/Government_of_Michigan
","Four years","Two terms","Yes","Lieutenant Governor"
"Minnesota , URL: /wiki/Government_of_Minnesota
","Four years","None","Yes","Lieutenant Governor"
"Mississippi , URL: /wiki/Government_of_Mississippi
","Four years","Two terms","Yes","Lieutenant Governor"
"Missouri , URL: /wiki/Government_of_Missouri
","Four years","Two terms","Yes","Lieutenant Governor"
"Montana , URL: /wiki/Government_of_Montana
","Four years","Two terms","Yes","Lieutenant Governor"
"Nebraska , URL: /wiki/Government_of_Nebraska
","Four years","Two terms","Yes","Lieutenant Governor"
"Nevada , URL: /wiki/Government_of_Nevada
","Four years","Two terms","Yes","Lieutenant Governor"
"New Hampshire , URL: /wiki/Government_of_New_Hampshire
","Two years","None","No","President of the Senate"
"New Jersey , URL: /wiki/Government_of_New_Jersey
","Four years","Two terms","Yes[note 5]","Lieutenant Governor"
"New Mexico , URL: /wiki/Government_of_New_Mexico
","Four years","Two terms","Yes","Lieutenant Governor"
"New York , URL: /wiki/Government_of_New_York_(state)
","Four years","None","Yes","Lieutenant Governor"
"North Carolina , URL: /wiki/Government_of_North_Carolina
","Four years","Two terms","Yes","Lieutenant Governor"
"North Dakota , URL: /wiki/Government_of_North_Dakota
","Four years","None","Yes","Lieutenant Governor"
"Ohio , URL: /wiki/Government_of_Ohio
","Four years","Two terms","Yes","Lieutenant Governor"
"Oklahoma , URL: /wiki/Government_of_Oklahoma
","Four years","Two terms","Yes","Lieutenant Governor"
"Oregon , URL: /wiki/Government_of_Oregon
","Four years","Two consecutive terms","No","Secretary of State"
"Pennsylvania , URL: /wiki/Government_of_Pennsylvania
","Four years","Two consecutive terms[note 6]","Yes","Lieutenant Governor"
"Rhode Island , URL: /wiki/Government_of_Rhode_Island
","Four years","Two terms","Yes","Lieutenant Governor"
"South Carolina , URL: /wiki/Government_of_South_Carolina
","Four years","Two terms","Yes","Lieutenant Governor"
"South Dakota , URL: /wiki/Government_of_South_Dakota
","Four years","Two terms","Yes","Lieutenant Governor"
"Tennessee , URL: /wiki/Government_of_Tennessee
","Four years","Two terms","Yes[note 7]","President of the Senate"
"Texas , URL: /wiki/Government_of_Texas
","Four years","None","Yes","Lieutenant Governor"
"Utah , URL: /wiki/Government_of_Utah
","Four years","None","Yes","Lieutenant Governor"
"Vermont , URL: /wiki/Government_of_Vermont
","Two years","None","Yes","Lieutenant Governor"
"Virginia , URL: /wiki/Government_of_Virginia
","Four years","No limit on number, but terms cannot be consecutive","Yes","Lieutenant Governor"
"Washington , URL: /wiki/Government_of_Washington_(state)
","Four years","None","Yes","Lieutenant Governor"
"West Virginia , URL: /wiki/Government_of_West_Virginia
","Four years","Two terms","Yes[note 8]","President of the Senate"
"Wisconsin , URL: /wiki/Government_of_Wisconsin
","Four years","None","Yes","Lieutenant Governor"
"Wyoming , URL: /wiki/Government_of_Wyoming
","Four years","Two terms","No","Secretary of State"
