"","Multiple store fronts","Affiliates","API (remote management functions)","Minimum orders","Multiple vendor support","Out-of-the-box shopping cart"
"Apache OFBiz , URL: /wiki/Apache_OFBiz
","Yes","Yes","Yes","Yes","No","Yes"
"Batavi , URL: /wiki/Batavi_(software)
","No","No","No","Yes","Yes","Yes"
"BigCommerce , URL: /wiki/BigCommerce
","No","3rd party","Yes","Yes","Yes","Yes"
"Drupal Commerce , URL: /wiki/Drupal_Commerce
","Yes","Yes","Yes","Yes","Yes","Yes"
"KonaKart , URL: /wiki/KonaKart
","No","No","Yes","Yes","Yes","Yes"
"Magento , URL: /wiki/Magento
","Yes","3rd party","Yes","Yes","Yes","Yes"
"nopCommerce , URL: /wiki/NopCommerce
","Yes","Yes","Yes","Yes","Yes","Yes"
"osCommerce , URL: /wiki/OsCommerce
","No","No","No","Yes","No","Yes"
"pimcore , URL: /wiki/Pimcore
","Yes","Yes","Yes","Yes","Yes","No"
"PrestaShop , URL: /wiki/PrestaShop
","Yes","Yes","Yes","Yes","Yes","Yes"
"Shopify , URL: /wiki/Shopify
","No","Yes","Yes","Yes","Yes","Yes"
"SupaDupa , URL: /wiki/SupaDupa
","No","No","No","No","No","Yes"
"WooCommerce , URL: /wiki/WooCommerce
","No","Yes","Yes","No","Yes","No"
"Zen Cart , URL: /wiki/Zen_Cart
","add-on","3rd party","No","add-on","No","Yes"
"","Multiple store fronts","Affiliates","API (remote management functions)","Minimum orders","Multiple vendor support","Out-of-the-box shopping cart"
