"Client","License","First stable release","First stable release","Latest stable release","Latest stable release"
"Client","License","Date","Version","Latest stable release","Latest stable release"
"Akregator , URL: /wiki/Akregator
","GPL , URL: /wiki/GNU_General_Public_License
","?","?","
URL: https://www.wikidata.org/wiki/Q20712193?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","
URL: https://www.wikidata.org/wiki/Q20712193?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
"
"Amarok , URL: /wiki/Amarok_(software)
","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","?","?","2.9.71 (January 31, 2021; 13 months ago (2021-01-31)) [±]","2.9.71 (January 31, 2021; 13 months ago (2021-01-31)) [±]"
"AOL Explorer , URL: /wiki/AOL_Explorer
","Proprietary , URL: /wiki/Proprietary_software
","June, 2005","1.0","1.5 (May 10, 2006)","1.5 (May 10, 2006)"
"Avant , URL: /wiki/Avant_Browser
","Proprietary , URL: /wiki/Proprietary_software
","August, 2004","?","2020 build 3 (March 17, 2020; 2 years ago (2020-03-17)[2]) [±]","2020 build 3 (March 17, 2020; 2 years ago (2020-03-17)[2]) [±]"
"Awasu , URL: /wiki/Awasu
","Proprietary , URL: /wiki/Proprietary_software
","February, 2003","1.0","3.2 (April 26, 2018)","3.2 (April 26, 2018)"
"BlogBridge , URL: /wiki/BlogBridge
","GPL , URL: /wiki/GNU_General_Public_License
","?","?","6.7","6.7"
"Bloglines , URL: /wiki/Bloglines
","Proprietary , URL: /wiki/Proprietary_software
","?","?","Merged with NetVibes","Merged with NetVibes"
"Canto , URL: /wiki/Canto_(news_aggregator)
","GPL-2.0-only , URL: /wiki/GNU_General_Public_License
","January 14, 2009","0.6.0","0.9.7 (July 31, 2017)","0.9.7 (July 31, 2017)"
"Claws Mail , URL: /wiki/Claws_Mail
","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
","January, 2005","1.0.0","
URL: https://www.wikidata.org/wiki/Q1099163?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","
URL: https://www.wikidata.org/wiki/Q1099163?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
"
"CommaFeed , URL: /wiki/CommaFeed
","Apache-2.0 , URL: /wiki/Apache_License
","?","?","2.4.0 (August 1, 2017)[4]","2.4.0 (August 1, 2017)[4]"
"Cooliris , URL: /wiki/Cooliris_(plugin)
","?","?","?","?","?"
"Digg Reader , URL: /wiki/Digg_Reader
","Proprietary , URL: /wiki/Proprietary_software
","?","?","Discontinued on March 26, 2018","Discontinued on March 26, 2018"
"Feed Viewer , URL: /wiki/Feed_Viewer
","Proprietary , URL: /wiki/Proprietary_software
","April, 2006","1.0","Windows 150.2.10 (August 10, 2021) iOS 0.1.39 (August 10, 2021)","Windows 150.2.10 (August 10, 2021) iOS 0.1.39 (August 10, 2021)"
"FeedDemon , URL: /wiki/FeedDemon
","Proprietary , URL: /wiki/Proprietary_software
","?","?","4.5.0.0 (Final release on June 19, 2013)[5]","4.5.0.0 (Final release on June 19, 2013)[5]"
"Feedly , URL: /wiki/Feedly
","Proprietary , URL: /wiki/Proprietary_software
","2008","?","(web site, continuous updates)","(web site, continuous updates)"
"Feedreader , URL: /wiki/Feedreader_(Windows_Application)
","Proprietary , URL: /wiki/Proprietary_software
","?","?","3.14 (April 20, 2009[6])","3.14 (April 20, 2009[6])"
"Flipboard , URL: /wiki/Flipboard
","Proprietary , URL: /wiki/Proprietary_software
","?","?","",""
"Flock , URL: /wiki/Flock_(web_browser)
","Proprietary , URL: /wiki/Proprietary_software
","November 2, 2007","1.0","3.5.3.4641 (February 1, 2011; 11 years ago (2011-02-01)) [±]","3.5.3.4641 (February 1, 2011; 11 years ago (2011-02-01)) [±]"
"Gnus , URL: /wiki/Gnus
","GPL-3.0-or-later , URL: /wiki/GNU_General_Public_License
","February 1, 1988[7]","?","",""
"Google Reader , URL: /wiki/Google_Reader
","Proprietary , URL: /wiki/Proprietary_software
","September 17, 2007","2.0","Discontinued on July 1, 2013[8]","Discontinued on July 1, 2013[8]"
"IBM Lotus Notes , URL: /wiki/IBM_Lotus_Notes
","Proprietary , URL: /wiki/Proprietary_software
","1989 , URL: /wiki/Lotus_Notes#Version_history
","1.0 , URL: /wiki/Lotus_Notes#Version_history
","11.0.1 (March 31, 2020; 23 months ago (2020-03-31)) [±]","11.0.1 (March 31, 2020; 23 months ago (2020-03-31)) [±]"
"Inoreader , URL: /wiki/Inoreader
","Proprietary , URL: /wiki/Proprietary_software
","?","?","(web site, continuous updates)[9]","(web site, continuous updates)[9]"
"iTunes , URL: /wiki/ITunes
","Proprietary , URL: /wiki/Proprietary_software
","?","?","",""
"Juice , URL: /wiki/Juice_(aggregator)
","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","?","?","2.2","2.2"
"K-Meleon , URL: /wiki/K-Meleon
","GPL , URL: /wiki/GNU_General_Public_License
","November 26, 2000","0.2","76.4G (February 12, 2021; 13 months ago (2021-02-12)[10]) [±]","76.4G (February 12, 2021; 13 months ago (2021-02-12)[10]) [±]"
"Kazehakase , URL: /wiki/Kazehakase
","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","January 29, 2003","?","0.5.8 (September 29, 2009; 12 years ago (2009-09-29)) [±]","0.5.8 (September 29, 2009; 12 years ago (2009-09-29)) [±]"
"Liferea , URL: /wiki/Liferea
","GPL , URL: /wiki/GNU_General_Public_License
","?","?","
URL: https://www.wikidata.org/wiki/Q953757?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","
URL: https://www.wikidata.org/wiki/Q953757?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
"
"Apple Mail , URL: /wiki/Apple_Mail
","Proprietary , URL: /wiki/Proprietary_software
","?","?","5.2 (1257) (February 1, 2012)","5.2 (1257) (February 1, 2012)"
"Maxthon , URL: /wiki/Maxthon
","Proprietary , URL: /wiki/Proprietary_software
","September 8, 2005","1.0.0250","Windows","6.1.2.3000 / September 24, 2021; 5 months ago (2021-09-24)[13]"
