"Publication","Score"
"AllGame , URL: /wiki/AllGame
","(NES)[57] (GG)[58] (SNES)[59]"
"Amstrad Action , URL: /wiki/Amstrad_Action
","Amstrad: 97%[40]"
"Crash , URL: /wiki/Crash_(magazine)
","Spectrum: 91%[12]"
"CVG , URL: /wiki/Computer_and_Video_Games
","Master System: 92%[41]"
"EGM , URL: /wiki/Electronic_Gaming_Monthly
","Lynx: 6.8/10[42] CD-i: 6.25/10[43]"
"Famitsu , URL: /wiki/Famitsu
","Super Famicom: 35/40[44]"
"IGN , URL: /wiki/IGN
","Lynx: 9/10[45]"
"Next Generation , URL: /wiki/Next_Generation_(magazine)
","3DO: [49]"
"Your Sinclair , URL: /wiki/Your_Sinclair
","Spectrum: 91%[14]"
"MegaTech","Mega Drive: 92%[46]"
"Mega","Mega Drive: 90%[47]"
"Commodore Force","C64: 97%[48]"
