"Model","Features","Features","Features","",""
"Model","Scalable Link Interface (SLI)","PureVideo , URL: /wiki/PureVideo
","PureVideo , URL: /wiki/PureVideo
","",""
"GeForce 210","No","No","Yes","Yes","Yes"
"GeForce GT 220","No","No","Yes","Yes","Yes"
"GeForce GT 240","No","No","Yes","Yes","Yes"
"GeForce GTS 250","Yes 3-Way (4-way for EVGA 285 Classified)","Yes","No","",""
"GeForce GTX 260","Yes 3-Way (4-way for EVGA 285 Classified)","Yes","No","",""
"GeForce GTX 260 Core 216","Yes 3-Way (4-way for EVGA 285 Classified)","Yes","No","",""
"GeForce GTX 260 Core 216 (55 nm)","Yes 3-Way (4-way for EVGA 285 Classified)","Yes","No","",""
"GeForce GTX 275","Yes 3-Way (4-way for EVGA 285 Classified)","Yes","No","",""
"GeForce GTX 280","Yes 3-Way (4-way for EVGA 285 Classified)","Yes","No","",""
"GeForce GTX 285","Yes 3-Way (4-way for EVGA 285 Classified)","Yes","No","",""
"GeForce GTX 295","Yes","Yes","No","",""
