"Product","Vendor","Edition","Release Date","Framework","Compatibility","License"
"ActiveVOS , URL: /wiki/ActiveVOS
","Active Endpoints","8.0","2010-09","Servlet , URL: /wiki/Servlet
Java EE , URL: /wiki/Java_EE
","BPMN , URL: /wiki/BPMN
WS-BPEL , URL: /wiki/WS-BPEL
","Proprietary"
"Activiti , URL: /wiki/Activiti_(software)
","Alfresco , URL: /wiki/Alfresco_(software)
","5.16.4","2014-10-16","Java , URL: /wiki/Java_(programming_language)
","BPMN , URL: /wiki/BPMN
","Apache 2.0 , URL: /wiki/Apache_2.0_License
"
"ExpressBPEL-BPM , URL: /w/index.php?title=ExpressBPEL(software)&action=edit&redlink=1
","CodeBrew , URL: /w/index.php?title=ExpressBPEL(software)&action=edit&redlink=1
","3.0 (SAAS Edition)","2013-12-16","Java/ApacheAxis/Cassandra/Ignite , URL: /w/index.php?title=Java/ApacheAxis/Cassandra/Ignite&action=edit&redlink=1
","WS-BPEL 2.0/HumanTask , URL: /w/index.php?title=WS-BPEL_2.0/HumanTask&action=edit&redlink=1
","Proprietary"
"Apache ODE , URL: /wiki/Apache_ODE
","ASF , URL: /wiki/Apache_Software_Foundation
","1.3.7 1.0.164","2016-11-10 2006-06-07","Apache Axis , URL: /wiki/Apache_Axis
JBI , URL: /wiki/Java_Business_Integration
Java EE , URL: /wiki/Java_EE
","WS-BPEL , URL: /wiki/WS-BPEL
WS-HumanTask , URL: /wiki/BPEL4People
","Apache 2.0 , URL: /wiki/Apache_2.0_License
"
"BizTalk Server , URL: /wiki/Microsoft_BizTalk_Server
","Microsoft , URL: /wiki/Microsoft
","Biztalk 2010","2010",".NET , URL: /wiki/.NET_Framework
","BPEL , URL: /wiki/BPEL
BPMN , URL: /wiki/BPMN
RFID , URL: /wiki/RFID
WSDL , URL: /wiki/WSDL
UDDI , URL: /wiki/UDDI
","Proprietary"
"Imixs-Workflow , URL: /wiki/Imixs-Workflow
","Imixs","3.2.0","2015-04-05","Java EE , URL: /wiki/Java_EE
","BPMN , URL: /wiki/BPMN
","GPL 2.0 , URL: /wiki/GPL
"
"jBPM , URL: /wiki/JBPM
","jBoss , URL: /wiki/JBoss
","6.4.0","2016-03-23","Java EE , URL: /wiki/Java_EE
","BPMN , URL: /wiki/BPMN
","Apache 2.0 , URL: /wiki/Apache_2.0_License
"
"Open ESB , URL: /wiki/Open_ESB
","OpenESB Community","2.3.1","2013-10-01","Java EE , URL: /wiki/Java_EE
JBI , URL: /wiki/Java_Business_Integration
","WS-BPEL , URL: /wiki/WS-BPEL
","CDDL , URL: /wiki/CDDL
"
"Oracle BPEL Process Manager , URL: /wiki/Oracle_BPEL_Process_Manager
","Oracle Corporation , URL: /wiki/Oracle_Corporation
","11g","2010-04","Java EE , URL: /wiki/Java_EE
","WS-BPEL , URL: /wiki/WS-BPEL
","Proprietary"
"OW2 Orchestra , URL: /wiki/OW2_Orchestra
","OW2 , URL: /wiki/OW2
","4.9.0","2012-01-23","Apache Axis , URL: /wiki/Apache_Axis
Apache CXF , URL: /wiki/Apache_CXF
OSGi , URL: /wiki/OSGi
Java EE , URL: /wiki/Java_EE
","WS-BPEL , URL: /wiki/WS-BPEL
","LGPL , URL: /wiki/LGPL
"
"Petals BPEL Engine , URL: /wiki/Petals_ESB
","Petals Link","1.0.1","2009-12-08","Java EE , URL: /wiki/Java_EE
","WS-BPEL , URL: /wiki/WS-BPEL
WSDL , URL: /wiki/Web_Services_Description_Language
","LGPL , URL: /wiki/LGPL
"
"SAP Exchange Infrastructure , URL: /wiki/SAP_Exchange_Infrastructure
","SAP AG , URL: /wiki/SAP_AG
","3.0","","","BPEL","Proprietary"
"Virtuoso Universal Server , URL: /wiki/Virtuoso_Universal_Server
","OpenLink Software","4.5","2006","","UDDI , URL: /wiki/UDDI
WS-BPEL , URL: /wiki/WS-BPEL
WS-* , URL: /wiki/WS-*
","GPL , URL: /wiki/GPL
"
"WebSphere Process Server , URL: /wiki/WebSphere_Process_Server
","IBM , URL: /wiki/IBM
","6.0.1.3","2006-09-29","Java EE , URL: /wiki/Java_EE
","WS-BPEL , URL: /wiki/WS-BPEL
","Proprietary"
